name,RA,DEC,D,e_D,mem_class,r,e_r,J,e_J,K,e_K,G,e_G,BP,e_BP,RP,e_RP,binary,ruwe,mass,e_mass,Lbol,e_Lbol,tau,EW,e_EW,chi,e_chi,Teff,e_Teff,Prot,xflux,e_xflux,x_source,xflag,radius,e_radius
2MASS J00340517+5544585,8.521567,55.749592,63.4529724,0.3046036,ms,nan,nan,nan,nan,12.614,0.026,16.913,0.003,19.074,0.018,15.555,0.004,0,1.072,0.143,0.000,8.51550,0.06390,132.57385,nan,nan,2.15824,0.21595,2995.205587,1.563352892,nan,nan,nan,nan,nan,0.176063257,0.000481032
2MASS J00370413+4224381,9.267244,42.410610,69.0315399,0.1956482,ms,nan,nan,nan,nan,8.811,0.022,12.148,0.003,13.296,0.004,11.079,0.004,0,3.526,0.598,0.001,313.13764,0.68087,34.96356,-1.92116,0.02315,6.66292,0.66631,3946.427844,1.414921748,nan,2.52E-13,6.28E-15,rx,nan,0.609916582,0.000165074
2MASS J00381273+3850323,9.553082,38.842308,57.8770485,0.22370145,ms,nan,nan,nan,nan,12.161,0.022,16.422,0.003,18.524,0.016,15.082,0.005,0,1.053,0.155,0.000,10.41339,0.06420,127.25950,-3.02673,0.20346,2.37972,0.23807,3037.278212,1.285238921,nan,nan,nan,nan,nan,0.189008681,0.000395458
2MASS J00393349+1454188,9.889561,14.905248,28.7053699,0.0269661,ms,nan,nan,nan,nan,9.119,0.020,12.900,0.003,14.467,0.005,11.682,0.004,0,1.462,0.302,0.000,42.80162,0.10476,80.41566,-1.20860,0.03892,4.03194,0.40321,3321.117888,0.707765565,0.5310,3.89E-13,9.38E-14,r,nan,0.319488695,0.000269836
2MASS J00485249+3705280,12.218717,37.091133,48.9248123,0.04504775,ms,nan,nan,nan,nan,8.535,0.016,11.623,0.003,12.613,0.003,10.636,0.004,0,1.283,0.569,0.000,262.78545,0.85828,37.78680,nan,nan,6.34970,0.63498,3846.231223,1.029915639,nan,nan,nan,nan,nan,0.585927172,0.000566454
2MASS J00500252+5942119,12.510500,59.703331,67.1929321,0.05500795,ms,nan,nan,nan,nan,7.769,0.027,9.354,0.003,9.736,0.003,8.806,0.004,0,1.044,0.921,0.001,2350.65929,7.02918,16.28558,nan,nan,9.08387,0.90840,5431.562563,1.440816051,nan,nan,nan,nan,nan,0.884453163,0.000878898
2MASS J00505738+5130289,12.739095,51.508053,68.0233307,0.1309242,ms,nan,nan,nan,nan,5.711,0.018,6.333,0.003,6.455,0.003,6.074,0.004,0,1.063,1.783,0.003,39446.62308,234.18717,0.00000,nan,nan,nan,nan,7793.679354,7.712103495,nan,nan,nan,nan,nan,1.755613226,0.001285351
2MASS J00544803+2731035,13.700133,27.517658,27.3824692,0.0159235,ms,nan,nan,nan,nan,9.454,0.020,13.450,0.003,15.215,0.004,12.185,0.004,0,1.410,0.227,0.000,26.85174,0.06311,101.20420,-3.79108,0.03073,3.35059,0.33507,3203.918853,0.39214289,1.7021,3.86E-13,1.06E-13,r,nan,0.270533746,0.000223521
2MASS J00572594+2932350,14.358119,29.543070,38.4192314,0.04195215,ms,nan,nan,nan,nan,10.570,0.017,14.656,0.003,16.522,0.005,13.362,0.004,0,1.256,0.201,0.000,19.12271,0.05281,109.86493,nan,nan,3.00360,0.30037,3147.217687,0.460616776,nan,nan,nan,nan,nan,0.238214081,0.000262552
2MASS J00590821+3752399,14.784244,37.877750,44.6826286,0.1127701,ms,nan,nan,nan,nan,9.837,0.023,14.408,0.003,15.576,0.010,12.561,0.009,1,0.851,0.236,0.001,29.00890,0.13520,98.32220,-4.16141,0.02923,3.44282,0.34434,3219.680648,1.101476007,2.0349,1.77E-13,6.95E-14,r,nan,0.278194948,0.000477306
