name,RA,DEC,D,e_D,mem_class,r,e_r,J,e_J,K,e_K,G,e_G,BP,e_BP,RP,e_RP,binary,ruwe,mass,e_mass,Lbol,e_Lbol,tau,EW,e_EW,chi,e_chi,Teff,e_Teff,Prot,xflux,e_xflux,x_source,xflag,radius,e_radius
2MASS J04053103-0216257,61.379325,-2.273816,40.1795578,0.02508735,ms,nan,nan,nan,nan,7.037,0.029,9.763,0.003,10.562,0.003,8.892,0.004,0,1.116,0.709,0.000,700.80016,1.24059,26.44948,0.69172,0.01916,9.01964,0.90199,4487.567574,1.755721423,nan,nan,nan,nan,nan,0.704567568,0.000131679
2MASS J04053965+1756156,61.415239,17.937689,45.4835854,0.02926825,ms,nan,nan,nan,nan,7.254,0.023,9.039,0.003,9.481,0.003,8.432,0.004,1,1.056,0.838,0.001,1489.71328,2.52468,19.51563,1.76485,0.00686,9.47366,0.94738,5132.058794,1.286937399,9.1000,1.75E-13,3.62E-14,rs,nan,0.789411759,0.000257387
2MASS J04054482+3814532,61.436764,38.248112,36.9382362,0.0504761,ms,nan,nan,nan,nan,9.954,0.021,13.813,0.003,15.514,0.003,12.562,0.004,0,1.975,0.258,0.000,33.21333,0.10453,92.01621,-3.88525,0.05447,3.63043,0.36307,3251.743096,0.744382846,nan,4.52E-14,1.34E-14,c,nan,0.292088675,0.000322566
2MASS J04060221+1815033,61.509241,18.250944,38.9798927,0.02786825,ms,nan,nan,nan,nan,8.598,0.020,11.886,0.003,13.033,0.003,10.818,0.004,0,1.352,0.479,0.001,144.71813,0.35215,48.09423,nan,nan,5.61250,0.56126,3632.591659,0.844409663,nan,nan,nan,nan,nan,0.487981038,0.000401095
2MASS J04061614+1541532,61.567269,15.698120,47.1484756,0.04992105,ms,nan,nan,nan,nan,6.446,0.024,7.707,0.003,7.999,0.003,7.246,0.004,0,0.972,1.057,0.001,5131.23567,16.32111,12.32040,3.33369,0.20248,9.39623,0.93963,5923.614016,1.930857845,7.4700,4.74E-13,6.41E-14,r,nan,1.096350866,0.001103347
2MASS J04062060+1901391,61.585852,19.027533,53.366703,0.1043739,ms,nan,nan,nan,nan,10.471,0.018,14.502,0.003,16.316,0.006,13.218,0.004,1,1.431,0.271,0.001,36.03216,0.12640,88.41794,-4.23867,0.18739,3.74470,0.37452,3271.271279,1.01390714,nan,6.51E-14,5.02E-15,x,nan,0.300484675,0.000386552
2MASS J04062097+2325274,61.587375,23.424295,42.3719292,0.0297985,ms,nan,nan,nan,nan,9.428,0.022,13.104,0.003,14.547,0.003,11.925,0.004,0,1.360,0.377,0.000,67.26133,0.20610,64.42747,-1.43724,0.32198,4.68742,0.46875,3438.795224,0.354323165,nan,nan,nan,nan,nan,0.374192836,0.000531485
2MASS J04063463+1332566,61.644314,13.549077,46.5589371,0.47745705,ms,nan,nan,nan,nan,9.091,0.018,12.428,0.003,13.612,0.004,11.340,0.004,2,11.874,0.460,0.002,129.01716,2.16036,50.80290,-0.86329,0.07035,5.49160,0.54954,3599.518463,4.327163667,nan,2.07E-13,8.83E-14,r,nan,0.469711078,0.002596298
2MASS J04070122+1520062,61.755117,15.335058,44.9156494,0.04100035,ms,nan,nan,nan,nan,7.665,0.026,10.052,0.003,10.698,0.003,9.287,0.004,2,0.983,0.704,0.000,683.31163,1.32116,26.75544,0.69550,0.01185,8.91594,0.89163,4462.480989,1.917440814,14.0260,4.88E-14,3.04E-14,r,nan,0.702686074,0.000143808
2MASS J04070323+2016510,61.763477,20.280834,32.9471855,0.03582385,ms,nan,nan,nan,nan,10.556,0.018,14.657,0.003,16.559,0.007,13.361,0.004,0,1.142,0.183,0.000,15.04002,0.03874,116.52269,-4.64662,0.04832,2.75581,0.27560,3106.860371,0.465473292,nan,nan,nan,nan,nan,0.215681356,0.000195499
2MASS J04072451+1044264,61.852158,10.740671,47.0166206,0.1446171,ms,nan,nan,nan,nan,11.895,0.023,16.220,0.003,18.369,0.016,14.866,0.004,0,1.090,0.144,0.000,8.76616,0.04439,131.79227,nan,nan,2.18800,0.21887,3001.271848,1.056268117,nan,nan,nan,nan,nan,0.1779298,0.000325006
2MASS J04073397+1211171,61.891561,12.188084,58.8130493,0.2603359,ms,nan,nan,nan,nan,12.200,0.023,16.300,0.003,18.254,0.016,14.987,0.004,0,1.029,0.162,0.000,11.60494,0.08084,124.49847,-4.49426,0.07373,2.50035,0.25015,3059.932389,1.451530974,0.4346,1.07E-14,2.71E-15,x,nan,0.195979197,0.000446625
2MASS J04074197+1509458,61.924880,15.162725,43.692112,0.054657,ms,nan,nan,nan,nan,5.030,0.026,5.995,0.003,6.166,0.003,5.659,0.004,2,0.823,1.480,0.001,21600.05369,80.64187,0.00000,nan,nan,nan,nan,6919.178629,4.04595137,nan,2.79E-13,1.11E-13,r,nan,1.650265909,0.001153096
2MASS J04074319+1631076,61.929975,16.518784,46.247715,0.0344906,ms,nan,nan,nan,nan,7.511,0.026,9.604,0.003,10.135,0.003,8.924,0.004,2,1.034,0.768,0.001,1005.48953,3.35386,22.93025,1.26372,0.01132,9.25918,0.92592,4776.761857,2.375903193,nan,nan,nan,nan,nan,0.745278252,0.000433861
2MASS J04081032+0742494,62.043009,7.713743,35.4984627,0.24118235,uc,nan,nan,nan,nan,12.418,0.023,17.900,0.003,20.849,0.129,16.376,0.005,0,0.957,0.088,0.000,2.24040,0.00808,158.51858,nan,nan,0.71326,0.07145,2635.54283,1.563164135,nan,nan,nan,nan,nan,0.116443426,0.000125053
2MASS J04081110+1652229,62.046256,16.873034,40.0352173,0.0327988,ms,nan,nan,nan,nan,7.933,0.024,10.820,0.003,11.700,0.003,9.899,0.004,0,1.169,0.613,0.000,327.89257,0.36338,33.63194,0.63895,0.09899,6.75364,0.67537,3976.422287,0.721537143,13.6300,2.69E-14,2.64E-15,x,nan,0.613415934,8.41793E-05
2MASS J04081848+1331258,62.077036,13.523855,35.4289169,0.02863315,ms,nan,nan,nan,nan,6.645,0.029,8.535,0.003,8.992,0.003,7.913,0.004,1,1.092,0.830,0.001,1460.66516,2.59972,19.89703,nan,nan,9.54272,0.95429,5117.092762,1.351486745,nan,nan,nan,nan,nan,0.786418552,0.000270297
2MASS J04082667+1211304,62.111128,12.191800,46.2472153,0.03871725,ms,nan,nan,nan,nan,8.046,0.027,10.704,0.003,11.486,0.003,9.843,0.004,0,1.140,0.658,0.000,430.58727,0.88609,30.03700,0.46526,0.10041,7.48724,0.74875,4170.396864,1.275428051,12.9600,3.04E-14,1.61E-15,rx,nan,0.643727388,0.000248708
2MASS J04083620+2346071,62.150840,23.768642,47.3177338,0.03627585,ms,nan,nan,nan,nan,7.323,0.015,9.199,0.003,9.661,0.004,8.577,0.004,0,0.966,0.822,0.001,1434.24740,2.51990,20.25908,2.24732,0.06817,9.60672,0.96069,5103.221214,1.334135806,9.3910,1.46E-13,3.13E-14,rs,nan,0.783644243,0.000266827
2MASS J04084015+2333257,62.167330,23.557156,45.9773064,0.0900612,ms,nan,nan,nan,nan,8.529,0.024,12.554,0.003,13.606,0.032,11.166,0.029,2,1.089,0.445,0.001,115.13215,0.44569,52.96400,-0.44585,0.02469,5.35082,0.53510,3569.847947,1.006769049,nan,nan,nan,nan,nan,0.451908768,0.000604061
2MASS J04090271+1247291,62.261315,12.791444,39,2.1,uc,nan,nan,nan,nan,14.535,0.068,21.976,1.047,nan,nan,18.770,1.047,0,nan,nan,nan,0.18211,0.14380,0.00000,nan,nan,nan,nan,1599.383781,224.6774809,nan,nan,nan,nan,nan,0.089655568,0.002527622
2MASS J04092888+1707542,62.370371,17.131742,49.9146233,0.12778855,wd,nan,nan,nan,nan,15.743,0.026,15.356,0.003,15.319,0.003,15.463,0.005,0,1.064,0.194,0.000,17.39097,0.07934,112.43634,5.51590,0.13792,2.90625,0.29066,3131.361738,0.760341621,nan,nan,nan,nan,nan,0.229176191,0.000433395
2MASS J04094378+3155487,62.432457,31.930222,42.397377,0.21569445,uc,nan,nan,nan,nan,12.436,0.023,17.367,0.003,20.082,0.063,15.911,0.005,0,1.010,0.103,0.000,4.08729,0.02250,151.06683,nan,nan,1.31572,0.13175,2814.201105,1.505976778,nan,nan,nan,nan,nan,0.137665175,0.000238446
2MASS J04094935+0918197,62.455628,9.305494,35.906414,0.02750585,ms,nan,nan,nan,nan,7.264,0.020,9.633,0.003,10.288,0.003,8.857,0.004,0,1.025,0.699,0.000,648.09386,2.69959,27.12076,0.76375,0.15403,8.74693,0.87476,4421.596343,2.527370263,nan,nan,nan,nan,nan,0.69679345,0.000577685
2MASS J04095712+1622417,62.488026,16.378277,34.6802864,0.0689526,ms,nan,nan,nan,nan,11.154,0.018,15.525,0.003,17.675,0.013,14.173,0.004,0,1.141,0.146,0.000,8.97545,0.03263,131.16047,nan,nan,2.21427,0.22146,3006.20554,0.758889578,nan,nan,nan,nan,nan,0.179447858,0.000233504
2MASS J04095755+1525011,62.489831,15.416974,46.9688721,0.0891075,ms,nan,nan,nan,nan,10.470,0.018,14.581,0.003,16.436,0.007,13.294,0.004,0,1.516,0.229,0.000,27.65145,0.10177,100.49288,-4.32911,0.03912,3.37928,0.33795,3208.820975,0.613621305,nan,nan,nan,nan,nan,0.273327956,0.000349764
2MASS J04102390+1459104,62.599618,14.986229,62.1,4.8,uc,nan,nan,nan,nan,14.168,0.058,20.523,0.009,21.573,0.228,18.940,0.030,1,1.103,0.074,0.005,0.98057,0.05640,0.00000,nan,nan,nan,nan,2287.848576,64.76916019,nan,nan,nan,nan,nan,0.101776893,0.000809615
2MASS J04103372+2051393,62.640525,20.860943,65.3165283,0.07975005,ms,nan,nan,nan,nan,9.255,0.028,12.362,0.003,13.364,0.003,11.368,0.004,0,1.060,0.557,0.000,237.56683,0.86172,39.00285,nan,nan,6.24729,0.62474,3814.365401,1.143604246,nan,nan,nan,nan,nan,0.568400971,0.000628982
2MASS J04103747+2136097,62.656156,21.602701,47.7285843,0.1413746,ms,nan,nan,nan,nan,11.941,0.025,16.292,0.003,18.452,0.018,14.930,0.005,0,1.004,0.143,0.000,8.53101,0.04188,132.52470,-4.09299,0.24190,2.16007,0.21606,2995.585896,1.023912719,nan,nan,nan,nan,nan,0.176180276,0.00031505
2MASS J04104079+1444007,62.669997,14.733540,45.3195534,0.1657867,ms,nan,nan,nan,nan,11.421,0.026,16.091,0.003,18.507,0.019,14.656,0.004,0,1.900,0.147,0.000,9.06903,0.05327,130.88382,nan,nan,2.22582,0.22268,3008.374334,1.224553389,nan,nan,nan,nan,nan,0.18011518,0.000376786
2MASS J04104233+1825236,62.676405,18.423248,46.6240196,0.05630305,ms,nan,nan,nan,nan,5.572,0.021,6.510,0.003,6.706,0.003,6.147,0.004,0,0.866,1.360,0.001,15152.62514,52.20868,7.30361,nan,nan,nan,nan,6621.409001,2.987597247,nan,4.64E-13,1.19E-13,r,nan,1.5087045,0.001493799
2MASS J04104335+3256048,62.680628,32.934673,47.9381027,0.06765175,ms,nan,nan,nan,nan,8.471,0.020,11.387,0.003,12.285,0.003,10.451,0.004,0,1.713,0.595,0.000,310.08615,0.42247,35.25497,nan,nan,6.64363,0.66437,3940.048478,0.88694737,nan,nan,nan,nan,nan,0.609172322,0.000103477
2MASS J04105676+2729154,62.736506,27.487631,46.7395668,0.25053215,ms,nan,nan,nan,nan,9.750,0.022,14.175,0.003,15.204,0.003,12.365,0.004,0,2.001,0.276,0.001,36.99354,0.30013,87.13651,-2.84063,0.02090,3.78931,0.37918,3278.894996,2.339467155,0.8269,2.36E-13,7.30E-14,r,nan,0.303391217,0.000891922
2MASS J04110610+1855448,62.775442,18.929123,49.999794,0.0900078,ms,nan,nan,nan,nan,10.292,0.017,14.192,0.003,15.880,0.005,12.945,0.004,0,1.712,0.291,0.001,40.36493,0.13419,83.04239,-1.38581,0.02596,3.93620,0.39366,3304.147222,0.960920832,nan,nan,nan,nan,nan,0.313018628,0.000366351
2MASS J04110642+1247481,62.776762,12.796713,43.2541885,0.22538565,ms,nan,nan,nan,nan,11.842,0.033,16.515,0.003,18.894,0.028,15.108,0.007,0,0.782,0.124,0.001,6.30921,0.05110,140.96866,nan,nan,1.85764,0.18594,2932.499507,1.686750028,0.8970,1.73E-14,1.93E-15,x,nan,0.156769079,0.000519
2MASS J04111461+1505109,62.810903,15.086386,45.0071602,0.1889534,uc,nan,nan,nan,nan,12.324,0.026,17.117,0.003,19.611,0.040,15.674,0.006,0,1.020,0.111,0.000,4.90587,0.02265,146.75981,nan,nan,1.54106,0.15421,2864.273164,1.263202495,nan,nan,nan,nan,nan,0.145593251,0.000200007
2MASS J04112030+0531228,62.834598,5.523024,37.4834824,0.0827389,ms,nan,nan,nan,nan,4.821,0.021,5.634,0.003,5.801,0.003,5.309,0.004,0,0.893,1.485,0.001,22168.10749,115.66275,0.00000,nan,nan,nan,nan,6947.363099,5.650133191,nan,1.81E-13,8.48E-14,r,nan,1.658298483,0.001610288
2MASS J04112766+1559317,62.865261,15.992160,47.5431099,0.0358181,ms,nan,nan,nan,nan,9.941,0.021,13.776,0.003,15.372,0.006,12.550,0.005,2,1.130,0.329,0.000,49.62950,0.11441,74.19971,-7.48754,0.02818,4.27372,0.42739,3363.970999,0.666686572,nan,nan,nan,nan,nan,0.335826443,0.000254174
2MASS J04115620+2338108,62.984181,23.636360,39.2003136,0.491732668,ms,nan,nan,nan,nan,6.409,0.024,9.072,0.004,9.626,0.005,8.196,0.004,2,22.461,0.790,0.003,1164.43895,24.03982,21.77820,0.00000,0.00000,9.40963,0.94159,4900.500025,19.96808712,nan,4.69E-12,9.80E-14,r,nan,0.762311114,0.002070765
2MASS J04120334+2049527,63.013945,20.831331,40.9310226,0.07489775,ms,nan,nan,nan,nan,10.885,0.018,14.934,0.003,16.807,0.007,13.639,0.004,2,1.145,0.193,0.000,17.27999,0.06213,112.61222,-4.63879,0.03899,2.89968,0.28999,3130.292339,0.599507005,nan,nan,nan,nan,nan,0.228566633,0.000341719
2MASS J04120760+1737341,63.031697,17.626139,42.7989655,0.1349945,ms,nan,nan,nan,nan,9.414,0.021,13.567,0.003,15.049,0.005,12.070,0.004,0,1.204,0.326,0.001,48.98910,0.24716,74.72230,-3.15378,0.01284,4.25250,0.42533,3360.210692,1.457071302,2.9585,3.18E-13,9.94E-14,r,nan,0.334392826,0.000555508
2MASS J04121375-0133547,63.057328,-1.565217,36.3678818,0.05127335,ms,nan,nan,nan,nan,10.911,0.024,14.929,0.003,16.803,0.006,13.635,0.004,0,1.119,0.180,0.000,14.46833,0.04184,117.67719,nan,nan,2.71288,0.27130,3099.847984,0.522533798,nan,nan,nan,nan,nan,0.212736153,0.000219464
2MASS J04122173+1615033,63.090545,16.250925,35.399929,0.1145649,ms,nan,nan,nan,nan,8.867,0.022,12.669,0.003,14.231,0.004,11.450,0.004,0,4.023,0.380,0.001,70.04529,0.48750,63.76956,-1.78933,0.03032,4.71290,0.47131,3443.492147,0.80322758,nan,3.82E-13,1.20E-13,r,nan,0.38123822,0.001204841
2MASS J04124734+2223270,63.197266,22.390839,45.35147392,1.151783465,ms,nan,nan,nan,nan,10.165,0.018,14.442,0.003,16.001,0.006,12.941,0.005,1,18.383,0.236,0.006,28.97140,1.20140,98.38482,-4.78023,0.03274,3.44103,0.34868,3219.3742,9.625131146,nan,9.99E-14,8.61E-14,r,nan,0.278062153,0.00417089
2MASS J04124992+1114462,63.208021,11.246185,40.074604,0.08735085,ms,nan,nan,nan,nan,11.234,0.022,15.468,0.003,17.495,0.007,14.141,0.005,0,1.263,0.162,0.000,11.59675,0.04494,124.51625,-5.94141,0.06184,2.49956,0.24999,3059.784725,0.808813762,0.5530,1.82E-14,2.38E-15,x,nan,0.195933762,0.000248866
2MASS J04125498-0518044,63.229115,-5.301236,50.9490852,0.11587145,ms,nan,nan,nan,nan,10.123,0.024,13.887,0.003,15.466,0.004,12.662,0.004,0,2.749,0.334,0.001,50.95959,0.19867,73.14859,nan,nan,4.31692,0.43174,3371.628369,1.126537456,nan,nan,nan,nan,nan,0.338745816,0.000429492
2MASS J04130560+1514520,63.273348,15.247784,44.5930824,0.0597973,ms,nan,nan,nan,nan,10.444,0.019,14.355,0.003,16.064,0.007,13.103,0.004,2,1.303,0.242,0.000,30.07939,0.09380,96.58651,-4.20804,0.02905,3.49305,0.34933,3228.264865,0.737543431,1.8880,9.46E-14,5.49E-15,x,nan,0.281914775,0.000319602
2MASS J04135234+1521538,63.468107,15.364968,44.5971222,0.1943932,ms,nan,nan,nan,nan,9.700,0.020,14.309,0.003,15.431,0.033,12.503,0.040,2,1.557,0.248,0.001,31.13257,0.23068,94.97063,-3.71025,0.01567,3.54075,0.35422,3236.417226,1.748756235,nan,4.04E-13,2.39E-14,x,nan,0.285447465,0.000757794
2MASS J04135415+1550084,63.475646,15.835678,41.35649297,0.974904921,ms,nan,nan,nan,nan,11.347,0.018,15.673,0.003,17.026,0.012,14.004,0.007,2,4.353,0.156,0.002,10.55232,0.37599,126.91802,-1.26997,0.04415,2.39448,0.24260,3040.049616,7.32093528,nan,nan,nan,nan,nan,0.18986142,0.002252595
2MASS J04140812+0924240,63.533843,9.406673,56.7857742,0.04411505,ms,nan,nan,nan,nan,8.221,0.034,10.651,0.003,11.324,0.003,9.865,0.004,0,0.985,0.697,0.000,630.53663,2.63524,27.20037,nan,nan,8.67790,0.86785,4404.897722,2.535805711,nan,nan,nan,nan,nan,0.692976622,0.000579613
2MASS J04142562+1437300,63.606781,14.625027,49.0047455,0.05348205,ms,nan,nan,nan,nan,6.825,0.017,8.304,0.003,8.647,0.004,7.784,0.004,2,0.956,0.976,0.000,3256.98816,12.70857,14.50944,2.75529,0.11690,9.74020,0.97402,5633.63936,2.029552012,nan,3.14E-13,5.36E-14,rs,nan,0.964698368,0.000947124
2MASS J04142644+0510500,63.610179,5.180570,55.1509819,0.0521946,ms,nan,nan,nan,nan,7.425,0.020,9.246,0.003,9.688,0.003,8.639,0.004,2,1.067,0.882,0.000,1782.96142,5.61507,17.72342,1.74670,0.00744,8.71695,0.87176,5278.743029,1.877662937,nan,nan,nan,nan,nan,0.816179283,0.000682787
2MASS J04142723+1226070,63.613488,12.435305,47.4154701,0.06901355,ms,nan,nan,nan,nan,6.534,0.017,7.885,0.003,8.199,0.004,7.404,0.004,0,1.020,1.023,0.001,4447.31804,18.08574,13.18422,2.91859,0.12217,9.47761,0.94776,5838.547611,2.26613279,8.6366,5.03E-13,1.57E-14,r,nan,1.048558726,0.001208604
2MASS J04142981+1843480,63.624209,18.730024,48.2283249,0.16955185,ms,nan,nan,nan,nan,9.427,0.017,13.204,0.003,14.758,0.005,11.996,0.004,0,3.769,0.391,0.001,79.29761,0.59249,61.80516,-2.64190,0.02193,4.79083,0.47911,3457.860456,0.862094366,nan,nan,nan,nan,nan,0.402790683,0.001293142
2MASS J04143040+2227066,63.626691,22.451847,59.347168,0.3426323,ms,nan,nan,nan,nan,6.005,0.021,6.957,0.003,7.156,0.003,6.594,0.004,0,2.823,1.387,0.007,16229.76433,219.84759,0.00000,nan,nan,nan,nan,6678.846135,9.349508542,nan,7.72E-13,1.29E-13,r,nan,1.537975951,0.005259099
2MASS J04143228+2334298,63.634525,23.574968,45.392601,0.04615215,ms,nan,nan,nan,nan,6.516,0.020,7.897,0.003,8.218,0.003,7.405,0.004,0,0.993,1.004,0.001,4026.56680,13.99542,13.68287,2.77829,0.26413,9.53641,0.95365,5783.051967,1.937430874,8.3780,7.26E-13,1.24E-13,r,nan,1.018961049,0.001033296
2MASS J04143433+1042050,63.643060,10.701405,45.0447578,0.04252435,ms,nan,nan,nan,nan,5.862,0.017,6.986,0.003,7.230,0.003,6.569,0.004,0,0.839,1.203,0.000,8945.61792,31.23437,9.42103,3.51143,0.01633,8.96342,0.89634,6256.826966,1.513734448,3.8527,1.01E-12,1.76E-13,r,nan,1.300131775,0.001559146
2MASS J04144521+1903502,63.688384,19.063965,51.8898087,0.1102581,ms,nan,nan,nan,nan,10.984,0.018,14.965,0.003,16.726,0.006,13.702,0.004,0,1.083,0.220,0.000,24.50214,0.09739,103.46099,-4.04072,0.04345,3.25782,0.32581,3188.623348,0.662588747,nan,nan,nan,nan,nan,0.261815308,0.000377676
2MASS J04145019+2422375,63.709143,24.377089,50.2797241,0.1021328,ms,nan,nan,nan,nan,11.593,0.021,15.713,0.003,17.615,0.008,14.415,0.004,0,1.042,0.175,0.000,13.70316,0.04932,119.31799,nan,nan,2.66053,0.26608,3090.015594,0.650087428,nan,nan,nan,nan,nan,0.208606549,0.000273037
2MASS J04145191+1303178,63.716314,13.054946,44.7860603,0.0801258,ms,nan,nan,nan,nan,7.688,0.017,10.232,0.003,10.916,0.003,9.420,0.004,2,2.403,0.692,0.000,560.95698,3.34490,27.54253,0.60426,0.14946,8.35263,0.83543,4333.804651,3.614716924,nan,4.09E-13,1.22E-13,r,nan,0.676726777,0.000826221
2MASS J04145348+2745284,63.722858,27.757902,22.6560745,0.01928045,ms,nan,nan,nan,nan,7.901,0.033,11.572,0.003,12.981,0.004,10.399,0.004,2,1.147,0.390,0.000,78.68107,0.25235,61.92664,-1.85577,0.03345,4.78593,0.47860,3456.956501,0.370848573,nan,2.77E-13,7.85E-14,r,nan,0.401434751,0.000556273
2MASS J04150713-1132156,63.779721,-11.537692,43.5610199,0.03155895,ms,nan,nan,nan,nan,8.004,0.033,10.960,0.003,11.870,0.003,10.016,0.004,0,1.183,0.618,0.000,332.43070,0.35781,33.24640,nan,nan,6.78073,0.67808,3985.376614,0.70079952,nan,nan,nan,nan,nan,0.614460605,8.17599E-05
2MASS J04151038+1423544,63.793273,14.398454,47.5903244,0.03676605,ms,nan,nan,nan,nan,8.128,0.017,10.930,0.003,11.751,0.003,10.043,0.004,0,1.054,0.643,0.000,391.16305,0.78875,31.18846,0.46358,0.10242,7.19664,0.71969,4110.820641,1.249771895,13.9100,2.63E-14,3.14E-15,x,nan,0.632110025,0.000243706
2MASS J04153238+5831202,63.884934,58.522278,27.939579,0.01766585,ms,nan,nan,nan,nan,6.361,0.016,8.401,0.003,8.918,0.003,7.731,0.004,0,0.963,0.783,0.000,1109.80574,2.73760,22.13414,1.43343,0.03454,9.34834,0.93484,4853.543071,2.407436263,nan,4.14E-13,8.62E-14,r,nan,0.757441504,0.00024966
2MASS J04153255+2048274,63.885639,20.807613,43.1180649,0.17305755,ms,nan,nan,nan,nan,11.008,0.020,16.029,0.003,17.459,0.016,14.020,0.012,2,0.919,0.145,0.000,8.78459,0.05601,131.73591,nan,nan,2.19034,0.21915,3001.710852,1.328997625,nan,3.88E-13,1.04E-13,r,nan,0.178064878,0.000408922
2MASS J04153367+1542226,63.890293,15.706286,45.3976974,0.0414066,ms,nan,nan,nan,nan,7.853,0.023,10.433,0.003,11.169,0.003,9.604,0.004,2,1.139,0.679,0.000,492.94141,1.03956,28.50235,0.75139,0.01157,7.93857,0.79389,4254.302751,1.307022622,nan,nan,nan,nan,nan,0.660089037,0.000254869
2MASS J04153447+1935598,63.893645,19.599958,29.4265099,0.0179367,ms,nan,nan,nan,nan,9.911,0.017,13.962,0.003,15.788,0.005,12.681,0.004,0,1.063,0.207,0.000,20.77581,0.04919,107.67378,-5.27018,0.40392,3.08863,0.30887,3161.067135,0.395042228,nan,nan,nan,nan,nan,0.246108267,0.000225174
2MASS J04153482+1645447,63.895124,16.762438,47.7764816,0.0481243,ms,nan,nan,nan,nan,10.215,0.019,13.976,0.003,15.511,0.005,12.771,0.004,0,1.122,0.306,0.000,43.68329,0.10942,79.52453,0.00000,0.00000,4.06525,0.40655,3327.021319,0.724304235,nan,nan,nan,nan,nan,0.321739378,0.000276141
2MASS J04154242+2049114,63.926789,20.819851,49.2525711,0.10219,ms,nan,nan,nan,nan,6.190,0.017,7.652,0.003,7.999,0.003,7.132,0.004,2,1.826,1.084,0.003,5861.80499,32.53713,11.70086,nan,nan,9.30521,0.93053,5994.871981,3.60596022,nan,7.82E-13,1.31E-13,r,nan,1.144029992,0.001502483
2MASS J04154626+1524025,63.942773,15.400701,46.851265,0.0682125,ms,nan,nan,nan,nan,5.326,0.016,6.228,0.003,6.411,0.003,5.879,0.004,0,0.961,1.464,0.001,20039.70837,80.57403,0.00000,nan,nan,nan,nan,6837.770045,4.356687151,nan,5.41E-13,8.15E-14,rs,nan,1.627064463,0.001241656
2MASS J04154805+0857580,63.950234,8.966117,40.2709961,0.033947,ms,nan,nan,nan,nan,9.782,0.020,13.600,0.003,15.196,0.006,12.375,0.004,0,1.341,0.306,0.000,43.82752,0.10391,79.38154,-2.04075,0.04993,4.07064,0.40708,3327.975668,0.685647803,22.5687,2.09E-13,8.76E-14,r,nan,0.322103223,0.000261403
2MASS J04155716+4643359,63.988206,46.726662,35.1469383,0.0358353,ms,nan,nan,nan,nan,10.752,0.021,14.742,0.003,16.565,0.006,13.460,0.004,2,1.217,0.186,0.000,15.63349,0.04209,115.40445,-2.72702,0.05298,2.79699,0.27971,3113.566377,0.449137629,nan,nan,nan,nan,nan,0.219032835,0.000256008
2MASS J04160143+1658592,64.005982,16.983133,46.1305656,0.0445061,ms,nan,nan,nan,nan,9.916,0.017,13.755,0.003,15.356,0.004,12.531,0.004,0,1.218,0.323,0.000,48.16341,0.11890,75.41272,-3.27148,0.04766,4.22474,0.42249,3355.289236,0.71385881,10.7141,4.89E-13,3.06E-14,r,nan,0.332516521,0.000272159
2MASS J04160357+1851330,64.014890,18.859192,47.9564095,0.03808025,ms,nan,nan,nan,nan,9.410,0.017,12.993,0.003,14.354,0.005,11.842,0.004,0,0.952,0.409,0.000,92.62536,0.19439,58.69932,-0.55923,0.02851,4.96382,0.49640,3489.751859,0.819445539,nan,2.61E-14,9.89E-15,c,nan,0.426486627,0.000227624
2MASS J04161086+1132016,64.045274,11.533778,45.0260201,0.11115265,ms,nan,nan,nan,nan,11.582,0.020,15.822,0.003,17.870,0.015,14.492,0.004,0,1.152,0.158,0.000,10.81503,0.04595,126.28718,nan,nan,2.42186,0.24223,3045.191735,0.886480407,nan,nan,nan,nan,nan,0.191443611,0.000272763
2MASS J04161310+1853042,64.054612,18.884510,45.7705421,0.0466595,ms,nan,nan,nan,nan,8.268,0.017,11.203,0.003,12.114,0.003,10.266,0.004,0,1.076,0.604,0.000,318.42210,0.37720,34.47229,nan,nan,6.69590,0.66959,3957.329735,0.771234245,nan,3.50E-14,1.08E-14,c,nan,0.611188469,8.99773E-05
2MASS J04161352+1647481,64.056342,16.796715,48.3030739,0.4648266,ms,nan,nan,nan,nan,11.156,0.020,15.543,0.006,17.597,0.009,14.129,0.004,2,5.199,0.180,0.001,14.49062,0.21292,117.63109,nan,nan,2.71447,0.27193,3100.126498,2.63959562,nan,2.79E-14,3.64E-15,r,nan,0.212853129,0.00110863
2MASS J04162538+1410172,64.105783,14.171445,39.50494,0.04380795,ms,nan,nan,nan,nan,10.049,0.019,13.910,0.003,15.559,0.004,12.676,0.004,2,1.240,0.264,0.000,34.44493,0.09883,90.40003,-3.48558,0.02420,3.68090,0.36811,3260.368318,0.678712933,nan,nan,nan,nan,nan,0.295826271,0.000294109
2MASS J04163346+2154269,64.139437,21.907484,50.7384682,0.04810905,ms,nan,nan,nan,nan,7.275,0.023,8.930,0.003,9.331,0.003,8.362,0.004,0,1.024,0.894,0.000,2003.62442,6.31381,17.23927,2.00567,0.17406,8.77318,0.87734,5348.420289,1.878791758,10.2600,3.54E-13,9.07E-14,r,nan,0.841516469,0.000683197
2MASS J04164013+0750522,64.167239,7.847837,66.2342606,0.0780411,ms,nan,nan,nan,nan,9.809,0.000,12.940,0.003,14.016,0.003,11.898,0.004,2,1.088,0.498,0.001,155.20337,0.44085,45.73762,nan,nan,5.70095,0.57011,3656.894225,0.985472804,nan,nan,nan,nan,nan,0.499524757,0.0004681
