 # M = 2.80 Mo, Y = 0.2300, Z = 2.00000E-04, alpha = 1.20, X_D = 4.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
   1  5.03821711   0.770   1.93853   3.70631   6.23551  -1.83938   0.00000   9.240E-01   0.000E+00   7.570E-02
   2  5.05438029   0.770   1.93586   3.70643   6.23707  -1.83471   0.00000   9.227E-01   0.000E+00   7.704E-02
   3  5.06996345   0.770   1.93319   3.70655   6.23862  -1.83004   0.00000   9.214E-01   0.000E+00   7.839E-02
   4  5.08500677   0.770   1.93052   3.70667   6.24018  -1.82537   0.00000   9.201E-01   0.000E+00   7.973E-02
   5  5.09954641   0.770   1.92785   3.70679   6.24174  -1.82070   0.00000   9.189E-01   0.000E+00   8.108E-02
   6  5.11361501   0.770   1.92518   3.70691   6.24329  -1.81604   0.00000   9.176E-01   0.000E+00   8.242E-02
   7  5.12724213   0.770   1.92252   3.70703   6.24485  -1.81137   0.00000   9.163E-01   0.000E+00   8.376E-02
   8  5.14045465   0.770   1.91985   3.70715   6.24641  -1.80669   0.00000   9.150E-01   0.000E+00   8.511E-02
   9  5.15327704   0.770   1.91682   3.70728   6.24817  -1.80142   0.00000   9.122E-01   0.000E+00   8.784E-02
  10  5.16573168   0.770   1.91380   3.70742   6.24992  -1.79614   0.00000   9.095E-01   0.000E+00   9.056E-02
  11  5.17783909   0.770   1.91078   3.70755   6.25168  -1.79087   0.00000   9.068E-01   0.000E+00   9.328E-02
  12  5.18961810   0.770   1.90776   3.70769   6.25344  -1.78559   0.00000   9.040E-01   0.000E+00   9.600E-02
  13  5.20108605   0.770   1.90474   3.70782   6.25520  -1.78032   0.00000   9.013E-01   0.000E+00   9.872E-02
  14  5.21225895   0.770   1.90171   3.70795   6.25696  -1.77504   0.00000   8.986E-01   0.000E+00   1.014E-01
  15  5.22315161   0.770   1.89845   3.70810   6.25885  -1.76935   0.00000   8.950E-01   0.000E+00   1.050E-01
  16  5.23377774   0.770   1.89488   3.70826   6.26093  -1.76311   0.00000   8.903E-01   0.000E+00   1.097E-01
  17  5.24415007   0.770   1.89130   3.70842   6.26301  -1.75687   0.00000   8.857E-01   0.000E+00   1.143E-01
  18  5.25428045   0.770   1.88772   3.70857   6.26509  -1.75063   0.00000   8.810E-01   0.000E+00   1.190E-01
  19  5.26417989   0.770   1.88414   3.70873   6.26717  -1.74439   0.00000   8.764E-01   0.000E+00   1.236E-01
  20  5.27385871   0.770   1.88057   3.70889   6.26925  -1.73815   0.00000   8.717E-01   0.000E+00   1.283E-01
  21  5.28332652   0.770   1.87651   3.70907   6.27162  -1.73106   0.00000   8.647E-01   0.000E+00   1.353E-01
  22  5.29259232   0.770   1.87216   3.70927   6.27415  -1.72347   0.00000   8.564E-01   0.000E+00   1.436E-01
  23  5.30166455   0.770   1.86781   3.70946   6.27667  -1.71589   0.00000   8.480E-01   0.000E+00   1.520E-01
  24  5.31055114   0.770   1.86347   3.70965   6.27920  -1.70830   0.00000   8.396E-01   0.000E+00   1.604E-01
  25  5.31925953   0.770   1.85912   3.70985   6.28173  -1.70071   0.00000   8.312E-01   0.000E+00   1.688E-01
  26  5.32779673   0.770   1.85405   3.71007   6.28468  -1.69186   0.00000   8.190E-01   0.000E+00   1.810E-01
  27  5.33616934   0.770   1.84871   3.71031   6.28778  -1.68255   0.00000   8.053E-01   0.000E+00   1.947E-01
  28  5.34438359   0.770   1.84338   3.71054   6.29089  -1.67324   0.00000   7.916E-01   0.000E+00   2.084E-01
  29  5.35244535   0.770   1.83804   3.71077   6.29399  -1.66393   0.00000   7.779E-01   0.000E+00   2.221E-01
  30  5.36036018   0.770   1.83188   3.71104   6.29757  -1.65318   0.00000   7.583E-01   0.000E+00   2.417E-01
  31  5.36813335   0.770   1.82538   3.71133   6.30135  -1.64185   0.00000   7.364E-01   0.000E+00   2.636E-01
  32  5.37576983   0.770   1.81888   3.71162   6.30513  -1.63052   0.00000   7.144E-01   0.000E+00   2.856E-01
  33  5.38327436   0.770   1.81184   3.71193   6.30922  -1.61823   0.00000   6.881E-01   0.000E+00   3.119E-01
  34  5.39065140   0.770   1.80411   3.71227   6.31373  -1.60473   0.00000   6.561E-01   0.000E+00   3.439E-01
  35  5.39790523   0.770   1.79638   3.71261   6.31823  -1.59122   0.00000   6.242E-01   0.000E+00   3.758E-01
  36  5.40503989   0.770   1.78817   3.71300   6.32301  -1.57470   0.12321   5.828E-01   0.000E+00   4.172E-01
  37  5.41205923   0.770   1.77979   3.71341   6.32790  -1.55714   0.28893   5.382E-01   0.000E+00   4.618E-01
  38  5.41896692   0.770   1.76905   3.71402   6.33241  -1.52446   0.27669   3.819E-01   0.000E+00   6.179E-01
  39  5.42576646   0.770   1.75574   3.71484   6.33651  -1.47533   0.07111   1.041E-01   0.000E+00   8.951E-01
  40  5.43246118   0.770   1.74428   3.71559   6.34062  -1.43126   0.00000   4.426E-03   0.000E+00   9.946E-01
  41  5.43905426   0.770   1.73424   3.71629   6.34532  -1.39211   0.00000   3.000E-03   0.000E+00   9.960E-01
