 # M = 0.40 Mo, Y = 0.2300, Z = 2.00000E-04, alpha = 1.20, X_D = 4.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
   1  5.06845690   0.770   0.45953   3.65696   6.04642  -0.74745   0.00000   9.340E-01   0.000E+00   6.630E-02
   2  5.19347364   0.770   0.45171   3.65695   6.05017  -0.73618   0.00000   9.367E-01   0.000E+00   6.365E-02
   3  5.29043044   0.770   0.44455   3.65695   6.05360  -0.72587   0.00000   9.399E-01   0.000E+00   6.044E-02
   4  5.36964288   0.770   0.43800   3.65694   6.05674  -0.71642   0.00000   9.435E-01   0.000E+00   5.673E-02
   5  5.43661195   0.770   0.43174   3.65693   6.05973  -0.70742   0.00000   9.466E-01   0.000E+00   5.358E-02
   6  5.49462061   0.770   0.42613   3.65692   6.06242  -0.69936   0.00000   9.486E-01   0.000E+00   5.165E-02
   7  5.54578613   0.770   0.42051   3.65691   6.06510  -0.69131   0.00000   9.506E-01   0.000E+00   4.972E-02
   8  5.59155401   0.770   0.41496   3.65689   6.06775  -0.68335   0.00000   9.519E-01   0.000E+00   4.832E-02
   9  5.63295520   0.770   0.40959   3.65688   6.07030  -0.67568   0.00000   9.516E-01   0.000E+00   4.841E-02
  10  5.67075085   0.770   0.40422   3.65686   6.07286  -0.66801   0.00000   9.514E-01   0.000E+00   4.849E-02
  11  5.70551896   0.770   0.39884   3.65684   6.07541  -0.66034   0.00000   9.511E-01   0.000E+00   4.858E-02
  12  5.73770878   0.770   0.39331   3.65681   6.07804  -0.65245   0.00000   9.501E-01   0.000E+00   4.959E-02
  13  5.76767646   0.770   0.38770   3.65679   6.08069  -0.64446   0.00000   9.487E-01   0.000E+00   5.098E-02
  14  5.79570908   0.770   0.38210   3.65676   6.08335  -0.63648   0.00000   9.474E-01   0.000E+00   5.238E-02
  15  5.82204146   0.770   0.37649   3.65674   6.08600  -0.62849   0.00000   9.460E-01   0.000E+00   5.377E-02
  16  5.84686810   0.770   0.37022   3.65670   6.08896  -0.61960   0.00000   9.432E-01   0.000E+00   5.669E-02
  17  5.87035193   0.770   0.36393   3.65667   6.09193  -0.61069   0.00000   9.404E-01   0.000E+00   5.963E-02
  18  5.89263079   0.770   0.35764   3.65663   6.09489  -0.60179   0.00000   9.376E-01   0.000E+00   6.257E-02
  19  5.91382231   0.770   0.35087   3.65659   6.09807  -0.59222   0.00000   9.337E-01   0.000E+00   6.655E-02
  20  5.93402772   0.770   0.34343   3.65653   6.10156  -0.58173   0.00000   9.280E-01   0.000E+00   7.199E-02
  21  5.95333473   0.770   0.33599   3.65648   6.10506  -0.57124   0.00000   9.223E-01   0.000E+00   7.743E-02
  22  5.97181983   0.770   0.32814   3.65642   6.10873  -0.56020   0.00000   9.157E-01   0.000E+00   8.390E-02
  23  5.98955016   0.770   0.31898   3.65634   6.11300  -0.54736   0.00000   9.061E-01   0.000E+00   9.372E-02
  24  6.00658493   0.770   0.30981   3.65627   6.11727  -0.53453   0.00000   8.964E-01   0.000E+00   1.035E-01
  25  6.02297668   0.770   0.29936   3.65616   6.12213  -0.51994   0.00000   8.822E-01   0.000E+00   1.178E-01
  26  6.03877219   0.770   0.28784   3.65605   6.12747  -0.50388   0.00000   8.644E-01   0.000E+00   1.356E-01
  27  6.05401331   0.770   0.27520   3.65591   6.13331  -0.48631   0.00000   8.417E-01   0.000E+00   1.583E-01
  28  6.06873764   0.770   0.26060   3.65573   6.14003  -0.46609   0.00000   8.106E-01   0.000E+00   1.894E-01
  29  6.08297908   0.770   0.24372   3.65551   6.14778  -0.44278   0.00000   7.660E-01   0.000E+00   2.340E-01
  30  6.09676831   0.770   0.22446   3.65524   6.15661  -0.41626   0.00000   7.065E-01   0.000E+00   2.935E-01
  31  6.11013316   0.770   0.20161   3.65489   6.16702  -0.38498   0.00000   6.225E-01   0.000E+00   3.775E-01
  32  6.12309897   0.770   0.17459   3.65444   6.17924  -0.34823   0.00000   5.075E-01   0.000E+00   4.925E-01
  33  6.13568888   0.770   0.14366   3.65387   6.19314  -0.30642   0.00000   3.699E-01   0.000E+00   6.301E-01
  34  6.14792408   0.770   0.10971   3.65317   6.20832  -0.26081   0.00000   2.331E-01   0.000E+00   7.669E-01
  35  6.15982401   0.770   0.07461   3.65237   6.22390  -0.21408   0.00000   1.247E-01   0.000E+00   8.753E-01
  36  6.17140654   0.770   0.04047   3.65154   6.23888  -0.16904   0.00000   5.859E-02   0.000E+00   9.414E-01
  37  6.18268819   0.770   0.00874   3.65072   6.25284  -0.12716   0.00000   3.421E-02   0.000E+00   9.658E-01
  38  6.19368417   0.770  -0.02065   3.64995   6.26565  -0.08862   0.00000   1.980E-02   0.000E+00   9.802E-01
  39  6.20440861   0.770  -0.04749   3.64923   6.27731  -0.05351   0.00000   1.120E-02   0.000E+00   9.888E-01
  40  6.21487458   0.770  -0.07241   3.64855   6.28812  -0.02093   0.00000   6.685E-03   0.000E+00   9.933E-01
  41  6.22509426   0.770  -0.09557   3.64793   6.29816   0.00933   0.00000   3.000E-03   0.000E+00   9.970E-01
  42  6.24608434   0.770  -0.13936   3.64675   6.31719   0.06672   0.00000   1.000E-03   0.000E+00   9.990E-01
  43  6.26610654   0.770  -0.17766   3.64574   6.33386   0.11700   0.00000   0.000E+00   0.000E+00   1.000E+00
  44  6.28524620   0.770  -0.21163   3.64486   6.34867   0.16169   0.00000   0.000E+00   0.000E+00   1.000E+00
  45  6.30357785   0.770  -0.24205   3.64408   6.36197   0.20182   0.00000   0.000E+00   0.000E+00   1.000E+00
  46  6.32116695   0.770  -0.26963   3.64337   6.37403   0.23826   0.00000   0.000E+00   0.000E+00   1.000E+00
  47  6.33807132   0.770  -0.29483   3.64274   6.38508   0.27164   0.00000   0.000E+00   0.000E+00   1.000E+00
  48  6.35434230   0.770  -0.31815   3.64216   6.39532   0.30254   0.00000   0.000E+00   0.000E+00   1.000E+00
  49  6.37002562   0.770  -0.33978   3.64163   6.40482   0.33125   0.00000   0.000E+00   0.000E+00   1.000E+00
  50  6.38516227   0.770  -0.35983   3.64114   6.41363   0.35791   0.00000   0.000E+00   0.000E+00   1.000E+00
  51  6.39978908   0.770  -0.37865   3.64068   6.42191   0.38294   0.00000   0.000E+00   0.000E+00   1.000E+00
  52  6.41393927   0.770  -0.39636   3.64025   6.42971   0.40654   0.00000   0.000E+00   0.000E+00   1.000E+00
  53  6.42764293   0.770  -0.41305   3.63985   6.43706   0.42874   0.00000   0.000E+00   0.000E+00   1.000E+00
  54  6.44092738   0.770  -0.42878   3.63947   6.44400   0.44976   0.00000   0.000E+00   0.000E+00   1.000E+00
  55  6.45381751   0.770  -0.44374   3.63912   6.45060   0.46975   0.00000   0.000E+00   0.000E+00   1.000E+00
  56  6.46633606   0.770  -0.45803   3.63879   6.45691   0.48886   0.00000   0.000E+00   0.000E+00   1.000E+00
  57  6.47850384   0.770  -0.47174   3.63846   6.46298   0.50722   0.00000   0.000E+00   0.000E+00   1.000E+00
