 # M = 0.75 Mo, Y = 0.2300, Z = 2.00000E-04, alpha = 1.20, X_D = 4.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
   1  5.05937979   0.770   0.98859   3.68415   6.10443  -1.10902   0.00000   9.350E-01   0.000E+00   6.460E-02
   2  5.13454048   0.770   0.98310   3.68429   6.10737  -1.10021   0.00000   9.388E-01   0.000E+00   6.098E-02
   3  5.19859248   0.770   0.97762   3.68442   6.11031  -1.09139   0.00000   9.426E-01   0.000E+00   5.735E-02
   4  5.25440060   0.770   0.97240   3.68456   6.11310  -1.08301   0.00000   9.455E-01   0.000E+00   5.458E-02
   5  5.30384696   0.770   0.96762   3.68468   6.11566  -1.07532   0.00000   9.470E-01   0.000E+00   5.321E-02
   6  5.34823469   0.770   0.96284   3.68480   6.11822  -1.06764   0.00000   9.484E-01   0.000E+00   5.184E-02
   7  5.38850343   0.770   0.95806   3.68492   6.12078  -1.05995   0.00000   9.498E-01   0.000E+00   5.047E-02
   8  5.42535315   0.770   0.95337   3.68503   6.12328  -1.05245   0.00000   9.496E-01   0.000E+00   5.061E-02
   9  5.45931926   0.770   0.94870   3.68514   6.12577  -1.04497   0.00000   9.491E-01   0.000E+00   5.096E-02
  10  5.49082050   0.770   0.94403   3.68525   6.12826  -1.03749   0.00000   9.486E-01   0.000E+00   5.131E-02
  11  5.52019053   0.770   0.93935   3.68537   6.13075  -1.03002   0.00000   9.481E-01   0.000E+00   5.166E-02
  12  5.54769955   0.770   0.93443   3.68549   6.13339  -1.02212   0.00000   9.467E-01   0.000E+00   5.317E-02
  13  5.57356941   0.770   0.92946   3.68561   6.13604  -1.01416   0.00000   9.452E-01   0.000E+00   5.484E-02
  14  5.59798451   0.770   0.92450   3.68573   6.13869  -1.00621   0.00000   9.438E-01   0.000E+00   5.651E-02
  15  5.62109980   0.770   0.91954   3.68585   6.14134  -0.99826   0.00000   9.423E-01   0.000E+00   5.817E-02
  16  5.64304670   0.770   0.91400   3.68597   6.14428  -0.98943   0.00000   9.393E-01   0.000E+00   6.116E-02
  17  5.66393767   0.770   0.90833   3.68610   6.14729  -0.98039   0.00000   9.359E-01   0.000E+00   6.448E-02
  18  5.68386968   0.770   0.90266   3.68623   6.15030  -0.97135   0.00000   9.325E-01   0.000E+00   6.779E-02
  19  5.70292690   0.770   0.89698   3.68636   6.15331  -0.96232   0.00000   9.291E-01   0.000E+00   7.111E-02
  20  5.72118291   0.770   0.89020   3.68650   6.15690  -0.95154   0.00000   9.229E-01   0.000E+00   7.719E-02
  21  5.73870236   0.770   0.88339   3.68665   6.16051  -0.94071   0.00000   9.167E-01   0.000E+00   8.336E-02
  22  5.75554240   0.770   0.87658   3.68679   6.16412  -0.92988   0.00000   9.104E-01   0.000E+00   8.952E-02
  23  5.77175376   0.770   0.86875   3.68696   6.16826  -0.91745   0.00000   9.012E-01   0.000E+00   9.873E-02
  24  5.78738170   0.770   0.86028   3.68714   6.17273  -0.90402   0.00000   8.901E-01   0.000E+00   1.098E-01
  25  5.80246674   0.770   0.85182   3.68732   6.17721  -0.89059   0.00000   8.790E-01   0.000E+00   1.210E-01
  26  5.81704536   0.770   0.84152   3.68752   6.18264  -0.87429   0.00000   8.603E-01   0.000E+00   1.397E-01
  27  5.83115044   0.770   0.83080   3.68774   6.18828  -0.85734   0.00000   8.399E-01   0.000E+00   1.601E-01
  28  5.84481180   0.770   0.81848   3.68797   6.19475  -0.83791   0.00000   8.111E-01   0.000E+00   1.889E-01
  29  5.85805648   0.770   0.80492   3.68822   6.20186  -0.81656   0.00000   7.758E-01   0.000E+00   2.242E-01
  30  5.87090917   0.770   0.78883   3.68850   6.21029  -0.79128   0.00000   7.241E-01   0.000E+00   2.759E-01
  31  5.88339240   0.770   0.77077   3.68880   6.21972  -0.76302   0.00000   6.583E-01   0.000E+00   3.417E-01
  32  5.89552682   0.770   0.74986   3.68912   6.23058  -0.73043   0.00000   5.703E-01   0.000E+00   4.297E-01
  33  5.90733139   0.770   0.72577   3.68947   6.24303  -0.69305   0.00000   4.585E-01   0.000E+00   5.415E-01
  34  5.91882358   0.770   0.69891   3.68982   6.25688  -0.65150   0.00000   3.344E-01   0.000E+00   6.656E-01
  35  5.93001948   0.770   0.67024   3.69015   6.27160  -0.60734   0.00000   2.154E-01   0.000E+00   7.846E-01
  36  5.94093400   0.770   0.64094   3.69043   6.28652  -0.56257   0.00000   1.251E-01   0.000E+00   8.749E-01
  37  5.95158093   0.770   0.61234   3.69066   6.30110  -0.51896   0.00000   6.381E-02   0.000E+00   9.362E-01
  38  5.96197308   0.770   0.58526   3.69083   6.31475  -0.47802   0.00000   3.130E-02   0.000E+00   9.687E-01
  39  5.97212236   0.770   0.55992   3.69095   6.32744  -0.43995   0.00000   1.480E-02   0.000E+00   9.852E-01
  40  5.98203985   0.770   0.53626   3.69103   6.33919  -0.40464   0.00000   6.852E-03   0.000E+00   9.931E-01
  41  5.99173592   0.770   0.51417   3.69107   6.35011  -0.37185   0.00000   3.000E-03   0.000E+00   9.970E-01
  42  6.00996207   0.770   0.47541   3.69107   6.36913  -0.31468   0.00000   9.428E-04   0.000E+00   9.991E-01
  43  6.02745402   0.770   0.44102   3.69102   6.38591  -0.26424   0.00000   0.000E+00   0.000E+00   1.000E+00
  44  6.04426865   0.770   0.41019   3.69094   6.40089  -0.21925   0.00000   0.000E+00   0.000E+00   1.000E+00
  45  6.06045645   0.770   0.38201   3.69083   6.41452  -0.17827   0.00000   0.000E+00   0.000E+00   1.000E+00
  46  6.07606250   0.770   0.35647   3.69071   6.42683  -0.14127   0.00000   0.000E+00   0.000E+00   1.000E+00
  47  6.09112715   0.770   0.33280   3.69058   6.43820  -0.10707   0.00000   0.000E+00   0.000E+00   1.000E+00
  48  6.10568671   0.770   0.31081   3.69044   6.44874  -0.07539   0.00000   0.000E+00   0.000E+00   1.000E+00
  49  6.11977397   0.770   0.29031   3.69029   6.45854  -0.04592   0.00000   0.000E+00   0.000E+00   1.000E+00
  50  6.13341859   0.770   0.27115   3.69015   6.46759  -0.01830   0.00000   0.000E+00   0.000E+00   1.000E+00
  51  6.14664755   0.770   0.25316   3.69002   6.47590   0.00775   0.00000   0.000E+00   0.000E+00   1.000E+00
  52  6.15948544   0.770   0.23622   3.68987   6.48360   0.03247   0.00000   0.000E+00   0.000E+00   1.000E+00
  53  6.17195470   0.770   0.22018   3.68973   6.49077   0.05598   0.00000   0.000E+00   0.000E+00   1.000E+00
  54  6.18407592   0.770   0.20495   3.68959   6.49750   0.07845   0.00000   0.000E+00   0.000E+00   1.000E+00
  55  6.19586800   0.770   0.19042   3.68946   6.50385   0.10000   0.00000   0.000E+00   0.000E+00   1.000E+00
  56  6.20734834   0.770   0.17651   3.68933   6.50986   0.12073   0.00000   0.000E+00   0.000E+00   1.000E+00
  57  6.21853301   0.770   0.16342   3.68919   6.51545   0.14038   0.00000   0.000E+00   0.000E+00   1.000E+00
  58  6.22943684   0.770   0.15080   3.68907   6.52081   0.15943   0.00000   0.000E+00   0.000E+00   1.000E+00
  59  6.24007361   0.770   0.13859   3.68894   6.52597   0.17797   0.00000   0.000E+00   0.000E+00   1.000E+00
  60  6.25045607   0.770   0.12712   3.68882   6.53076   0.19553   0.00000   0.000E+00   0.000E+00   1.000E+00
  61  6.26059612   0.770   0.11591   3.68870   6.53543   0.21274   0.00000   0.000E+00   0.000E+00   1.000E+00
  62  6.27050480   0.770   0.10519   3.68859   6.53988   0.22933   0.00000   0.000E+00   0.000E+00   1.000E+00
  63  6.28019244   0.770   0.09488   3.68847   6.54414   0.24539   0.00000   0.000E+00   0.000E+00   1.000E+00
