 # M = 3.40 Mo, Y = 0.2300, Z = 2.00000E-04, alpha = 1.20, X_D = 4.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
   1  5.02116463   0.770   2.06751   3.70804   6.25664  -1.93840   0.00000   9.140E-01   0.000E+00   8.610E-02
   2  5.03659915   0.770   2.06447   3.70818   6.25842  -1.93305   0.00000   9.116E-01   0.000E+00   8.846E-02
   3  5.05150392   0.770   2.06142   3.70832   6.26020  -1.92770   0.00000   9.093E-01   0.000E+00   9.082E-02
   4  5.06591408   0.770   2.05838   3.70846   6.26199  -1.92235   0.00000   9.069E-01   0.000E+00   9.317E-02
   5  5.07986143   0.770   2.05533   3.70860   6.26377  -1.91700   0.00000   9.045E-01   0.000E+00   9.553E-02
   6  5.09337476   0.770   2.05229   3.70874   6.26555  -1.91165   0.00000   9.021E-01   0.000E+00   9.789E-02
   7  5.10648027   0.770   2.04924   3.70888   6.26733  -1.90630   0.00000   8.998E-01   0.000E+00   1.002E-01
   8  5.11920185   0.770   2.04587   3.70903   6.26931  -1.90037   0.00000   8.962E-01   0.000E+00   1.038E-01
   9  5.13156138   0.770   2.04235   3.70919   6.27137  -1.89418   0.00000   8.920E-01   0.000E+00   1.080E-01
  10  5.14357887   0.770   2.03882   3.70935   6.27343  -1.88799   0.00000   8.878E-01   0.000E+00   1.122E-01
  11  5.15527276   0.770   2.03530   3.70952   6.27550  -1.88179   0.00000   8.836E-01   0.000E+00   1.164E-01
  12  5.16666002   0.770   2.03177   3.70968   6.27756  -1.87560   0.00000   8.794E-01   0.000E+00   1.206E-01
  13  5.17775631   0.770   2.02825   3.70984   6.27963  -1.86940   0.00000   8.752E-01   0.000E+00   1.248E-01
  14  5.18857614   0.770   2.02424   3.71004   6.28203  -1.86141   0.13996   8.677E-01   0.000E+00   1.323E-01
  15  5.19913295   0.770   2.02022   3.71024   6.28446  -1.85331   0.28813   8.600E-01   0.000E+00   1.400E-01
  16  5.20943923   0.770   2.01619   3.71043   6.28689  -1.84520   0.43629   8.524E-01   0.000E+00   1.476E-01
  17  5.21950658   0.770   2.01216   3.71063   6.28932  -1.83710   0.58446   8.447E-01   0.000E+00   1.553E-01
  18  5.22934584   0.770   2.00805   3.71084   6.29181  -1.82866   0.73179   8.369E-01   0.000E+00   1.631E-01
  19  5.23896711   0.770   1.97241   3.71373   6.31838  -1.68647   0.54331   7.903E-01   0.000E+00   1.937E-01
  20  5.24837985   0.770   1.93678   3.71661   6.34496  -1.54428   0.35484   7.437E-01   0.000E+00   2.243E-01
  21  5.25759290   0.770   1.90114   3.71950   6.37153  -1.40208   0.16637   6.971E-01   0.000E+00   2.550E-01
  22  5.26661456   0.770   1.87032   3.72213   6.39568  -1.27238   0.00000   5.629E-01   0.000E+00   3.839E-01
  23  5.27545262   0.770   1.87624   3.72284   6.40168  -1.23701   0.00000   3.355E-02   0.000E+00   9.629E-01
  24  5.28411440   0.770   1.88379   3.72359   6.40818  -1.20258   0.00000   2.240E-02   0.000E+00   9.753E-01
  25  5.29260680   0.770   1.89284   3.72438   6.41495  -1.16930   0.00000   1.671E-02   0.000E+00   9.814E-01
  26  5.30093632   0.770   1.90348   3.72520   6.42198  -1.13696   0.00000   1.364E-02   0.000E+00   9.847E-01
  27  5.30910908   0.770   1.91578   3.72605   6.42927  -1.10526   0.00000   1.169E-02   0.000E+00   9.873E-01
  28  5.31713088   0.770   1.92992   3.72696   6.43677  -1.07414   0.00000   1.000E-02   0.000E+00   9.890E-01
  29  5.32500719   0.770   1.94620   3.72790   6.44449  -1.04346   0.00000   9.000E-03   0.000E+00   9.900E-01
  30  5.33274320   0.770   1.96478   3.72893   6.45244  -1.01313   0.00000   8.000E-03   0.000E+00   9.910E-01
  31  5.34034382   0.770   1.98552   3.73004   6.46066  -0.98296   0.00000   8.000E-03   0.000E+00   9.920E-01
  32  5.34781370   0.770   2.00783   3.73126   6.46903  -0.95306   0.00000   7.000E-03   0.000E+00   9.930E-01
  33  5.35515727   0.770   2.03056   3.73259   6.47764  -0.92326   0.00000   7.000E-03   0.000E+00   9.930E-01
  34  5.36237873   0.770   2.05191   3.73405   6.48644  -0.89352   0.00000   7.000E-03   0.000E+00   9.940E-01
  35  5.36948207   0.770   2.07024   3.73559   6.49542  -0.86384   0.00000   7.000E-03   0.000E+00   9.940E-01
  36  5.37647110   0.770   2.08524   3.73720   6.50453  -0.83425   0.00000   7.000E-03   0.000E+00   9.940E-01
  37  5.38334943   0.770   2.09776   3.73890   6.51373  -0.80481   0.00000   7.000E-03   0.000E+00   9.950E-01
  38  5.39012052   0.770   2.10845   3.74068   6.52296  -0.77557   0.00000   7.000E-03   0.000E+00   9.950E-01
  39  5.39678766   0.770   2.11794   3.74259   6.53220  -0.74655   0.00000   7.157E-03   0.000E+00   9.950E-01
  40  5.40335399   0.770   2.12654   3.74462   6.54144  -0.71777   0.00000   8.000E-03   0.000E+00   9.950E-01
  41  5.40982252   0.770   2.13448   3.74680   6.55066  -0.68924   0.00000   9.000E-03   0.000E+00   9.960E-01
  42  5.41221624   0.770   2.13730   3.74766   6.55410  -0.67864   0.00000   9.000E-03   0.000E+00   9.960E-01
  43  5.41459683   0.770   2.14006   3.74853   6.55753  -0.66807   0.00000   9.000E-03   0.000E+00   9.960E-01
  44  5.41696445   0.770   2.14277   3.74944   6.56096  -0.65755   0.00000   9.748E-03   0.000E+00   9.960E-01
  45  5.41931922   0.770   2.14544   3.75037   6.56442  -0.64694   0.00000   1.000E-02   0.000E+00   9.960E-01
  46  5.42166130   0.770   2.14808   3.75135   6.56789  -0.63635   0.00000   1.000E-02   0.000E+00   9.960E-01
  47  5.42399082   0.770   2.15068   3.75235   6.57134  -0.62578   0.00000   1.096E-02   0.000E+00   9.960E-01
  48  5.42630791   0.770   2.15327   3.75344   6.57487  -0.61505   0.00000   1.165E-02   0.000E+00   9.960E-01
  49  5.42861270   0.770   2.15586   3.75458   6.57844  -0.60420   0.00000   1.221E-02   0.000E+00   9.960E-01
  50  5.43090532   0.770   2.15846   3.75577   6.58206  -0.59321   0.00000   1.266E-02   0.000E+00   9.960E-01
  51  5.43318591   0.770   2.16105   3.75701   6.58569  -0.58218   0.00000   1.326E-02   0.000E+00   9.961E-01
  52  5.43545458   0.770   2.16362   3.75840   6.58937  -0.57106   0.00000   1.436E-02   0.000E+00   9.965E-01
  53  5.43771146   0.770   2.16619   3.75978   6.59305  -0.55993   0.00000   1.545E-02   0.000E+00   9.968E-01
  54  5.43995668   0.770   2.16871   3.76127   6.59671  -0.54888   0.00000   1.657E-02   0.000E+00   9.970E-01
  55  5.44219034   0.770   2.17120   3.76286   6.60036  -0.53791   0.00000   1.771E-02   0.000E+00   9.970E-01
  56  5.44441258   0.770   2.17368   3.76445   6.60400  -0.52694   0.00000   1.885E-02   0.000E+00   9.970E-01
  57  5.44662351   0.770   2.17612   3.76620   6.60762  -0.51606   0.00000   1.998E-02   0.000E+00   9.970E-01
  58  5.44882323   0.770   2.17854   3.76797   6.61123  -0.50519   0.00000   2.112E-02   0.000E+00   9.970E-01
  59  5.45101187   0.770   2.18096   3.76978   6.61484  -0.49434   0.00000   2.244E-02   0.000E+00   9.970E-01
  60  5.45318954   0.770   2.18334   3.77171   6.61843  -0.48358   0.00000   2.434E-02   0.000E+00   9.970E-01
  61  5.45535634   0.770   2.18573   3.77363   6.62202  -0.47281   0.00000   2.624E-02   0.000E+00   9.970E-01
  62  5.45751238   0.770   2.18808   3.77565   6.62560  -0.46210   0.00000   2.813E-02   0.000E+00   9.970E-01
  63  5.45965778   0.770   2.19043   3.77773   6.62916  -0.45143   0.00000   3.002E-02   0.000E+00   9.970E-01
  64  5.46179262   0.770   2.19277   3.77981   6.63273  -0.44076   0.00000   3.191E-02   0.000E+00   9.970E-01
  65  5.46391703   0.770   2.19507   3.78203   6.63628  -0.43018   0.00000   3.450E-02   0.000E+00   9.970E-01
  66  5.46603109   0.770   2.19738   3.78425   6.63982  -0.41960   0.00000   3.713E-02   0.000E+00   9.970E-01
  67  5.46813491   0.770   2.19967   3.78648   6.64336  -0.40905   0.00000   3.985E-02   0.000E+00   9.971E-01
  68  5.47022859   0.770   2.20194   3.78875   6.64688  -0.39857   0.00000   4.283E-02   0.000E+00   9.975E-01
  69  5.47231223   0.770   2.20421   3.79102   6.65040  -0.38808   0.00000   4.580E-02   0.000E+00   9.979E-01
  70  5.47438591   0.770   2.20645   3.79330   6.65391  -0.37765   0.00000   4.898E-02   0.000E+00   9.980E-01
  71  5.47644974   0.770   2.20869   3.79559   6.65740  -0.36726   0.00000   5.230E-02   0.000E+00   9.980E-01
  72  5.47850381   0.770   2.21092   3.79788   6.66090  -0.35687   0.00000   5.562E-02   0.000E+00   9.980E-01
  73  5.48054822   0.770   2.21313   3.80017   6.66438  -0.34656   0.00000   5.989E-02   0.000E+00   9.980E-01
  74  5.48258304   0.770   2.21533   3.80246   6.66785  -0.33625   0.00000   6.427E-02   0.000E+00   9.980E-01
  75  5.48460837   0.770   2.21753   3.80475   6.67132  -0.32596   0.00000   6.882E-02   0.000E+00   9.980E-01
  76  5.48662430   0.770   2.21969   3.80704   6.67477  -0.31576   0.00000   7.425E-02   0.000E+00   9.980E-01
  77  5.48863092   0.770   2.22186   3.80932   6.67822  -0.30555   0.00000   7.968E-02   0.000E+00   9.980E-01
  78  5.49062831   0.770   2.22401   3.81160   6.68166  -0.29538   0.00000   8.552E-02   0.000E+00   9.980E-01
  79  5.49261655   0.770   2.22614   3.81387   6.68508  -0.28526   0.00000   9.198E-02   0.000E+00   9.980E-01
  80  5.49459573   0.770   2.22828   3.81615   6.68851  -0.27514   0.00000   9.845E-02   0.000E+00   9.980E-01
  81  5.49656594   0.770   2.23039   3.81842   6.69191  -0.26507   0.00000   1.057E-01   0.000E+00   9.980E-01
  82  5.49852724   0.770   2.23248   3.82068   6.69531  -0.25505   0.00000   1.136E-01   0.000E+00   9.980E-01
  83  5.50047973   0.770   2.23458   3.82295   6.69871  -0.24502   0.00000   1.214E-01   0.000E+00   9.980E-01
  84  5.50242348   0.770   2.23665   3.82520   6.70208  -0.23507   0.00000   1.303E-01   0.000E+00   9.980E-01
  85  5.50435857   0.770   2.23870   3.82745   6.70546  -0.22514   0.00000   1.395E-01   0.000E+00   9.980E-01
  86  5.50628508   0.770   2.24076   3.82970   6.70883  -0.21520   0.00000   1.486E-01   0.000E+00   9.980E-01
  87  5.50820307   0.770   2.24279   3.83193   6.71218  -0.20536   0.00000   1.598E-01   0.000E+00   9.983E-01
  88  5.51011264   0.770   2.24481   3.83416   6.71552  -0.19553   0.00000   1.709E-01   0.000E+00   9.987E-01
  89  5.51201384   0.770   2.24683   3.83638   6.71886  -0.18570   0.00000   1.824E-01   0.000E+00   9.990E-01
  90  5.51390676   0.770   2.24881   3.83860   6.72218  -0.17596   0.00000   1.959E-01   0.000E+00   9.990E-01
  91  5.51579146   0.770   2.25079   3.84082   6.72550  -0.16621   0.00000   2.094E-01   0.000E+00   9.990E-01
  92  5.51766802   0.770   2.25276   3.84303   6.72881  -0.15649   0.00000   2.234E-01   0.000E+00   9.990E-01
  93  5.51953651   0.770   2.25471   3.84523   6.73210  -0.14684   0.00000   2.396E-01   0.000E+00   9.990E-01
  94  5.52139699   0.770   2.25665   3.84743   6.73539  -0.13720   0.00000   2.557E-01   0.000E+00   9.990E-01
  95  5.52324953   0.770   2.25858   3.84962   6.73867  -0.12758   0.00000   2.728E-01   0.000E+00   9.990E-01
  96  5.52509421   0.770   2.26048   3.85179   6.74193  -0.11803   0.00000   2.922E-01   0.000E+00   9.990E-01
  97  5.52693109   0.770   2.26239   3.85396   6.74519  -0.10847   0.00000   3.116E-01   0.000E+00   9.990E-01
  98  5.52876022   0.770   2.26427   3.85613   6.74844  -0.09895   0.00000   3.323E-01   0.000E+00   9.990E-01
  99  5.53058169   0.770   2.26613   3.85828   6.75167  -0.08950   0.00000   3.552E-01   0.000E+00   9.990E-01
 100  5.53239555   0.770   2.26799   3.86043   6.75490  -0.08004   0.00000   3.781E-01   0.000E+00   9.990E-01
 101  5.53420186   0.770   2.26984   3.86257   6.75812  -0.07062   0.00000   4.029E-01   0.000E+00   9.990E-01
 102  5.53600070   0.770   2.27165   3.86470   6.76132  -0.06126   0.00000   4.306E-01   0.000E+00   9.990E-01
 103  5.53779211   0.770   2.27347   3.86683   6.76453  -0.05190   0.00000   4.584E-01   0.000E+00   9.990E-01
 104  5.53957616   0.770   2.27527   3.86895   6.76772  -0.04258   0.00000   4.881E-01   0.000E+00   9.990E-01
 105  5.54135292   0.770   2.27705   3.87106   6.77089  -0.03332   0.00000   5.208E-01   0.000E+00   9.990E-01
 106  5.54312243   0.770   2.27882   3.87317   6.77406  -0.02406   0.00000   5.536E-01   0.000E+00   9.990E-01
 107  5.54488477   0.770   2.28058   3.87526   6.77722  -0.01483   0.00000   5.888E-01   0.000E+00   9.990E-01
 108  5.54663998   0.770   2.28231   3.87735   6.78036  -0.00566   0.00000   6.281E-01   0.000E+00   9.990E-01
 109  5.54838813   0.770   2.28405   3.87943   6.78351   0.00351   0.00000   6.674E-01   0.000E+00   9.990E-01
 110  5.55012927   0.770   2.28577   3.88151   6.78664   0.01265   0.00000   7.091E-01   0.000E+00   9.990E-01
 111  5.55186345   0.770   2.28745   3.88357   6.78975   0.02172   0.00000   7.559E-01   0.000E+00   9.990E-01
 112  5.55359074   0.770   2.28914   3.88563   6.79286   0.03079   0.00000   8.026E-01   0.000E+00   9.990E-01
 113  5.55531119   0.770   2.29082   3.88768   6.79597   0.03984   0.00000   8.515E-01   0.000E+00   9.990E-01
