 # M = 3.60 Mo, Y = 0.2300, Z = 2.00000E-04, alpha = 1.20, X_D = 4.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
   1  4.52414329   0.770   2.10009   3.71042   6.24934  -1.76520   0.00000   3.490E-01   0.000E+00   6.290E-01
   2  4.60149183   0.770   2.08652   3.71181   6.26512  -1.68810   0.00000   3.275E-01   0.000E+00   6.498E-01
   3  4.66712480   0.770   2.07671   3.71319   6.28147  -1.61493   0.00000   3.073E-01   0.000E+00   6.717E-01
   4  4.72412876   0.770   2.07070   3.71455   6.29816  -1.54498   0.00000   2.870E-01   0.000E+00   6.937E-01
   5  4.77451129   0.770   2.06861   3.71592   6.31510  -1.47768   0.00000   2.635E-01   0.000E+00   7.175E-01
   6  4.81965181   0.770   2.07096   3.71733   6.33227  -1.41264   0.00000   2.404E-01   0.000E+00   7.406E-01
   7  4.86053904   0.770   2.07794   3.71879   6.34967  -1.34929   0.00000   2.167E-01   0.000E+00   7.633E-01
   8  4.89790594   0.770   2.09040   3.72034   6.36734  -1.28732   0.00000   1.930E-01   0.000E+00   7.850E-01
   9  4.93231094   0.770   2.10907   3.72201   6.38534  -1.22633   0.00000   1.735E-01   0.000E+00   8.062E-01
  10  4.96418930   0.770   2.13404   3.72388   6.40375  -1.16601   0.00000   1.580E-01   0.000E+00   8.254E-01
  11  4.99388686   0.770   2.16421   3.72604   6.42263  -1.10605   0.00000   1.457E-01   0.000E+00   8.413E-01
  12  5.02168300   0.770   2.19498   3.72859   6.44200  -1.04624   0.00000   1.346E-01   0.000E+00   8.551E-01
  13  5.04780662   0.770   2.22114   3.73157   6.46175  -0.98651   0.00000   1.261E-01   0.000E+00   8.669E-01
  14  5.07244761   0.770   2.24138   3.73499   6.48171  -0.92707   0.00000   1.203E-01   0.000E+00   8.774E-01
  15  5.09576527   0.770   2.25706   3.73889   6.50167  -0.86815   0.00000   1.180E-01   0.000E+00   8.881E-01
  16  5.11789452   0.770   2.26931   3.74339   6.52151  -0.80995   0.00000   1.203E-01   0.000E+00   8.983E-01
  17  5.13895064   0.770   2.27921   3.74873   6.54134  -0.75199   0.00000   1.299E-01   0.000E+00   9.089E-01
  18  5.15903292   0.770   2.28815   3.75586   6.56201  -0.69169   0.00000   1.533E-01   0.000E+00   9.191E-01
  19  5.17822747   0.770   2.29641   3.76515   6.58243  -0.63212   0.00000   1.966E-01   0.000E+00   9.265E-01
  20  5.19660947   0.770   2.30430   3.77604   6.60248  -0.57365   0.00000   2.667E-01   0.000E+00   9.345E-01
  21  5.21424492   0.770   2.31190   3.78812   6.62217  -0.51619   0.00000   3.778E-01   0.000E+00   9.425E-01
  22  5.23119210   0.770   2.31942   3.80032   6.64154  -0.45972   0.00000   5.487E-01   0.000E+00   9.496E-01
  23  5.24750272   0.770   2.32702   3.81244   6.66056  -0.40421   0.00000   8.034E-01   0.000E+00   9.560E-01
  24  5.26322289   0.770   2.33474   3.82445   6.67927  -0.34968   0.00000   1.178E+00   0.000E+00   9.622E-01
  25  5.27839385   0.770   2.34257   3.83628   6.69765  -0.29610   0.00000   1.721E+00   0.000E+00   9.672E-01
  26  5.29305269   0.770   2.35045   3.84798   6.71572  -0.24346   0.00000   2.498E+00   0.000E+00   9.714E-01
  27  5.30723286   0.770   2.35837   3.85947   6.73348  -0.19177   0.00000   3.596E+00   0.000E+00   9.752E-01
  28  5.32096464   0.770   2.36626   3.87077   6.75092  -0.14102   0.00000   5.128E+00   0.000E+00   9.785E-01
  29  5.33427551   0.770   2.37411   3.88189   6.76806  -0.09119   0.00000   7.238E+00   0.000E+00   9.813E-01
  30  5.34719051   0.770   2.38192   3.89282   6.78490  -0.04226   0.00000   1.010E+01   0.000E+00   9.831E-01
  31  5.35973251   0.770   2.38959   3.90356   6.80142   0.00573   0.00000   1.403E+01   0.000E+00   9.848E-01
  32  5.37192246   0.770   2.39694   3.91408   6.81765   0.05282   0.00000   1.931E+01   0.000E+00   9.865E-01
  33  5.38377958   0.770   2.40392   3.92436   6.83358   0.09905   0.00000   2.629E+01   0.000E+00   9.882E-01
  34  5.39532155   0.770   2.41064   3.93445   6.84921   0.14438   0.00000   3.555E+01   0.000E+00   9.898E-01
  35  5.40656471   0.770   2.41709   3.94433   6.86455   0.18884   0.00000   4.777E+01   0.000E+00   9.914E-01
  36  5.41752413   0.770   2.42334   3.95401   6.87961   0.23249   0.00000   6.338E+01   0.000E+00   9.920E-01
  37  5.42821378   0.770   2.42937   3.96350   6.89436   0.27525   0.00000   8.400E+01   0.000E+00   9.930E-01
  38  5.43864663   0.770   2.43518   3.97279   6.90882   0.31712   0.00000   1.097E+02   0.000E+00   9.940E-01
  39  5.44883472   0.770   2.44054   3.98150   6.92240   0.35640   0.00000   1.412E+02   0.000E+00   9.940E-01
  40  5.45878928   0.770   2.44560   3.99004   6.93575   0.39506   0.00000   1.809E+02   0.000E+00   9.950E-01
  41  5.46852077   0.770   2.45044   3.99841   6.94889   0.43310   0.00000   2.300E+02   0.000E+00   9.960E-01
  42  5.46973387   0.770   2.45103   3.99959   6.95053   0.43784   0.00000   2.372E+02   0.000E+00   9.960E-01
  43  5.47094359   0.770   2.45162   4.00077   6.95217   0.44258   0.00000   2.445E+02   0.000E+00   9.960E-01
  44  5.47214995   0.770   2.45221   4.00196   6.95381   0.44732   0.00000   2.517E+02   0.000E+00   9.960E-01
  45  5.47335297   0.770   2.45280   4.00304   6.95544   0.45204   0.00000   2.595E+02   0.000E+00   9.960E-01
  46  5.47455266   0.770   2.45339   4.00407   6.95707   0.45675   0.00000   2.674E+02   0.000E+00   9.960E-01
  47  5.47574905   0.770   2.45397   4.00511   6.95869   0.46146   0.00000   2.753E+02   0.000E+00   9.960E-01
  48  5.47694215   0.770   2.45456   4.00614   6.96031   0.46616   0.00000   2.835E+02   0.000E+00   9.960E-01
  49  5.47813199   0.770   2.45513   4.00717   6.96193   0.47083   0.00000   2.921E+02   0.000E+00   9.960E-01
  50  5.47931857   0.770   2.45570   4.00820   6.96354   0.47550   0.00000   3.008E+02   0.000E+00   9.960E-01
  51  5.48050192   0.770   2.45627   4.00922   6.96516   0.48018   0.00000   3.095E+02   0.000E+00   9.960E-01
  52  5.48168206   0.770   2.45684   4.01024   6.96676   0.48482   0.00000   3.189E+02   0.000E+00   9.960E-01
  53  5.48285899   0.770   2.45741   4.01126   6.96836   0.48946   0.00000   3.284E+02   0.000E+00   9.960E-01
  54  5.48403275   0.770   2.45797   4.01227   6.96996   0.49411   0.00000   3.379E+02   0.000E+00   9.960E-01
  55  5.48520334   0.770   2.45853   4.01329   6.97156   0.49873   0.00000   3.478E+02   0.000E+00   9.961E-01
  56  5.48637079   0.770   2.45909   4.01429   6.97315   0.50333   0.00000   3.582E+02   0.000E+00   9.964E-01
  57  5.48753510   0.770   2.45965   4.01530   6.97474   0.50793   0.00000   3.686E+02   0.000E+00   9.967E-01
  58  5.48869630   0.770   2.46021   4.01631   6.97633   0.51254   0.00000   3.790E+02   0.000E+00   9.970E-01
  59  5.48985441   0.770   2.46076   4.01731   6.97791   0.51711   0.00000   3.903E+02   0.000E+00   9.970E-01
  60  5.49100944   0.770   2.46131   4.01832   6.97949   0.52168   0.00000   4.017E+02   0.000E+00   9.970E-01
  61  5.49216140   0.770   2.46186   4.01932   6.98106   0.52625   0.00000   4.131E+02   0.000E+00   9.970E-01
  62  5.49331031   0.770   2.46240   4.02032   6.98264   0.53081   0.00000   4.248E+02   0.000E+00   9.970E-01
  63  5.49445620   0.770   2.46294   4.02131   6.98420   0.53534   0.00000   4.373E+02   0.000E+00   9.970E-01
  64  5.49559906   0.770   2.46348   4.02230   6.98577   0.53988   0.00000   4.498E+02   0.000E+00   9.970E-01
  65  5.49673893   0.770   2.46401   4.02329   6.98734   0.54441   0.00000   4.623E+02   0.000E+00   9.970E-01
  66  5.49787582   0.770   2.46455   4.02427   6.98889   0.54892   0.00000   4.755E+02   0.000E+00   9.970E-01
  67  5.49900973   0.770   2.46508   4.02525   6.99044   0.55341   0.00000   4.892E+02   0.000E+00   9.970E-01
  68  5.50014069   0.770   2.46561   4.02623   6.99200   0.55791   0.00000   5.029E+02   0.000E+00   9.970E-01
  69  5.50126872   0.770   2.46614   4.02721   6.99355   0.56241   0.00000   5.167E+02   0.000E+00   9.970E-01
  70  5.50239382   0.770   2.46666   4.02819   6.99509   0.56687   0.00000   5.316E+02   0.000E+00   9.970E-01
  71  5.50351602   0.770   2.46718   4.02916   6.99663   0.57134   0.00000   5.466E+02   0.000E+00   9.970E-01
  72  5.50463532   0.770   2.46771   4.03013   6.99818   0.57580   0.00000   5.617E+02   0.000E+00   9.970E-01
  73  5.50575175   0.770   2.46823   4.03110   6.99972   0.58026   0.00000   5.769E+02   0.000E+00   9.970E-01
  74  5.50686531   0.770   2.46874   4.03207   7.00124   0.58468   0.00000   5.935E+02   0.000E+00   9.970E-01
  75  5.50797603   0.770   2.46925   4.03303   7.00277   0.58910   0.00000   6.100E+02   0.000E+00   9.970E-01
  76  5.50908391   0.770   2.46976   4.03399   7.00430   0.59353   0.00000   6.265E+02   0.000E+00   9.970E-01
  77  5.51018897   0.770   2.47027   4.03496   7.00582   0.59794   0.00000   6.435E+02   0.000E+00   9.970E-01
  78  5.51129123   0.770   2.47077   4.03591   7.00733   0.60233   0.00000   6.617E+02   0.000E+00   9.970E-01
  79  5.51239070   0.770   2.47127   4.03687   7.00885   0.60672   0.00000   6.798E+02   0.000E+00   9.970E-01
  80  5.51348739   0.770   2.47177   4.03782   7.01037   0.61111   0.00000   6.980E+02   0.000E+00   9.970E-01
  81  5.51458132   0.770   2.47227   4.03877   7.01188   0.61548   0.00000   7.168E+02   0.000E+00   9.971E-01
  82  5.51567250   0.770   2.47276   4.03972   7.01338   0.61983   0.00000   7.368E+02   0.000E+00   9.974E-01
  83  5.51676095   0.770   2.47325   4.04066   7.01488   0.62419   0.00000   7.567E+02   0.000E+00   9.976E-01
  84  5.51784667   0.770   2.47374   4.04161   7.01638   0.62854   0.00000   7.767E+02   0.000E+00   9.979E-01
  85  5.51892969   0.770   2.47423   4.04255   7.01788   0.63287   0.00000   7.975E+02   0.000E+00   9.980E-01
  86  5.52001001   0.770   2.47471   4.04349   7.01937   0.63719   0.00000   8.194E+02   0.000E+00   9.980E-01
  87  5.52108766   0.770   2.47520   4.04442   7.02086   0.64150   0.00000   8.413E+02   0.000E+00   9.980E-01
  88  5.52216263   0.770   2.47568   4.04536   7.02235   0.64582   0.00000   8.633E+02   0.000E+00   9.980E-01
  89  5.52323495   0.770   2.47616   4.04629   7.02384   0.65012   0.00000   8.860E+02   0.000E+00   9.980E-01
  90  5.52430463   0.770   2.47663   4.04721   7.02531   0.65440   0.00000   9.102E+02   0.000E+00   9.980E-01
