 # M = 3.20 Mo, Y = 0.2300, Z = 2.00000E-04, alpha = 1.20, X_D = 4.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
   1  5.02993468   0.770   2.02723   3.70754   6.25016  -1.90734   0.00000   9.180E-01   0.000E+00   8.250E-02
   2  5.04591019   0.770   2.02422   3.70768   6.25192  -1.90207   0.00000   9.160E-01   0.000E+00   8.453E-02
   3  5.06131883   0.770   2.02122   3.70781   6.25367  -1.89680   0.00000   9.139E-01   0.000E+00   8.656E-02
   4  5.07619946   0.770   2.01821   3.70795   6.25543  -1.89153   0.00000   9.119E-01   0.000E+00   8.859E-02
   5  5.09058707   0.770   2.01520   3.70809   6.25719  -1.88626   0.00000   9.098E-01   0.000E+00   9.061E-02
   6  5.10451328   0.770   2.01220   3.70822   6.25894  -1.88099   0.00000   9.078E-01   0.000E+00   9.264E-02
   7  5.11800676   0.770   2.00919   3.70836   6.26070  -1.87572   0.00000   9.057E-01   0.000E+00   9.467E-02
   8  5.13109361   0.770   2.00590   3.70851   6.26262  -1.86994   0.00000   9.026E-01   0.000E+00   9.778E-02
   9  5.14379762   0.770   2.00244   3.70867   6.26464  -1.86387   0.00000   8.988E-01   0.000E+00   1.015E-01
  10  5.15614054   0.770   1.99899   3.70882   6.26666  -1.85781   0.00000   8.950E-01   0.000E+00   1.052E-01
  11  5.16814234   0.770   1.99554   3.70898   6.26868  -1.85174   0.00000   8.912E-01   0.000E+00   1.089E-01
  12  5.17982137   0.770   1.99208   3.70914   6.27070  -1.84568   0.00000   8.875E-01   0.000E+00   1.126E-01
  13  5.19119453   0.770   1.98863   3.70929   6.27272  -1.83961   0.00000   8.837E-01   0.000E+00   1.163E-01
  14  5.20227744   0.770   1.98461   3.70947   6.27507  -1.83258   0.00000   8.775E-01   0.000E+00   1.225E-01
  15  5.21308455   0.770   1.98047   3.70966   6.27748  -1.82533   0.00000   8.708E-01   0.000E+00   1.292E-01
  16  5.22362925   0.770   1.97634   3.70984   6.27990  -1.81809   0.00000   8.640E-01   0.000E+00   1.360E-01
  17  5.23392398   0.770   1.97220   3.71003   6.28231  -1.81085   0.00000   8.573E-01   0.000E+00   1.427E-01
  18  5.24398031   0.770   1.96806   3.71022   6.28473  -1.80360   0.00000   8.505E-01   0.000E+00   1.495E-01
