 # M = 1.00 Mo, Y = 0.2300, Z = 2.00000E-04, alpha = 1.20, X_D = 4.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
   1  5.05722588   0.770   1.20993   3.69149   6.13134  -1.27458   0.00000   9.380E-01   0.000E+00   6.220E-02
   2  5.11564804   0.770   1.20529   3.69164   6.13390  -1.26689   0.00000   9.404E-01   0.000E+00   5.966E-02
   3  5.16713488   0.770   1.20065   3.69179   6.13646  -1.25920   0.00000   9.428E-01   0.000E+00   5.712E-02
   4  5.21315964   0.770   1.19601   3.69195   6.13902  -1.25151   0.00000   9.452E-01   0.000E+00   5.458E-02
   5  5.25477087   0.770   1.19156   3.69209   6.14147  -1.24414   0.00000   9.462E-01   0.000E+00   5.357E-02
   6  5.29274148   0.770   1.18721   3.69223   6.14387  -1.23695   0.00000   9.464E-01   0.000E+00   5.337E-02
   7  5.32765756   0.770   1.18285   3.69237   6.14627  -1.22975   0.00000   9.467E-01   0.000E+00   5.317E-02
   8  5.35997418   0.770   1.17850   3.69251   6.14867  -1.22255   0.00000   9.469E-01   0.000E+00   5.297E-02
   9  5.39005171   0.770   1.17405   3.69265   6.15111  -1.21521   0.00000   9.462E-01   0.000E+00   5.364E-02
  10  5.41818043   0.770   1.16956   3.69280   6.15359  -1.20778   0.00000   9.451E-01   0.000E+00   5.479E-02
  11  5.44459759   0.770   1.16507   3.69294   6.15606  -1.20036   0.00000   9.439E-01   0.000E+00   5.594E-02
  12  5.46949957   0.770   1.16058   3.69308   6.15853  -1.19294   0.00000   9.427E-01   0.000E+00   5.709E-02
  13  5.49305080   0.770   1.15589   3.69323   6.16111  -1.18521   0.00000   9.410E-01   0.000E+00   5.880E-02
  14  5.51539030   0.770   1.15088   3.69338   6.16386  -1.17697   0.00000   9.383E-01   0.000E+00   6.143E-02
  15  5.53663669   0.770   1.14588   3.69353   6.16660  -1.16873   0.00000   9.356E-01   0.000E+00   6.405E-02
  16  5.55689198   0.770   1.14088   3.69369   6.16935  -1.16049   0.00000   9.330E-01   0.000E+00   6.667E-02
  17  5.57624451   0.770   1.13563   3.69385   6.17223  -1.15187   0.00000   9.297E-01   0.000E+00   6.989E-02
  18  5.59477134   0.770   1.12974   3.69403   6.17546  -1.14217   0.00000   9.248E-01   0.000E+00   7.476E-02
  19  5.61254005   0.770   1.12384   3.69420   6.17869  -1.13247   0.00000   9.200E-01   0.000E+00   7.964E-02
  20  5.62961026   0.770   1.11794   3.69438   6.18192  -1.12278   0.00000   9.151E-01   0.000E+00   8.451E-02
  21  5.64603482   0.770   1.11128   3.69458   6.18557  -1.11183   0.00000   9.081E-01   0.000E+00   9.159E-02
  22  5.66186078   0.770   1.10404   3.69479   6.18952  -1.09995   0.00000   8.995E-01   0.000E+00   1.003E-01
  23  5.67713025   0.770   1.09681   3.69500   6.19348  -1.08807   0.00000   8.908E-01   0.000E+00   1.091E-01
  24  5.69188105   0.770   1.08875   3.69523   6.19787  -1.07487   0.00000   8.790E-01   0.000E+00   1.210E-01
  25  5.70614725   0.770   1.07965   3.69549   6.20284  -1.05999   0.00000   8.629E-01   0.000E+00   1.371E-01
  26  5.71995968   0.770   1.07055   3.69575   6.20780  -1.04510   0.00000   8.469E-01   0.000E+00   1.531E-01
  27  5.73334633   0.770   1.05934   3.69606   6.21389  -1.02682   0.00000   8.202E-01   0.000E+00   1.798E-01
  28  5.74633266   0.770   1.04785   3.69637   6.22013  -1.00808   0.00000   7.922E-01   0.000E+00   2.078E-01
  29  5.75894191   0.770   1.03397   3.69675   6.22765  -0.98551   0.00000   7.487E-01   0.000E+00   2.513E-01
  30  5.77119538   0.770   1.01897   3.69714   6.23578  -0.96113   0.00000   6.971E-01   0.000E+00   3.029E-01
  31  5.78311258   0.770   1.00162   3.69759   6.24516  -0.93300   0.00000   6.281E-01   0.000E+00   3.719E-01
  32  5.79471149   0.770   0.98154   3.69809   6.25598  -0.90050   0.00000   5.364E-01   0.000E+00   4.636E-01
  33  5.80600866   0.770   0.95910   3.69863   6.26805  -0.86425   0.00000   4.282E-01   0.000E+00   5.718E-01
  34  5.81701939   0.770   0.93438   3.69920   6.28135  -0.82442   0.00000   3.122E-01   0.000E+00   6.878E-01
  35  5.82775786   0.770   0.90825   3.69978   6.29537  -0.78241   0.00000   2.052E-01   0.000E+00   7.948E-01
  36  5.83823720   0.770   0.88184   3.70034   6.30949  -0.74009   0.00000   1.208E-01   0.000E+00   8.792E-01
  37  5.84846962   0.770   0.85605   3.70085   6.32329  -0.69883   0.00000   6.524E-02   0.000E+00   9.348E-01
  38  5.85846650   0.770   0.83152   3.70131   6.33625  -0.65995   0.00000   3.327E-02   0.000E+00   9.667E-01
  39  5.86823843   0.770   0.80839   3.70172   6.34841  -0.62341   0.00000   1.595E-02   0.000E+00   9.841E-01
  40  5.87779531   0.770   0.78672   3.70208   6.35979  -0.58928   0.00000   7.576E-03   0.000E+00   9.924E-01
  41  5.88714641   0.770   0.76643   3.70240   6.37039  -0.55743   0.00000   4.000E-03   0.000E+00   9.960E-01
  42  5.90072595   0.770   0.73866   3.70280   6.38483  -0.51405   0.00000   1.504E-03   0.000E+00   9.985E-01
  43  5.91389373   0.770   0.71303   3.70314   6.39800  -0.47407   0.00000   1.280E-04   0.000E+00   9.999E-01
