 # M = 1.30 Mo, Y = 0.2300, Z = 2.00000E-04, alpha = 1.20, X_D = 4.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
   1  5.06500711   0.770   1.40335   3.69657   6.15682  -1.42276   0.00000   9.400E-01   0.000E+00   6.020E-02
   2  5.10964931   0.770   1.39921   3.69672   6.15915  -1.41577   0.00000   9.410E-01   0.000E+00   5.919E-02
   3  5.15012736   0.770   1.39506   3.69688   6.16148  -1.40877   0.00000   9.420E-01   0.000E+00   5.817E-02
   4  5.18715224   0.770   1.39092   3.69703   6.16381  -1.40178   0.00000   9.430E-01   0.000E+00   5.716E-02
   5  5.22126711   0.770   1.38677   3.69719   6.16614  -1.39479   0.00000   9.440E-01   0.000E+00   5.624E-02
   6  5.25289625   0.770   1.38266   3.69734   6.16845  -1.38785   0.00000   9.433E-01   0.000E+00   5.685E-02
   7  5.28237743   0.770   1.37854   3.69749   6.17077  -1.38092   0.00000   9.426E-01   0.000E+00   5.746E-02
   8  5.30998392   0.770   1.37442   3.69765   6.17308  -1.37398   0.00000   9.419E-01   0.000E+00   5.808E-02
   9  5.33593996   0.770   1.37031   3.69780   6.17539  -1.36704   0.00000   9.412E-01   0.000E+00   5.869E-02
  10  5.36043181   0.770   1.36597   3.69796   6.17782  -1.35974   0.00000   9.398E-01   0.000E+00   6.018E-02
  11  5.38361588   0.770   1.36153   3.69812   6.18032  -1.35226   0.00000   9.380E-01   0.000E+00   6.213E-02
  12  5.40562477   0.770   1.35708   3.69828   6.18281  -1.34478   0.00000   9.362E-01   0.000E+00   6.408E-02
  13  5.42657190   0.770   1.35264   3.69844   6.18531  -1.33729   0.00000   9.344E-01   0.000E+00   6.602E-02
  14  5.44655502   0.770   1.34803   3.69860   6.18789  -1.32954   0.00000   9.321E-01   0.000E+00   6.841E-02
  15  5.46565896   0.770   1.34292   3.69878   6.19075  -1.32094   0.00000   9.281E-01   0.000E+00   7.221E-02
  16  5.48395784   0.770   1.33781   3.69897   6.19362  -1.31233   0.00000   9.242E-01   0.000E+00   7.601E-02
  17  5.50151678   0.770   1.33270   3.69915   6.19648  -1.30373   0.00000   9.203E-01   0.000E+00   7.981E-02
  18  5.51839329   0.770   1.32742   3.69933   6.19944  -1.29485   0.00000   9.159E-01   0.000E+00   8.408E-02
  19  5.53463844   0.770   1.32125   3.69955   6.20289  -1.28449   0.00000   9.091E-01   0.000E+00   9.086E-02
  20  5.55029778   0.770   1.31508   3.69977   6.20634  -1.27413   0.00000   9.024E-01   0.000E+00   9.763E-02
  21  5.56541209   0.770   1.30891   3.69999   6.20979  -1.26377   0.00000   8.956E-01   0.000E+00   1.044E-01
  22  5.58001803   0.770   1.30182   3.70023   6.21375  -1.25188   0.00000   8.852E-01   0.000E+00   1.148E-01
  23  5.59414869   0.770   1.29416   3.70050   6.21803  -1.23904   0.00000   8.726E-01   0.000E+00   1.274E-01
  24  5.60783403   0.770   1.28651   3.70077   6.22231  -1.22620   0.00000   8.600E-01   0.000E+00   1.400E-01
  25  5.62110127   0.770   1.27752   3.70108   6.22733  -1.21115   0.00000   8.413E-01   0.000E+00   1.587E-01
  26  5.63397519   0.770   1.26792   3.70141   6.23269  -1.19506   0.00000   8.197E-01   0.000E+00   1.803E-01
  27  5.64647845   0.770   1.25756   3.70176   6.23847  -1.17772   0.00000   7.934E-01   0.000E+00   2.066E-01
  28  5.65863179   0.770   1.24558   3.70216   6.24515  -1.15771   0.00000   7.568E-01   0.000E+00   2.432E-01
  29  5.67045427   0.770   1.23246   3.70259   6.25245  -1.13581   0.00000   7.119E-01   0.000E+00   2.881E-01
  30  5.68196343   0.770   1.21783   3.70307   6.26057  -1.11144   0.00000   6.558E-01   0.000E+00   3.442E-01
  31  5.69317544   0.770   1.20084   3.70363   6.27001  -1.08308   0.00000   5.800E-01   0.000E+00   4.200E-01
  32  5.70410526   0.770   1.18203   3.70423   6.28045  -1.05177   0.00000   4.901E-01   0.000E+00   5.099E-01
  33  5.71476676   0.770   1.16128   3.70488   6.29194  -1.01730   0.00000   3.884E-01   0.000E+00   6.116E-01
  34  5.72517278   0.770   1.13895   3.70556   6.30435  -0.98017   0.00000   2.833E-01   0.000E+00   7.167E-01
  35  5.73533530   0.770   1.11564   3.70626   6.31722  -0.94159   0.00000   1.888E-01   0.000E+00   8.112E-01
  36  5.74526543   0.770   1.09216   3.70694   6.33015  -0.90284   0.00000   1.168E-01   0.000E+00   8.832E-01
  37  5.75497358   0.770   1.06928   3.70758   6.34281  -0.86504   0.00000   6.702E-02   0.000E+00   9.330E-01
  38  5.76446945   0.770   1.04732   3.70818   6.35485  -0.82898   0.00000   3.606E-02   0.000E+00   9.639E-01
  39  5.77376213   0.770   1.02652   3.70873   6.36560  -0.79422   0.00000   1.871E-02   0.000E+00   9.813E-01
  40  5.78286013   0.770   1.00691   3.70922   6.37494  -0.76031   0.00000   5.464E-03   0.000E+00   9.936E-01
  41  5.79177144   0.770   0.98855   3.70968   6.38364  -0.72831   0.00000   2.000E-03   0.000E+00   9.980E-01
  42  5.80155144   0.770   0.96933   3.71015   6.39273  -0.69467   0.00000   9.086E-04   0.000E+00   9.991E-01
  43  5.81111604   0.770   0.95133   3.71058   6.40122  -0.66291   0.00000   0.000E+00   0.000E+00   1.000E+00
  44  5.82047453   0.770   0.93440   3.71097   6.40917  -0.63282   0.00000   0.000E+00   0.000E+00   1.000E+00
  45  5.82963560   0.770   0.91846   3.71133   6.41664  -0.60421   0.00000   0.000E+00   0.000E+00   1.000E+00
  46  5.83860742   0.770   0.90347   3.71166   6.42364  -0.57710   0.00000   0.000E+00   0.000E+00   1.000E+00
  47  5.84739763   0.770   0.88933   3.71197   6.43025  -0.55120   0.00000   0.000E+00   0.000E+00   1.000E+00
  48  5.85601346   0.770   0.87589   3.71227   6.43653  -0.52636   0.00000   0.000E+00   0.000E+00   1.000E+00
  49  5.86446167   0.770   0.86305   3.71254   6.44252  -0.50244   0.00000   0.000E+00   0.000E+00   1.000E+00
  50  5.87274868   0.770   0.85076   3.71281   6.44828  -0.47932   0.00000   0.000E+00   0.000E+00   1.000E+00
  51  5.88088051   0.770   0.83926   3.71305   6.45367  -0.45737   0.00000   0.000E+00   0.000E+00   1.000E+00
  52  5.88886288   0.770   0.82818   3.71329   6.45889  -0.43604   0.00000   0.000E+00   0.000E+00   1.000E+00
  53  5.89670117   0.770   0.81746   3.71352   6.46396  -0.41524   0.00000   0.000E+00   0.000E+00   1.000E+00
  54  5.90440050   0.770   0.80743   3.71374   6.46874  -0.39543   0.00000   0.000E+00   0.000E+00   1.000E+00
  55  5.91196571   0.770   0.79769   3.71395   6.47340  -0.37605   0.00000   0.000E+00   0.000E+00   1.000E+00
  56  5.91940139   0.770   0.78833   3.71416   6.47791  -0.35723   0.00000   0.000E+00   0.000E+00   1.000E+00
  57  5.92671190   0.770   0.77945   3.71436   6.48223  -0.33909   0.00000   0.000E+00   0.000E+00   1.000E+00
  58  5.93390139   0.770   0.77072   3.71456   6.48649  -0.32117   0.00000   0.000E+00   0.000E+00   1.000E+00
  59  5.94097379   0.770   0.76257   3.71475   6.49052  -0.30409   0.00000   0.000E+00   0.000E+00   1.000E+00
  60  5.94793286   0.770   0.75450   3.71494   6.49453  -0.28712   0.00000   0.000E+00   0.000E+00   1.000E+00
  61  5.95478218   0.770   0.74695   3.71513   6.49835  -0.27088   0.00000   0.000E+00   0.000E+00   1.000E+00
  62  5.96152516   0.770   0.73947   3.71532   6.50214  -0.25473   0.00000   0.000E+00   0.000E+00   1.000E+00
  63  5.96816503   0.770   0.73244   3.71551   6.50577  -0.23924   0.00000   0.000E+00   0.000E+00   1.000E+00
  64  5.97470492   0.770   0.72544   3.71569   6.50938  -0.22380   0.00000   0.000E+00   0.000E+00   1.000E+00
  65  5.98114779   0.770   0.71892   3.71587   6.51283  -0.20903   0.00000   0.000E+00   0.000E+00   1.000E+00
  66  5.98749647   0.770   0.71240   3.71605   6.51627  -0.19425   0.00000   0.000E+00   0.000E+00   1.000E+00
  67  5.99375368   0.770   0.70630   3.71623   6.51957  -0.18008   0.00000   0.000E+00   0.000E+00   1.000E+00
  68  5.99992201   0.770   0.70025   3.71641   6.52286  -0.16598   0.00000   0.000E+00   0.000E+00   1.000E+00
  69  6.00600396   0.770   0.69449   3.71659   6.52605  -0.15226   0.00000   0.000E+00   0.000E+00   1.000E+00
  70  6.01200192   0.770   0.68889   3.71676   6.52917  -0.13878   0.00000   0.000E+00   0.000E+00   1.000E+00
  71  6.01791816   0.770   0.68339   3.71694   6.53227  -0.12543   0.00000   0.000E+00   0.000E+00   1.000E+00
  72  6.02375489   0.770   0.67823   3.71712   6.53527  -0.11254   0.00000   0.000E+00   0.000E+00   1.000E+00
  73  6.02951422   0.770   0.67306   3.71730   6.53826  -0.09966   0.00000   0.000E+00   0.000E+00   1.000E+00
  74  6.03519817   0.770   0.66818   3.71748   6.54116  -0.08717   0.00000   0.000E+00   0.000E+00   1.000E+00
  75  6.04080869   0.770   0.66342   3.71765   6.54403  -0.07483   0.00000   0.000E+00   0.000E+00   1.000E+00
  76  6.04634765   0.770   0.65869   3.71783   6.54688  -0.06255   0.00000   0.000E+00   0.000E+00   1.000E+00
  77  6.05181685   0.770   0.65431   3.71801   6.54964  -0.05073   0.00000   0.000E+00   0.000E+00   1.000E+00
  78  6.05721804   0.770   0.64993   3.71819   6.55239  -0.03890   0.00000   0.000E+00   0.000E+00   1.000E+00
  79  6.06255288   0.770   0.64569   3.71837   6.55510  -0.02726   0.00000   0.000E+00   0.000E+00   1.000E+00
  80  6.06782298   0.770   0.64168   3.71855   6.55774  -0.01592   0.00000   0.000E+00   0.000E+00   1.000E+00
  81  6.07302989   0.770   0.63767   3.71873   6.56039  -0.00457   0.00000   0.000E+00   0.000E+00   1.000E+00
  82  6.07817512   0.770   0.63384   3.71892   6.56298   0.00653   0.00000   0.000E+00   0.000E+00   1.000E+00
  83  6.08326010   0.770   0.63016   3.71910   6.56553   0.01741   0.00000   0.000E+00   0.000E+00   1.000E+00
  84  6.08828623   0.770   0.62649   3.71929   6.56807   0.02830   0.00000   0.000E+00   0.000E+00   1.000E+00
  85  6.09325486   0.770   0.62301   3.71948   6.57057   0.03894   0.00000   0.000E+00   0.000E+00   1.000E+00
  86  6.09816729   0.770   0.61968   3.71966   6.57302   0.04940   0.00000   0.000E+00   0.000E+00   1.000E+00
  87  6.10302477   0.770   0.61634   3.71985   6.57548   0.05987   0.00000   0.000E+00   0.000E+00   1.000E+00
  88  6.10782852   0.770   0.61316   3.72004   6.57790   0.07014   0.00000   0.000E+00   0.000E+00   1.000E+00
  89  6.11257972   0.770   0.61014   3.72024   6.58027   0.08021   0.00000   0.000E+00   0.000E+00   1.000E+00
  90  6.11727950   0.770   0.60712   3.72043   6.58265   0.09027   0.00000   0.000E+00   0.000E+00   1.000E+00
  91  6.12192897   0.770   0.60418   3.72062   6.58500   0.10024   0.00000   0.000E+00   0.000E+00   1.000E+00
  92  6.12652919   0.770   0.60148   3.72082   6.58730   0.10994   0.00000   0.000E+00   0.000E+00   1.000E+00
  93  6.13108119   0.770   0.59877   3.72102   6.58960   0.11963   0.00000   0.000E+00   0.000E+00   1.000E+00
  94  6.13558597   0.770   0.59606   3.72122   6.59190   0.12933   0.00000   0.000E+00   0.000E+00   1.000E+00
  95  6.14004451   0.770   0.59363   3.72142   6.59414   0.13870   0.00000   0.000E+00   0.000E+00   1.000E+00
  96  6.14445773   0.770   0.59122   3.72163   6.59637   0.14805   0.00000   0.000E+00   0.000E+00   1.000E+00
  97  6.14882657   0.770   0.58881   3.72183   6.59861   0.15740   0.00000   0.000E+00   0.000E+00   1.000E+00
  98  6.15315189   0.770   0.58653   3.72204   6.60081   0.16659   0.00000   0.000E+00   0.000E+00   1.000E+00
  99  6.15743456   0.770   0.58441   3.72225   6.60298   0.17562   0.00000   0.000E+00   0.000E+00   1.000E+00
 100  6.16167541   0.770   0.58229   3.72247   6.60515   0.18465   0.00000   0.000E+00   0.000E+00   1.000E+00
 101  6.16587524   0.770   0.58017   3.72268   6.60732   0.19368   0.00000   0.000E+00   0.000E+00   1.000E+00
 102  6.17003485   0.770   0.57831   3.72290   6.60944   0.20244   0.00000   0.000E+00   0.000E+00   1.000E+00
 103  6.17415500   0.770   0.57648   3.72312   6.61156   0.21116   0.00000   0.000E+00   0.000E+00   1.000E+00
 104  6.17823643   0.770   0.57465   3.72334   6.61368   0.21989   0.00000   0.000E+00   0.000E+00   1.000E+00
 105  6.18227986   0.770   0.57287   3.72357   6.61579   0.22856   0.00000   0.000E+00   0.000E+00   1.000E+00
 106  6.18628599   0.770   0.57131   3.72380   6.61786   0.23701   0.00000   0.000E+00   0.000E+00   1.000E+00
 107  6.19025550   0.770   0.56975   3.72403   6.61993   0.24546   0.00000   0.000E+00   0.000E+00   1.000E+00
 108  6.19418906   0.770   0.56820   3.72426   6.62200   0.25391   0.00000   0.000E+00   0.000E+00   1.000E+00
 109  6.19808731   0.770   0.56674   3.72449   6.62405   0.26226   0.00000   0.000E+00   0.000E+00   1.000E+00
 110  6.20195088   0.770   0.56547   3.72474   6.62607   0.27044   0.00000   0.000E+00   0.000E+00   1.000E+00
 111  6.20578039   0.770   0.56420   3.72498   6.62809   0.27863   0.00000   0.000E+00   0.000E+00   1.000E+00
 112  6.20957642   0.770   0.56292   3.72523   6.63011   0.28681   0.00000   0.000E+00   0.000E+00   1.000E+00
 113  6.21333955   0.770   0.56177   3.72548   6.63212   0.29488   0.00000   0.000E+00   0.000E+00   1.000E+00
 114  6.21707036   0.770   0.56076   3.72574   6.63410   0.30282   0.00000   0.000E+00   0.000E+00   1.000E+00
 115  6.22076940   0.770   0.55975   3.72600   6.63608   0.31076   0.00000   0.000E+00   0.000E+00   1.000E+00
 116  6.22443719   0.770   0.55874   3.72625   6.63806   0.31870   0.00000   0.000E+00   0.000E+00   1.000E+00
 117  6.22807427   0.770   0.55788   3.72652   6.64002   0.32651   0.00000   0.000E+00   0.000E+00   1.000E+00
 118  6.23168114   0.770   0.55713   3.72679   6.64197   0.33422   0.00000   0.000E+00   0.000E+00   1.000E+00
 119  6.23525830   0.770   0.55639   3.72705   6.64392   0.34194   0.00000   0.000E+00   0.000E+00   1.000E+00
 120  6.23880624   0.770   0.55564   3.72732   6.64586   0.34965   0.00000   0.000E+00   0.000E+00   1.000E+00
