 # M = 2.40 Mo, Y = 0.2300, Z = 2.00000E-04, alpha = 1.20, X_D = 4.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
   1  5.04952435   0.770   1.83429   3.70478   6.21912  -1.75849   0.00000   9.310E-01   0.000E+00   6.940E-02
   2  5.07038849   0.770   1.83127   3.70491   6.22087  -1.75323   0.00000   9.298E-01   0.000E+00   7.043E-02
   3  5.09029607   0.770   1.82824   3.70505   6.22262  -1.74798   0.00000   9.287E-01   0.000E+00   7.145E-02
   4  5.10933096   0.770   1.82522   3.70518   6.22437  -1.74272   0.00000   9.275E-01   0.000E+00   7.248E-02
   5  5.12756648   0.770   1.82220   3.70531   6.22612  -1.73747   0.00000   9.264E-01   0.000E+00   7.351E-02
   6  5.14506707   0.770   1.81917   3.70544   6.22788  -1.73221   0.00000   9.252E-01   0.000E+00   7.454E-02
   7  5.16188967   0.770   1.81615   3.70558   6.22963  -1.72696   0.00000   9.240E-01   0.000E+00   7.556E-02
   8  5.17808487   0.770   1.81281   3.70572   6.23156  -1.72116   0.00000   9.219E-01   0.000E+00   7.783E-02
   9  5.19369779   0.770   1.80947   3.70587   6.23350  -1.71535   0.00000   9.196E-01   0.000E+00   8.014E-02
  10  5.20876884   0.770   1.80612   3.70601   6.23544  -1.70953   0.00000   9.174E-01   0.000E+00   8.245E-02
  11  5.22333439   0.770   1.80278   3.70616   6.23738  -1.70371   0.00000   9.152E-01   0.000E+00   8.476E-02
  12  5.23742724   0.770   1.79943   3.70630   6.23931  -1.69790   0.00000   9.130E-01   0.000E+00   8.707E-02
  13  5.25107711   0.770   1.79602   3.70645   6.24129  -1.69197   0.00000   9.105E-01   0.000E+00   8.960E-02
  14  5.26431101   0.770   1.79211   3.70662   6.24356  -1.68517   0.00000   9.063E-01   0.000E+00   9.376E-02
  15  5.27715355   0.770   1.78819   3.70679   6.24582  -1.67838   0.00000   9.021E-01   0.000E+00   9.792E-02
  16  5.28962719   0.770   1.78428   3.70696   6.24809  -1.67158   0.00000   8.980E-01   0.000E+00   1.021E-01
  17  5.30175255   0.770   1.78036   3.70713   6.25035  -1.66479   0.00000   8.938E-01   0.000E+00   1.062E-01
  18  5.31354856   0.770   1.77645   3.70730   6.25262  -1.65800   0.00000   8.896E-01   0.000E+00   1.104E-01
  19  5.32503262   0.770   1.77183   3.70750   6.25529  -1.64998   0.00000   8.825E-01   0.000E+00   1.175E-01
