 # M = 0.65 Mo, Y = 0.2300, Z = 2.00000E-04, alpha = 1.20, X_D = 4.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
   1  5.05906282   0.770   0.87446   3.67951   6.09114  -1.02658   0.00000   9.340E-01   0.000E+00   6.600E-02
   2  5.14368758   0.770   0.86848   3.67964   6.09429  -1.01714   0.00000   9.379E-01   0.000E+00   6.200E-02
   3  5.21448125   0.770   0.86250   3.67976   6.09743  -1.00771   0.00000   9.418E-01   0.000E+00   5.800E-02
   4  5.27533615   0.770   0.85718   3.67987   6.10022  -0.99934   0.00000   9.445E-01   0.000E+00   5.528E-02
   5  5.32870244   0.770   0.85215   3.67997   6.10285  -0.99143   0.00000   9.466E-01   0.000E+00   5.311E-02
   6  5.37622286   0.770   0.84712   3.68007   6.10549  -0.98351   0.00000   9.488E-01   0.000E+00   5.094E-02
   7  5.41905263   0.770   0.84221   3.68017   6.10806  -0.97579   0.00000   9.500E-01   0.000E+00   4.968E-02
   8  5.45803515   0.770   0.83745   3.68026   6.11055  -0.96832   0.00000   9.500E-01   0.000E+00   4.963E-02
   9  5.49380496   0.770   0.83270   3.68036   6.11304  -0.96085   0.00000   9.500E-01   0.000E+00   4.957E-02
  10  5.52685154   0.770   0.82794   3.68045   6.11553  -0.95338   0.00000   9.500E-01   0.000E+00   4.952E-02
  11  5.55756036   0.770   0.82308   3.68054   6.11807  -0.94576   0.00000   9.493E-01   0.000E+00   5.019E-02
  12  5.58624043   0.770   0.81813   3.68063   6.12065  -0.93802   0.00000   9.481E-01   0.000E+00   5.143E-02
  13  5.61314328   0.770   0.81319   3.68071   6.12323  -0.93028   0.00000   9.469E-01   0.000E+00   5.268E-02
  14  5.63847636   0.770   0.80824   3.68080   6.12580  -0.92255   0.00000   9.457E-01   0.000E+00   5.393E-02
  15  5.66241283   0.770   0.80302   3.68090   6.12852  -0.91439   0.00000   9.438E-01   0.000E+00   5.584E-02
