 # M = 3.00 Mo, Y = 0.2300, Z = 2.00000E-04, alpha = 1.20, X_D = 4.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
   1  5.02768723   0.770   1.98551   3.70691   6.24246  -1.87645   0.00000   9.210E-01   0.000E+00   7.870E-02
   2  5.04410104   0.770   1.98266   3.70704   6.24412  -1.87147   0.00000   9.195E-01   0.000E+00   8.032E-02
   3  5.05991704   0.770   1.97982   3.70717   6.24578  -1.86649   0.00000   9.180E-01   0.000E+00   8.193E-02
   4  5.07517723   0.770   1.97697   3.70730   6.24744  -1.86151   0.00000   9.165E-01   0.000E+00   8.355E-02
   5  5.08991936   0.770   1.97413   3.70742   6.24910  -1.85653   0.00000   9.150E-01   0.000E+00   8.516E-02
   6  5.10417746   0.770   1.97128   3.70755   6.25076  -1.85155   0.00000   9.135E-01   0.000E+00   8.678E-02
   7  5.11798230   0.770   1.96843   3.70768   6.25243  -1.84657   0.00000   9.119E-01   0.000E+00   8.839E-02
   8  5.13136181   0.770   1.96544   3.70782   6.25417  -1.84133   0.00000   9.098E-01   0.000E+00   9.060E-02
   9  5.14434142   0.770   1.96221   3.70796   6.25606  -1.83567   0.00000   9.065E-01   0.000E+00   9.378E-02
  10  5.15694434   0.770   1.95897   3.70811   6.25794  -1.83001   0.00000   9.033E-01   0.000E+00   9.696E-02
  11  5.16919183   0.770   1.95574   3.70825   6.25983  -1.82434   0.00000   9.000E-01   0.000E+00   1.001E-01
  12  5.18110338   0.770   1.95250   3.70840   6.26172  -1.81868   0.00000   8.968E-01   0.000E+00   1.033E-01
  13  5.19269693   0.770   1.94927   3.70854   6.26360  -1.81301   0.00000   8.936E-01   0.000E+00   1.065E-01
  14  5.20398902   0.770   1.94591   3.70870   6.26556  -1.80712   0.00000   8.899E-01   0.000E+00   1.101E-01
  15  5.21499493   0.770   1.94207   3.70887   6.26780  -1.80040   0.00000   8.845E-01   0.000E+00   1.155E-01
  16  5.22572880   0.770   1.93823   3.70904   6.27004  -1.79368   0.00000   8.791E-01   0.000E+00   1.209E-01
  17  5.23620377   0.770   1.93440   3.70921   6.27228  -1.78695   0.00000   8.738E-01   0.000E+00   1.262E-01
  18  5.24643202   0.770   1.93056   3.70938   6.27452  -1.78023   0.00000   8.684E-01   0.000E+00   1.316E-01
  19  5.25642492   0.770   1.92673   3.70956   6.27676  -1.77351   0.00000   8.630E-01   0.000E+00   1.370E-01
  20  5.26619305   0.770   1.92221   3.70976   6.27940  -1.76561   0.00000   8.544E-01   0.000E+00   1.456E-01
  21  5.27574630   0.770   1.91753   3.70997   6.28212  -1.75744   0.00000   8.449E-01   0.000E+00   1.551E-01
  22  5.28509392   0.770   1.91285   3.71018   6.28485  -1.74927   0.00000   8.355E-01   0.000E+00   1.645E-01
  23  5.29424457   0.770   1.90817   3.71039   6.28758  -1.74109   0.00000   8.260E-01   0.000E+00   1.740E-01
  24  5.30320639   0.770   1.90322   3.71061   6.29046  -1.73244   0.00000   8.149E-01   0.000E+00   1.851E-01
  25  5.31198702   0.770   1.89750   3.71086   6.29380  -1.72244   0.00000   7.991E-01   0.000E+00   2.009E-01
  26  5.32059363   0.770   1.89177   3.71112   6.29713  -1.71243   0.00000   7.833E-01   0.000E+00   2.167E-01
  27  5.32903298   0.770   1.88605   3.71137   6.30047  -1.70243   0.00000   7.675E-01   0.000E+00   2.325E-01
  28  5.33731146   0.770   1.87975   3.71166   6.30415  -1.69109   0.10496   7.468E-01   0.000E+00   2.532E-01
  29  5.34543509   0.770   1.87294   3.71197   6.30814  -1.67855   0.30379   7.219E-01   0.000E+00   2.781E-01
  30  5.35340955   0.770   1.86612   3.71229   6.31214  -1.66600   0.50263   6.970E-01   0.000E+00   3.030E-01
