 # M = 0.25 Mo, Y = 0.2300, Z = 2.00000E-04, alpha = 1.20, X_D = 4.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
   1  5.13421811   0.770   0.01421   3.62343   6.00169  -0.48474   0.00000   9.480E-01   0.000E+00   5.190E-02
   2  5.31768674   0.770   0.00462   3.62328   6.00598  -0.47181   0.00000   9.382E-01   0.000E+00   6.208E-02
   3  5.44626769   0.770  -0.00418   3.62314   6.00991  -0.45999   0.00000   9.411E-01   0.000E+00   5.900E-02
   4  5.54534846   0.770  -0.01198   3.62301   6.01338  -0.44953   0.00000   9.446E-01   0.000E+00   5.542E-02
   5  5.62597087   0.770  -0.01930   3.62289   6.01664  -0.43971   0.00000   9.484E-01   0.000E+00   5.159E-02
   6  5.69394414   0.770  -0.02611   3.62278   6.01967  -0.43058   0.00000   9.509E-01   0.000E+00   4.917E-02
   7  5.75270436   0.770  -0.03256   3.62267   6.02254  -0.42194   0.00000   9.523E-01   0.000E+00   4.774E-02
   8  5.80445350   0.770  -0.03900   3.62256   6.02541  -0.41330   0.00000   9.538E-01   0.000E+00   4.631E-02
   9  5.85068768   0.770  -0.04531   3.62245   6.02821  -0.40487   0.00000   9.537E-01   0.000E+00   4.646E-02
  10  5.89247001   0.770  -0.05159   3.62234   6.03099  -0.39648   0.00000   9.534E-01   0.000E+00   4.688E-02
  11  5.93058300   0.770  -0.05786   3.62223   6.03378  -0.38809   0.00000   9.531E-01   0.000E+00   4.729E-02
  12  5.96561943   0.770  -0.06440   3.62211   6.03668  -0.37935   0.00000   9.516E-01   0.000E+00   4.876E-02
  13  5.99803912   0.770  -0.07101   3.62200   6.03961  -0.37051   0.00000   9.497E-01   0.000E+00   5.058E-02
  14  6.02820590   0.770  -0.07762   3.62188   6.04255  -0.36167   0.00000   9.478E-01   0.000E+00   5.241E-02
  15  6.05641267   0.770  -0.08470   3.62175   6.04569  -0.35221   0.00000   9.449E-01   0.000E+00   5.520E-02
  16  6.08289864   0.770  -0.09214   3.62161   6.04898  -0.34229   0.00000   9.413E-01   0.000E+00   5.873E-02
  17  6.10786176   0.770  -0.09957   3.62147   6.05227  -0.33236   0.00000   9.377E-01   0.000E+00   6.227E-02
  18  6.13146767   0.770  -0.10772   3.62132   6.05587  -0.32148   0.00000   9.326E-01   0.000E+00   6.732E-02
  19  6.15385637   0.770  -0.11648   3.62116   6.05975  -0.30980   0.00000   9.263E-01   0.000E+00   7.364E-02
  20  6.17514725   0.770  -0.12524   3.62099   6.06362  -0.29812   0.00000   9.199E-01   0.000E+00   7.996E-02
  21  6.19544296   0.770  -0.13562   3.62080   6.06821  -0.28429   0.00000   9.097E-01   0.000E+00   9.025E-02
  22  6.21483239   0.770  -0.14629   3.62060   6.07293  -0.27008   0.00000   8.987E-01   0.000E+00   1.012E-01
  23  6.23339304   0.770  -0.15841   3.62036   6.07828  -0.25392   0.00000   8.828E-01   0.000E+00   1.172E-01
  24  6.25119286   0.770  -0.17164   3.62011   6.08414  -0.23627   0.00000   8.631E-01   0.000E+00   1.369E-01
  25  6.26829177   0.770  -0.18714   3.61981   6.09098  -0.21559   0.00000   8.337E-01   0.000E+00   1.663E-01
  26  6.28474289   0.770  -0.20434   3.61947   6.09858  -0.19265   0.00000   7.962E-01   0.000E+00   2.038E-01
  27  6.30059353   0.770  -0.22471   3.61906   6.10758  -0.16551   0.00000   7.417E-01   0.000E+00   2.583E-01
  28  6.31588596   0.770  -0.24912   3.61858   6.11836  -0.13297   0.00000   6.601E-01   0.000E+00   3.399E-01
  29  6.33065819   0.770  -0.27842   3.61799   6.13129  -0.09394   0.00000   5.441E-01   0.000E+00   4.559E-01
  30  6.34494443   0.770  -0.31221   3.61733   6.14626  -0.04873   0.00000   3.978E-01   0.000E+00   6.022E-01
  31  6.35877565   0.770  -0.34958   3.61661   6.16291   0.00150   0.00000   2.475E-01   0.000E+00   7.525E-01
  32  6.37217994   0.770  -0.38798   3.61589   6.18005   0.05328   0.00000   1.287E-01   0.000E+00   8.708E-01
  33  6.38518287   0.770  -0.42417   3.61524   6.19624   0.10226   0.00000   8.688E-02   0.000E+00   9.131E-01
  34  6.39780778   0.770  -0.45710   3.61468   6.21100   0.14697   0.00000   6.604E-02   0.000E+00   9.340E-01
  35  6.41007603   0.770  -0.48708   3.61419   6.22449   0.18783   0.00000   4.772E-02   0.000E+00   9.523E-01
  36  6.42200721   0.770  -0.51477   3.61375   6.23702   0.22574   0.00000   3.300E-02   0.000E+00   9.670E-01
  37  6.43361936   0.770  -0.54016   3.61338   6.24864   0.26082   0.00000   2.270E-02   0.000E+00   9.773E-01
  38  6.44492910   0.770  -0.56378   3.61304   6.25936   0.29338   0.00000   1.466E-02   0.000E+00   9.853E-01
  39  6.45595177   0.770  -0.58576   3.61274   6.26936   0.32375   0.00000   9.433E-03   0.000E+00   9.906E-01
  40  6.46670159   0.770  -0.60623   3.61246   6.27870   0.35212   0.00000   6.054E-03   0.000E+00   9.939E-01
  41  6.47719173   0.770  -0.62535   3.61222   6.28744   0.37868   0.00000   4.000E-03   0.000E+00   9.960E-01
  42  6.49292762   0.770  -0.65249   3.61189   6.29988   0.41650   0.00000   1.553E-03   0.000E+00   9.984E-01
  43  6.50811323   0.770  -0.67747   3.61161   6.31135   0.45143   0.00000   1.000E-03   0.000E+00   9.990E-01
