 # M = 0.90 Mo, Y = 0.2300, Z = 2.00000E-04, alpha = 1.20, X_D = 4.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
   1  5.05667863   0.770   1.13012   3.68906   6.12139  -1.21419   0.00000   9.370E-01   0.000E+00   6.310E-02
   2  5.12203360   0.770   1.12515   3.68921   6.12411  -1.20604   0.00000   9.399E-01   0.000E+00   5.996E-02
   3  5.17882785   0.770   1.12018   3.68936   6.12683  -1.19790   0.00000   9.429E-01   0.000E+00   5.681E-02
   4  5.22904654   0.770   1.11521   3.68951   6.12954  -1.18975   0.00000   9.458E-01   0.000E+00   5.367E-02
   5  5.27405551   0.770   1.11064   3.68965   6.13204  -1.18226   0.00000   9.468E-01   0.000E+00   5.297E-02
   6  5.31483481   0.770   1.10610   3.68979   6.13452  -1.17481   0.00000   9.475E-01   0.000E+00   5.242E-02
   7  5.35211156   0.770   1.10155   3.68993   6.13700  -1.16735   0.00000   9.483E-01   0.000E+00   5.186E-02
   8  5.38644012   0.770   1.09700   3.69006   6.13948  -1.15988   0.00000   9.488E-01   0.000E+00   5.155E-02
   9  5.41825284   0.770   1.09239   3.69020   6.14200  -1.15235   0.00000   9.479E-01   0.000E+00   5.245E-02
  10  5.44789345   0.770   1.08778   3.69033   6.14451  -1.14481   0.00000   9.469E-01   0.000E+00   5.335E-02
  11  5.47563968   0.770   1.08316   3.69046   6.14702  -1.13727   0.00000   9.459E-01   0.000E+00   5.425E-02
  12  5.50171921   0.770   1.07853   3.69060   6.14955  -1.12969   0.00000   9.449E-01   0.000E+00   5.521E-02
  13  5.52632098   0.770   1.07348   3.69074   6.15229  -1.12145   0.00000   9.427E-01   0.000E+00   5.748E-02
  14  5.54960351   0.770   1.06843   3.69089   6.15504  -1.11320   0.00000   9.405E-01   0.000E+00   5.975E-02
  15  5.57170112   0.770   1.06338   3.69103   6.15779  -1.10495   0.00000   9.382E-01   0.000E+00   6.202E-02
  16  5.59272860   0.770   1.05833   3.69118   6.16054  -1.09670   0.00000   9.360E-01   0.000E+00   6.429E-02
  17  5.61278482   0.770   1.05244   3.69134   6.16373  -1.08711   0.00000   9.317E-01   0.000E+00   6.859E-02
  18  5.63195557   0.770   1.04654   3.69150   6.16693  -1.07752   0.00000   9.274E-01   0.000E+00   7.290E-02
  19  5.65031573   0.770   1.04064   3.69167   6.17013  -1.06792   0.00000   9.230E-01   0.000E+00   7.720E-02
  20  5.66793108   0.770   1.03435   3.69184   6.17354  -1.05770   0.00000   9.176E-01   0.000E+00   8.259E-02
  21  5.68485970   0.770   1.02716   3.69203   6.17744  -1.04601   0.00000   9.097E-01   0.000E+00   9.043E-02
  22  5.70115314   0.770   1.01996   3.69222   6.18133  -1.03433   0.00000   9.018E-01   0.000E+00   9.827E-02
  23  5.71685733   0.770   1.01251   3.69242   6.18536  -1.02224   0.00000   8.930E-01   0.000E+00   1.070E-01
  24  5.73201341   0.770   1.00349   3.69266   6.19022  -1.00763   0.00000   8.787E-01   0.000E+00   1.213E-01
  25  5.74665837   0.770   0.99448   3.69289   6.19509  -0.99302   0.00000   8.645E-01   0.000E+00   1.355E-01
  26  5.76082554   0.770   0.98415   3.69316   6.20065  -0.97632   0.00000   8.440E-01   0.000E+00   1.560E-01
  27  5.77454513   0.770   0.97274   3.69344   6.20678  -0.95790   0.00000   8.185E-01   0.000E+00   1.815E-01
  28  5.78784455   0.770   0.95995   3.69375   6.21365  -0.93730   0.00000   7.849E-01   0.000E+00   2.151E-01
  29  5.80074877   0.770   0.94564   3.69409   6.22132  -0.91428   0.00000   7.423E-01   0.000E+00   2.577E-01
  30  5.81328061   0.770   0.92867   3.69448   6.23039  -0.88707   0.00000   6.803E-01   0.000E+00   3.197E-01
  31  5.82546095   0.770   0.90952   3.69491   6.24060  -0.85643   0.00000   6.007E-01   0.000E+00   3.993E-01
  32  5.83730898   0.770   0.88758   3.69538   6.25226  -0.82143   0.00000   4.999E-01   0.000E+00   5.001E-01
  33  5.84884234   0.770   0.86287   3.69588   6.26535  -0.78213   0.00000   3.823E-01   0.000E+00   6.177E-01
  34  5.86007733   0.770   0.83608   3.69639   6.27958  -0.73952   0.00000   2.611E-01   0.000E+00   7.389E-01
  35  5.87102899   0.770   0.80811   3.69688   6.29429  -0.69541   0.00000   1.601E-01   0.000E+00   8.399E-01
