 # M = 0.55 Mo, Y = 0.2300, Z = 2.00000E-04, alpha = 1.20, X_D = 4.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
   1  5.06169664   0.770   0.73681   3.67308   6.07582  -0.93004   0.00000   9.330E-01   0.000E+00   6.740E-02
   2  5.15976405   0.770   0.73009   3.67318   6.07925  -0.91973   0.00000   9.371E-01   0.000E+00   6.309E-02
   3  5.23971519   0.770   0.72344   3.67327   6.08265  -0.90951   0.00000   9.412E-01   0.000E+00   5.884E-02
   4  5.30721107   0.770   0.71793   3.67335   6.08546  -0.90109   0.00000   9.442E-01   0.000E+00   5.580E-02
   5  5.36561437   0.770   0.71243   3.67342   6.08827  -0.89267   0.00000   9.473E-01   0.000E+00   5.275E-02
   6  5.41708657   0.770   0.70699   3.67349   6.09104  -0.88434   0.00000   9.501E-01   0.000E+00   5.002E-02
   7  5.46309964   0.770   0.70198   3.67355   6.09359  -0.87668   0.00000   9.506E-01   0.000E+00   4.942E-02
   8  5.50470131   0.770   0.69697   3.67361   6.09613  -0.86903   0.00000   9.512E-01   0.000E+00   4.881E-02
   9  5.54266396   0.770   0.69195   3.67368   6.09868  -0.86137   0.00000   9.517E-01   0.000E+00   4.821E-02
  10  5.57757331   0.770   0.68692   3.67374   6.10124  -0.85370   0.00000   9.516E-01   0.000E+00   4.830E-02
  11  5.60988417   0.770   0.68188   3.67380   6.10379  -0.84602   0.00000   9.509E-01   0.000E+00   4.910E-02
  12  5.63995671   0.770   0.67683   3.67385   6.10635  -0.83833   0.00000   9.501E-01   0.000E+00   4.990E-02
  13  5.66808107   0.770   0.67178   3.67391   6.10891  -0.83065   0.00000   9.494E-01   0.000E+00   5.070E-02
  14  5.69449437   0.770   0.66650   3.67397   6.11158  -0.82263   0.00000   9.480E-01   0.000E+00   5.216E-02
  15  5.71939293   0.770   0.66099   3.67403   6.11437  -0.81427   0.00000   9.460E-01   0.000E+00   5.425E-02
  16  5.74294110   0.770   0.65548   3.67409   6.11715  -0.80592   0.00000   9.439E-01   0.000E+00   5.635E-02
  17  5.76527785   0.770   0.64997   3.67414   6.11993  -0.79756   0.00000   9.419E-01   0.000E+00   5.844E-02
  18  5.78652175   0.770   0.64398   3.67420   6.12296  -0.78849   0.00000   9.388E-01   0.000E+00   6.158E-02
  19  5.80677477   0.770   0.63757   3.67426   6.12618  -0.77881   0.00000   9.346E-01   0.000E+00   6.560E-02
  20  5.82612524   0.770   0.63117   3.67432   6.12941  -0.76914   0.00000   9.305E-01   0.000E+00   6.962E-02
  21  5.84465017   0.770   0.62476   3.67437   6.13263  -0.75946   0.00000   9.264E-01   0.000E+00   7.364E-02
  22  5.86241714   0.770   0.61707   3.67444   6.13649  -0.74788   0.00000   9.193E-01   0.000E+00   8.080E-02
  23  5.87948575   0.770   0.60925   3.67450   6.14040  -0.73612   0.00000   9.119E-01   0.000E+00   8.827E-02
  24  5.89590881   0.770   0.60144   3.67457   6.14432  -0.72436   0.00000   9.045E-01   0.000E+00   9.573E-02
