 # M = 0.35 Mo, Y = 0.2300, Z = 2.00000E-04, alpha = 1.20, X_D = 4.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
   1  5.07455104   0.770   0.33672   3.64828   6.03356  -0.67288   0.00000   9.370E-01   0.000E+00   6.330E-02
   2  5.21295495   0.770   0.32850   3.64823   6.03740  -0.66135   0.00000   9.370E-01   0.000E+00   6.330E-02
   3  5.31774813   0.770   0.32105   3.64816   6.04085  -0.65098   0.00000   9.395E-01   0.000E+00   6.068E-02
   4  5.40210643   0.770   0.31395   3.64810   6.04413  -0.64111   0.00000   9.431E-01   0.000E+00   5.690E-02
   5  5.47271369   0.770   0.30771   3.64804   6.04702  -0.63243   0.00000   9.458E-01   0.000E+00   5.405E-02
   6  5.53343089   0.770   0.30178   3.64798   6.04977  -0.62416   0.00000   9.483E-01   0.000E+00   5.153E-02
   7  5.58669129   0.770   0.29584   3.64792   6.05252  -0.61590   0.00000   9.508E-01   0.000E+00   4.900E-02
   8  5.63412775   0.770   0.29024   3.64787   6.05509  -0.60816   0.00000   9.513E-01   0.000E+00   4.858E-02
   9  5.67688932   0.770   0.28467   3.64781   6.05765  -0.60046   0.00000   9.516E-01   0.000E+00   4.834E-02
  10  5.71581533   0.770   0.27910   3.64775   6.06021  -0.59276   0.00000   9.519E-01   0.000E+00   4.811E-02
  11  5.75153758   0.770   0.27345   3.64768   6.06280  -0.58497   0.00000   9.514E-01   0.000E+00   4.864E-02
  12  5.78454355   0.770   0.26774   3.64762   6.06543  -0.57709   0.00000   9.503E-01   0.000E+00   4.981E-02
  13  5.81521731   0.770   0.26202   3.64755   6.06805  -0.56921   0.00000   9.492E-01   0.000E+00   5.098E-02
  14  5.84386679   0.770   0.25631   3.64748   6.07067  -0.56133   0.00000   9.480E-01   0.000E+00   5.215E-02
  15  5.87074273   0.770   0.25002   3.64740   6.07354  -0.55271   0.00000   9.455E-01   0.000E+00   5.469E-02
  16  5.89605195   0.770   0.24371   3.64732   6.07642  -0.54406   0.00000   9.430E-01   0.000E+00   5.729E-02
  17  5.91996711   0.770   0.23739   3.64723   6.07930  -0.53541   0.00000   9.404E-01   0.000E+00   5.989E-02
  18  5.94263379   0.770   0.23059   3.64714   6.08239  -0.52611   0.00000   9.367E-01   0.000E+00   6.351E-02
  19  5.96417590   0.770   0.22321   3.64703   6.08574  -0.51603   0.00000   9.316E-01   0.000E+00   6.834E-02
  20  5.98469978   0.770   0.21584   3.64693   6.08908  -0.50596   0.00000   9.266E-01   0.000E+00   7.317E-02
  21  6.00429735   0.770   0.20800   3.64681   6.09264  -0.49527   0.00000   9.205E-01   0.000E+00   7.910E-02
  22  6.02304863   0.770   0.19902   3.64667   6.09669  -0.48309   0.00000   9.121E-01   0.000E+00   8.774E-02
  23  6.04102369   0.770   0.19005   3.64653   6.10074  -0.47090   0.00000   9.036E-01   0.000E+00   9.637E-02
  24  6.05828426   0.770   0.17979   3.64636   6.10535  -0.45702   0.00000   8.909E-01   0.000E+00   1.091E-01
  25  6.07488497   0.770   0.16860   3.64617   6.11037  -0.44190   0.00000   8.752E-01   0.000E+00   1.248E-01
  26  6.09087441   0.770   0.15640   3.64595   6.11584  -0.42546   0.00000   8.556E-01   0.000E+00   1.444E-01
  27  6.10629602   0.770   0.14233   3.64569   6.12213  -0.40655   0.00000   8.287E-01   0.000E+00   1.713E-01
  28  6.12118874   0.770   0.12629   3.64539   6.12928  -0.38504   0.00000   7.913E-01   0.000E+00   2.087E-01
  29  6.13558764   0.770   0.10819   3.64504   6.13734  -0.36079   0.00000   7.420E-01   0.000E+00   2.580E-01
  30  6.14952444   0.770   0.08673   3.64459   6.14689  -0.33210   0.00000   6.717E-01   0.000E+00   3.283E-01
  31  6.16302787   0.770   0.06110   3.64403   6.15819  -0.29807   0.00000   5.713E-01   0.000E+00   4.287E-01
  32  6.17612406   0.770   0.03134   3.64335   6.17128  -0.25869   0.00000   4.424E-01   0.000E+00   5.576E-01
  33  6.18883688   0.770  -0.00172   3.64258   6.18580  -0.21500   0.00000   3.012E-01   0.000E+00   6.988E-01
  34  6.20118811   0.770  -0.03691   3.64172   6.20121  -0.16860   0.00000   1.771E-01   0.000E+00   8.229E-01
  35  6.21319778   0.770  -0.07184   3.64085   6.21654  -0.12253   0.00000   9.049E-02   0.000E+00   9.095E-01
  36  6.22488425   0.770  -0.10481   3.64003   6.23094  -0.07919   0.00000   5.236E-02   0.000E+00   9.476E-01
  37  6.23626448   0.770  -0.13503   3.63927   6.24414  -0.03945   0.00000   3.400E-02   0.000E+00   9.660E-01
  38  6.24735409   0.770  -0.16292   3.63857   6.25632  -0.00273   0.00000   2.081E-02   0.000E+00   9.792E-01
  39  6.25816758   0.770  -0.18855   3.63792   6.26762   0.03120   0.00000   1.321E-02   0.000E+00   9.868E-01
  40  6.26871834   0.770  -0.21240   3.63732   6.27803   0.06261   0.00000   7.711E-03   0.000E+00   9.923E-01
  41  6.27901885   0.770  -0.23457   3.63678   6.28772   0.09186   0.00000   4.000E-03   0.000E+00   9.960E-01
  42  6.29875319   0.770  -0.27409   3.63580   6.30501   0.14407   0.00000   1.898E-03   0.000E+00   9.981E-01
  43  6.31762964   0.770  -0.30907   3.63496   6.32035   0.19043   0.00000   1.000E-03   0.000E+00   9.990E-01
  44  6.33571970   0.770  -0.34022   3.63421   6.33403   0.23175   0.00000   0.000E+00   0.000E+00   1.000E+00
  45  6.35308626   0.770  -0.36853   3.63354   6.34650   0.26943   0.00000   0.000E+00   0.000E+00   1.000E+00
  46  6.36978500   0.770  -0.39423   3.63295   6.35783   0.30370   0.00000   0.000E+00   0.000E+00   1.000E+00
  47  6.38586537   0.770  -0.41797   3.63241   6.36831   0.33544   0.00000   0.000E+00   0.000E+00   1.000E+00
  48  6.40137153   0.770  -0.43995   3.63192   6.37805   0.36489   0.00000   0.000E+00   0.000E+00   1.000E+00
  49  6.41634310   0.770  -0.46034   3.63148   6.38709   0.39227   0.00000   0.000E+00   0.000E+00   1.000E+00
  50  6.43081569   0.770  -0.47938   3.63106   6.39555   0.41788   0.00000   0.000E+00   0.000E+00   1.000E+00
  51  6.44482151   0.770  -0.49729   3.63069   6.40351   0.44201   0.00000   0.000E+00   0.000E+00   1.000E+00
  52  6.45838973   0.770  -0.51405   3.63034   6.41100   0.46470   0.00000   0.000E+00   0.000E+00   1.000E+00
  53  6.47154685   0.770  -0.52991   3.63003   6.41808   0.48617   0.00000   0.000E+00   0.000E+00   1.000E+00
  54  6.48431707   0.770  -0.54496   3.62972   6.42481   0.50658   0.00000   0.000E+00   0.000E+00   1.000E+00
  55  6.49672249   0.770  -0.55931   3.62944   6.43124   0.52607   0.00000   0.000E+00   0.000E+00   1.000E+00
  56  6.50878337   0.770  -0.57307   3.62919   6.43741   0.54479   0.00000   0.000E+00   0.000E+00   1.000E+00
  57  6.52051834   0.770  -0.58601   3.62894   6.44323   0.56245   0.00000   0.000E+00   0.000E+00   1.000E+00
  58  6.53194454   0.770  -0.59846   3.62871   6.44884   0.57946   0.00000   0.000E+00   0.000E+00   1.000E+00
  59  6.54307782   0.770  -0.61055   3.62849   6.45428   0.59598   0.00000   0.000E+00   0.000E+00   1.000E+00
  60  6.55393281   0.770  -0.62194   3.62827   6.45940   0.61155   0.00000   0.000E+00   0.000E+00   1.000E+00
  61  6.56452308   0.770  -0.63302   3.62807   6.46440   0.62672   0.00000   0.000E+00   0.000E+00   1.000E+00
  62  6.57486125   0.770  -0.64368   3.62788   6.46922   0.64135   0.00000   0.000E+00   0.000E+00   1.000E+00
  63  6.58495903   0.770  -0.65390   3.62770   6.47384   0.65538   0.00000   0.000E+00   0.000E+00   1.000E+00
  64  6.59482736   0.770  -0.66390   3.62753   6.47836   0.66912   0.00000   0.000E+00   0.000E+00   1.000E+00
