 # M = 6.50 Mo, Y = 0.2300, Z = 2.00000E-04, alpha = 1.20, X_D = 4.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
   1  3.75719285   0.770   2.71666   3.71181   6.30135  -2.11544   0.00000   2.030E-01   0.000E+00   7.890E-01
   2  3.86337945   0.770   2.85574   3.71365   6.31149  -2.03871   0.00000   1.567E-01   0.000E+00   8.333E-01
   3  3.94863681   0.770   2.97845   3.71794   6.32754  -1.96179   0.00000   1.458E-01   0.000E+00   8.436E-01
   4  4.01987221   0.770   3.02586   3.72347   6.34621  -1.88644   0.00000   1.642E-01   0.000E+00   8.228E-01
   5  4.08105305   0.770   3.05539   3.73210   6.36644  -1.81146   0.00000   1.846E-01   0.000E+00   7.992E-01
   6  4.13466974   0.770   3.08014   3.74367   6.38766  -1.73665   0.00000   1.998E-01   0.000E+00   7.802E-01
   7  4.18238854   0.770   3.10416   3.75770   6.40920  -1.66390   0.00000   2.025E-01   0.000E+00   7.742E-01
   8  4.22537937   0.770   3.12904   3.77289   6.43135  -1.59200   0.00000   1.949E-01   0.000E+00   7.811E-01
   9  4.26449525   0.770   3.15407   3.78894   6.45435  -1.52023   0.00000   1.794E-01   0.000E+00   7.991E-01
  10  4.30037731   0.770   3.17732   3.80552   6.47806  -1.44853   0.00000   1.634E-01   0.000E+00   8.177E-01
  11  4.33351965   0.770   3.19715   3.82214   6.50209  -1.37756   0.00000   1.488E-01   0.000E+00   8.352E-01
  12  4.36431115   0.770   3.21323   3.83852   6.52610  -1.30765   0.00000   1.347E-01   0.000E+00   8.523E-01
  13  4.39306332   0.770   3.22544   3.85441   6.54991  -1.23909   0.00000   1.217E-01   0.000E+00   8.680E-01
  14  4.42002959   0.770   3.23434   3.86973   6.57333  -1.17198   0.00000   1.097E-01   0.000E+00   8.836E-01
  15  4.44541891   0.770   3.24057   3.88440   6.59625  -1.10649   0.00000   1.011E-01   0.000E+00   8.978E-01
  16  4.46940556   0.770   3.24485   3.89843   6.61856  -1.04273   0.00000   9.744E-02   0.000E+00   9.098E-01
  17  4.49213646   0.770   3.24803   3.91186   6.64026  -0.98063   0.00000   9.925E-02   0.000E+00   9.213E-01
  18  4.51373656   0.770   3.25067   3.92476   6.66130  -0.92026   0.00000   1.091E-01   0.000E+00   9.311E-01
  19  4.53431307   0.770   3.25320   3.93721   6.68175  -0.86149   0.00000   1.304E-01   0.000E+00   9.405E-01
  20  4.55395863   0.770   3.25588   3.94926   6.70160  -0.80432   0.00000   1.667E-01   0.000E+00   9.475E-01
  21  4.57275383   0.770   3.25881   3.96099   6.72088  -0.74866   0.00000   2.246E-01   0.000E+00   9.548E-01
  22  4.59076925   0.770   3.26205   3.97239   6.73964  -0.69445   0.00000   3.114E-01   0.000E+00   9.607E-01
  23  4.60806703   0.770   3.26556   3.98349   6.75789  -0.64163   0.00000   4.382E-01   0.000E+00   9.657E-01
  24  4.62470215   0.770   3.26929   3.99430   6.77567  -0.59015   0.00000   6.174E-01   0.000E+00   9.698E-01
  25  4.64072352   0.770   3.27315   4.00553   6.79300  -0.53994   0.00000   8.657E-01   0.000E+00   9.743E-01
  26  4.65617482   0.770   3.27711   4.01580   6.80989  -0.49099   0.00000   1.207E+00   0.000E+00   9.769E-01
  27  4.67109523   0.770   3.28111   4.02580   6.82635  -0.44328   0.00000   1.673E+00   0.000E+00   9.804E-01
  28  4.68552002   0.770   3.28514   4.03556   6.84240  -0.39671   0.00000   2.294E+00   0.000E+00   9.824E-01
  29  4.69948107   0.770   3.28917   4.04509   6.85808  -0.35121   0.00000   3.104E+00   0.000E+00   9.840E-01
  30  4.71300725   0.770   3.29314   4.05436   6.87336  -0.30689   0.00000   4.186E+00   0.000E+00   9.856E-01
  31  4.72612486   0.770   3.29699   4.06341   6.88828  -0.26356   0.00000   5.574E+00   0.000E+00   9.872E-01
  32  4.73885785   0.770   3.30061   4.07221   6.90284  -0.22126   0.00000   7.365E+00   0.000E+00   9.887E-01
  33  4.75122812   0.770   3.30400   4.08066   6.91689  -0.18048   0.00000   9.614E+00   0.000E+00   9.900E-01
