 # M = 1.50 Mo, Y = 0.2300, Z = 2.00000E-04, alpha = 1.20, X_D = 4.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
   1  5.05585885   0.770   1.50736   3.69884   6.17044  -1.50433   0.00000   9.400E-01   0.000E+00   6.040E-02
   2  5.09428278   0.770   1.50355   3.69899   6.17260  -1.49784   0.00000   9.405E-01   0.000E+00   5.992E-02
   3  5.12958178   0.770   1.49973   3.69914   6.17477  -1.49135   0.00000   9.409E-01   0.000E+00   5.944E-02
   4  5.16222613   0.770   1.49592   3.69929   6.17693  -1.48485   0.00000   9.414E-01   0.000E+00   5.896E-02
   5  5.19258733   0.770   1.49211   3.69943   6.17909  -1.47836   0.00000   9.418E-01   0.000E+00   5.848E-02
   6  5.22096400   0.770   1.48825   3.69958   6.18128  -1.47180   0.00000   9.413E-01   0.000E+00   5.889E-02
   7  5.24759971   0.770   1.48436   3.69973   6.18348  -1.46520   0.00000   9.403E-01   0.000E+00   5.984E-02
   8  5.27269579   0.770   1.48048   3.69988   6.18568  -1.45859   0.00000   9.392E-01   0.000E+00   6.079E-02
   9  5.29642057   0.770   1.47659   3.70003   6.18788  -1.45199   0.00000   9.382E-01   0.000E+00   6.173E-02
  10  5.31891615   0.770   1.47271   3.70018   6.19008  -1.44539   0.00000   9.371E-01   0.000E+00   6.268E-02
  11  5.34030367   0.770   1.46848   3.70034   6.19247  -1.43821   0.00000   9.351E-01   0.000E+00   6.481E-02
  12  5.36068718   0.770   1.46421   3.70051   6.19489  -1.43095   0.00000   9.330E-01   0.000E+00   6.709E-02
  13  5.38015673   0.770   1.45994   3.70067   6.19731  -1.42369   0.00000   9.308E-01   0.000E+00   6.937E-02
  14  5.39879077   0.770   1.45567   3.70084   6.19973  -1.41643   0.00000   9.286E-01   0.000E+00   7.166E-02
  15  5.41665808   0.770   1.45123   3.70101   6.20224  -1.40888   0.00000   9.259E-01   0.000E+00   7.444E-02
  16  5.43381927   0.770   1.44625   3.70120   6.20506  -1.40042   0.00000   9.214E-01   0.000E+00   7.878E-02
  17  5.45032802   0.770   1.44127   3.70139   6.20788  -1.39196   0.00000   9.169E-01   0.000E+00   8.313E-02
  18  5.46623215   0.770   1.43629   3.70158   6.21070  -1.38350   0.00000   9.124E-01   0.000E+00   8.748E-02
  19  5.48157438   0.770   1.43127   3.70177   6.21354  -1.37499   0.00000   9.078E-01   0.000E+00   9.193E-02
  20  5.49639305   0.770   1.42521   3.70199   6.21697  -1.36471   0.00000   9.000E-01   0.000E+00   9.979E-02
  21  5.51072274   0.770   1.41915   3.70222   6.22039  -1.35443   0.00000   8.922E-01   0.000E+00   1.077E-01
  22  5.52459467   0.770   1.41308   3.70245   6.22381  -1.34416   0.00000   8.844E-01   0.000E+00   1.155E-01
  23  5.53803720   0.770   1.40639   3.70270   6.22760  -1.33281   0.00000   8.741E-01   0.000E+00   1.259E-01
  24  5.55107611   0.770   1.39885   3.70299   6.23186  -1.32003   0.00000   8.602E-01   0.000E+00   1.398E-01
  25  5.56373493   0.770   1.39131   3.70327   6.23611  -1.30725   0.00000   8.463E-01   0.000E+00   1.537E-01
  26  5.57603520   0.770   1.38287   3.70358   6.24087  -1.29297   0.00000   8.277E-01   0.000E+00   1.723E-01
  27  5.58799667   0.770   1.37343   3.70393   6.24620  -1.27700   0.00000   8.038E-01   0.000E+00   1.962E-01
  28  5.59963751   0.770   1.36379   3.70428   6.25164  -1.26067   0.00000   7.784E-01   0.000E+00   2.216E-01
  29  5.61097445   0.770   1.35211   3.70470   6.25821  -1.24096   0.00000   7.395E-01   0.000E+00   2.605E-01
  30  5.62202296   0.770   1.33998   3.70514   6.26503  -1.22048   0.00000   6.970E-01   0.000E+00   3.030E-01
  31  5.63279735   0.770   1.32593   3.70564   6.27294  -1.19675   0.00000   6.393E-01   0.000E+00   3.607E-01
  32  5.64331091   0.770   1.31039   3.70620   6.28168  -1.17052   0.00000   5.691E-01   0.000E+00   4.309E-01
  33  5.65357595   0.770   1.29328   3.70680   6.29127  -1.14173   0.00000   4.866E-01   0.000E+00   5.134E-01
  34  5.66360395   0.770   1.27450   3.70744   6.30180  -1.11017   0.00000   3.933E-01   0.000E+00   6.067E-01
  35  5.67340563   0.770   1.25435   3.70812   6.31312  -1.07627   0.00000   2.975E-01   0.000E+00   7.025E-01
  36  5.68299096   0.770   1.23331   3.70881   6.32491  -1.04097   0.00000   2.094E-01   0.000E+00   7.906E-01
  37  5.69236929   0.770   1.21204   3.70951   6.33678  -1.00539   0.00000   1.373E-01   0.000E+00   8.627E-01
  38  5.70154938   0.770   1.19105   3.71018   6.34852  -0.97028   0.00000   8.355E-02   0.000E+00   9.164E-01
  39  5.71053943   0.770   1.17080   3.71080   6.35900  -0.93523   0.00000   4.873E-02   0.000E+00   9.513E-01
  40  5.71934715   0.770   1.15141   3.71141   6.36750  -0.89890   0.00000   1.368E-02   0.000E+00   9.854E-01
  41  5.72797978   0.770   1.13320   3.71197   6.37553  -0.86438   0.00000   4.000E-03   0.000E+00   9.960E-01
  42  5.73640295   0.770   1.11626   3.71249   6.38320  -0.83218   0.00000   1.986E-03   0.000E+00   9.980E-01
  43  5.74466586   0.770   1.10030   3.71297   6.39051  -0.80175   0.00000   1.025E-03   0.000E+00   9.990E-01
  44  5.75277449   0.770   1.08533   3.71341   6.39745  -0.77294   0.00000   1.152E-04   0.000E+00   9.999E-01
  45  5.76073449   0.770   1.07117   3.71383   6.40407  -0.74551   0.00000   0.000E+00   0.000E+00   1.000E+00
  46  5.76855122   0.770   1.05778   3.71423   6.41038  -0.71927   0.00000   0.000E+00   0.000E+00   1.000E+00
  47  5.77622974   0.770   1.04504   3.71460   6.41643  -0.69408   0.00000   0.000E+00   0.000E+00   1.000E+00
  48  5.78377486   0.770   1.03287   3.71496   6.42223  -0.66981   0.00000   0.000E+00   0.000E+00   1.000E+00
  49  5.79119113   0.770   1.02136   3.71531   6.42779  -0.64654   0.00000   0.000E+00   0.000E+00   1.000E+00
  50  5.79848288   0.770   1.01045   3.71563   6.43309  -0.62421   0.00000   0.000E+00   0.000E+00   1.000E+00
  51  5.80565422   0.770   0.99994   3.71594   6.43823  -0.60251   0.00000   0.000E+00   0.000E+00   1.000E+00
  52  5.81270907   0.770   0.98987   3.71625   6.44319  -0.58147   0.00000   0.000E+00   0.000E+00   1.000E+00
  53  5.81965114   0.770   0.98037   3.71653   6.44794  -0.56130   0.00000   0.000E+00   0.000E+00   1.000E+00
  54  5.82648399   0.770   0.97113   3.71681   6.45258  -0.54152   0.00000   0.000E+00   0.000E+00   1.000E+00
  55  5.83321100   0.770   0.96234   3.71709   6.45704  -0.52244   0.00000   0.000E+00   0.000E+00   1.000E+00
  56  5.83983540   0.770   0.95390   3.71735   6.46138  -0.50388   0.00000   0.000E+00   0.000E+00   1.000E+00
  57  5.84636027   0.770   0.94571   3.71760   6.46562  -0.48570   0.00000   0.000E+00   0.000E+00   1.000E+00
  58  5.85278856   0.770   0.93799   3.71785   6.46968  -0.46820   0.00000   0.000E+00   0.000E+00   1.000E+00
  59  5.85912308   0.770   0.93036   3.71810   6.47372  -0.45085   0.00000   0.000E+00   0.000E+00   1.000E+00
  60  5.86536654   0.770   0.92324   3.71834   6.47756  -0.43426   0.00000   0.000E+00   0.000E+00   1.000E+00
  61  5.87152152   0.770   0.91615   3.71858   6.48140  -0.41771   0.00000   0.000E+00   0.000E+00   1.000E+00
  62  5.87759048   0.770   0.90956   3.71881   6.48507  -0.40188   0.00000   0.000E+00   0.000E+00   1.000E+00
  63  5.88357580   0.770   0.90296   3.71904   6.48874  -0.38605   0.00000   0.000E+00   0.000E+00   1.000E+00
  64  5.88947975   0.770   0.89685   3.71926   6.49224  -0.37091   0.00000   0.000E+00   0.000E+00   1.000E+00
  65  5.89530451   0.770   0.89074   3.71949   6.49574  -0.35577   0.00000   0.000E+00   0.000E+00   1.000E+00
  66  5.90105219   0.770   0.88503   3.71971   6.49912  -0.34120   0.00000   0.000E+00   0.000E+00   1.000E+00
  67  5.90672479   0.770   0.87937   3.71993   6.50247  -0.32671   0.00000   0.000E+00   0.000E+00   1.000E+00
  68  5.91232425   0.770   0.87399   3.72015   6.50573  -0.31261   0.00000   0.000E+00   0.000E+00   1.000E+00
  69  5.91785244   0.770   0.86876   3.72036   6.50895  -0.29873   0.00000   0.000E+00   0.000E+00   1.000E+00
  70  5.92331114   0.770   0.86366   3.72058   6.51212  -0.28504   0.00000   0.000E+00   0.000E+00   1.000E+00
  71  5.92870208   0.770   0.85887   3.72080   6.51521  -0.27173   0.00000   0.000E+00   0.000E+00   1.000E+00
  72  5.93402692   0.770   0.85408   3.72102   6.51830  -0.25842   0.00000   0.000E+00   0.000E+00   1.000E+00
  73  5.93928726   0.770   0.84963   3.72123   6.52128  -0.24559   0.00000   0.000E+00   0.000E+00   1.000E+00
  74  5.94448465   0.770   0.84521   3.72144   6.52426  -0.23282   0.00000   0.000E+00   0.000E+00   1.000E+00
  75  5.94962058   0.770   0.84094   3.72166   6.52719  -0.22023   0.00000   0.000E+00   0.000E+00   1.000E+00
  76  5.95469647   0.770   0.83692   3.72187   6.53005  -0.20796   0.00000   0.000E+00   0.000E+00   1.000E+00
  77  5.95971373   0.770   0.83290   3.72209   6.53292  -0.19570   0.00000   0.000E+00   0.000E+00   1.000E+00
  78  5.96467369   0.770   0.82913   3.72231   6.53571  -0.18377   0.00000   0.000E+00   0.000E+00   1.000E+00
  79  5.96957763   0.770   0.82547   3.72253   6.53848  -0.17196   0.00000   0.000E+00   0.000E+00   1.000E+00
  80  5.97442683   0.770   0.82181   3.72275   6.54124  -0.16016   0.00000   0.000E+00   0.000E+00   1.000E+00
  81  5.97922247   0.770   0.81850   3.72297   6.54392  -0.14879   0.00000   0.000E+00   0.000E+00   1.000E+00
  82  5.98396574   0.770   0.81519   3.72319   6.54659  -0.13743   0.00000   0.000E+00   0.000E+00   1.000E+00
  83  5.98865776   0.770   0.81193   3.72341   6.54926  -0.12612   0.00000   0.000E+00   0.000E+00   1.000E+00
