 # M = 0.95 Mo, Y = 0.2300, Z = 2.00000E-04, alpha = 1.20, X_D = 4.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
   1  5.06458487   0.770   1.17063   3.69037   6.12683  -1.24419   0.00000   9.380E-01   0.000E+00   6.220E-02
   2  5.12458063   0.770   1.16593   3.69052   6.12941  -1.23645   0.00000   9.407E-01   0.000E+00   5.947E-02
   3  5.17728531   0.770   1.16123   3.69066   6.13198  -1.22870   0.00000   9.435E-01   0.000E+00   5.674E-02
   4  5.22428054   0.770   1.15652   3.69081   6.13456  -1.22096   0.00000   9.462E-01   0.000E+00   5.401E-02
   5  5.26668330   0.770   1.15205   3.69095   6.13701  -1.21359   0.00000   9.472E-01   0.000E+00   5.301E-02
   6  5.30531181   0.770   1.14768   3.69108   6.13941  -1.20639   0.00000   9.474E-01   0.000E+00   5.273E-02
   7  5.34078337   0.770   1.14330   3.69122   6.14182  -1.19918   0.00000   9.477E-01   0.000E+00   5.245E-02
   8  5.37357524   0.770   1.13893   3.69135   6.14422  -1.19197   0.00000   9.479E-01   0.000E+00   5.218E-02
   9  5.40406400   0.770   1.13446   3.69149   6.14666  -1.18463   0.00000   9.472E-01   0.000E+00   5.288E-02
  10  5.43255205   0.770   1.12996   3.69162   6.14913  -1.17724   0.00000   9.460E-01   0.000E+00   5.396E-02
  11  5.45928587   0.770   1.12546   3.69176   6.15159  -1.16985   0.00000   9.448E-01   0.000E+00   5.504E-02
  12  5.48446903   0.770   1.12095   3.69190   6.15406  -1.16245   0.00000   9.436E-01   0.000E+00   5.612E-02
  13  5.50827161   0.770   1.11622   3.69204   6.15664  -1.15469   0.00000   9.419E-01   0.000E+00   5.786E-02
  14  5.53083713   0.770   1.11124   3.69219   6.15937  -1.14651   0.00000   9.394E-01   0.000E+00   6.036E-02
  15  5.55228785   0.770   1.10625   3.69234   6.16210  -1.13832   0.00000   9.370E-01   0.000E+00   6.285E-02
  16  5.57272876   0.770   1.10127   3.69249   6.16483  -1.13014   0.00000   9.346E-01   0.000E+00   6.534E-02
  17  5.59225067   0.770   1.09599   3.69265   6.16771  -1.12148   0.00000   9.315E-01   0.000E+00   6.856E-02
  18  5.61093268   0.770   1.09012   3.69282   6.17091  -1.11188   0.00000   9.269E-01   0.000E+00   7.321E-02
  19  5.62884407   0.770   1.08425   3.69299   6.17411  -1.10228   0.00000   9.223E-01   0.000E+00   7.786E-02
  20  5.64604592   0.770   1.07839   3.69315   6.17731  -1.09268   0.00000   9.178E-01   0.000E+00   8.251E-02
  21  5.66259231   0.770   1.07170   3.69334   6.18095  -1.08176   0.00000   9.107E-01   0.000E+00   8.949E-02
  22  5.67853136   0.770   1.06451   3.69355   6.18486  -1.07002   0.00000   9.022E-01   0.000E+00   9.794E-02
  23  5.69390608   0.770   1.05731   3.69375   6.18878  -1.05827   0.00000   8.937E-01   0.000E+00   1.064E-01
  24  5.70875507   0.770   1.04927   3.69397   6.19314  -1.04517   0.00000   8.820E-01   0.000E+00   1.180E-01
  25  5.72311309   0.770   1.04023   3.69421   6.19804  -1.03045   0.00000   8.665E-01   0.000E+00   1.335E-01
  26  5.73701159   0.770   1.03118   3.69446   6.20294  -1.01573   0.00000   8.510E-01   0.000E+00   1.490E-01
  27  5.75047905   0.770   1.02006   3.69475   6.20896  -0.99767   0.00000   8.253E-01   0.000E+00   1.747E-01
  28  5.76354142   0.770   1.00862   3.69505   6.21514  -0.97913   0.00000   7.981E-01   0.000E+00   2.019E-01
  29  5.77622236   0.770   0.99489   3.69540   6.22255  -0.95689   0.00000   7.567E-01   0.000E+00   2.433E-01
  30  5.78854350   0.770   0.98006   3.69578   6.23053  -0.93293   0.00000   7.078E-01   0.000E+00   2.922E-01
  31  5.80052471   0.770   0.96270   3.69619   6.23986  -0.90494   0.00000   6.401E-01   0.000E+00   3.599E-01
  32  5.81218425   0.770   0.94271   3.69666   6.25057  -0.87280   0.00000   5.505E-01   0.000E+00   4.495E-01
  33  5.82353892   0.770   0.92029   3.69717   6.26257  -0.83678   0.00000   4.436E-01   0.000E+00   5.564E-01
  34  5.83460427   0.770   0.89550   3.69770   6.27579  -0.79714   0.00000   3.264E-01   0.000E+00   6.736E-01
  35  5.84539468   0.770   0.86907   3.69825   6.28991  -0.75486   0.00000   2.156E-01   0.000E+00   7.844E-01
  36  5.85592348   0.770   0.84221   3.69876   6.30417  -0.71216   0.00000   1.280E-01   0.000E+00   8.720E-01
  37  5.86620306   0.770   0.81591   3.69925   6.31805  -0.67051   0.00000   6.885E-02   0.000E+00   9.312E-01
  38  5.87624493   0.770   0.79091   3.69967   6.33122  -0.63105   0.00000   3.558E-02   0.000E+00   9.644E-01
  39  5.88605986   0.770   0.76732   3.70004   6.34354  -0.59406   0.00000   1.724E-02   0.000E+00   9.828E-01
  40  5.89565786   0.770   0.74521   3.70036   6.35505  -0.55953   0.00000   8.652E-03   0.000E+00   9.913E-01
  41  5.90504832   0.770   0.72452   3.70064   6.36576  -0.52733   0.00000   4.000E-03   0.000E+00   9.960E-01
  42  5.91958189   0.770   0.69445   3.70101   6.38129  -0.48073   0.00000   1.392E-03   0.000E+00   9.986E-01
  43  5.93364481   0.770   0.66685   3.70131   6.39545  -0.43820   0.00000   0.000E+00   0.000E+00   1.000E+00
  44  5.94726660   0.770   0.64176   3.70156   6.40819  -0.39960   0.00000   0.000E+00   0.000E+00   1.000E+00
  45  5.96047410   0.770   0.61850   3.70175   6.41971  -0.36367   0.00000   0.000E+00   0.000E+00   1.000E+00
  46  5.97329177   0.770   0.59690   3.70192   6.43016  -0.33009   0.00000   0.000E+00   0.000E+00   1.000E+00
  47  5.98574197   0.770   0.57678   3.70205   6.43969  -0.29861   0.00000   0.000E+00   0.000E+00   1.000E+00
  48  5.99784516   0.770   0.55799   3.70218   6.44845  -0.26895   0.00000   0.000E+00   0.000E+00   1.000E+00
  49  6.00962019   0.770   0.54037   3.70228   6.45654  -0.24093   0.00000   0.000E+00   0.000E+00   1.000E+00
  50  6.02108436   0.770   0.52379   3.70237   6.46408  -0.21435   0.00000   0.000E+00   0.000E+00   1.000E+00
  51  6.03225369   0.770   0.50811   3.70245   6.47114  -0.18903   0.00000   0.000E+00   0.000E+00   1.000E+00
  52  6.04314294   0.770   0.49323   3.70252   6.47779  -0.16479   0.00000   0.000E+00   0.000E+00   1.000E+00
  53  6.05376582   0.770   0.47904   3.70259   6.48410  -0.14148   0.00000   0.000E+00   0.000E+00   1.000E+00
  54  6.06413507   0.770   0.46565   3.70264   6.49001  -0.11928   0.00000   0.000E+00   0.000E+00   1.000E+00
  55  6.07426249   0.770   0.45291   3.70271   6.49561  -0.09799   0.00000   0.000E+00   0.000E+00   1.000E+00
  56  6.08415913   0.770   0.44063   3.70276   6.50101  -0.07731   0.00000   0.000E+00   0.000E+00   1.000E+00
  57  6.09383526   0.770   0.42897   3.70281   6.50613  -0.05747   0.00000   0.000E+00   0.000E+00   1.000E+00
  58  6.10330049   0.770   0.41785   3.70286   6.51101  -0.03837   0.00000   0.000E+00   0.000E+00   1.000E+00
  59  6.11256382   0.770   0.40698   3.70291   6.51576  -0.01964   0.00000   0.000E+00   0.000E+00   1.000E+00
  60  6.12163370   0.770   0.39684   3.70296   6.52022  -0.00187   0.00000   0.000E+00   0.000E+00   1.000E+00
  61  6.13051802   0.770   0.38688   3.70301   6.52460   0.01564   0.00000   0.000E+00   0.000E+00   1.000E+00
  62  6.13922423   0.770   0.37742   3.70305   6.52876   0.03246   0.00000   0.000E+00   0.000E+00   1.000E+00
  63  6.14775934   0.770   0.36821   3.70310   6.53282   0.04892   0.00000   0.000E+00   0.000E+00   1.000E+00
  64  6.15612994   0.770   0.35941   3.70315   6.53673   0.06485   0.00000   0.000E+00   0.000E+00   1.000E+00
  65  6.16434224   0.770   0.35086   3.70320   6.54053   0.08043   0.00000   0.000E+00   0.000E+00   1.000E+00
  66  6.17240214   0.770   0.34267   3.70325   6.54419   0.09553   0.00000   0.000E+00   0.000E+00   1.000E+00
  67  6.18031517   0.770   0.33466   3.70330   6.54778   0.11038   0.00000   0.000E+00   0.000E+00   1.000E+00
  68  6.18808661   0.770   0.32702   3.70335   6.55122   0.12471   0.00000   0.000E+00   0.000E+00   1.000E+00
  69  6.19572142   0.770   0.31946   3.70340   6.55464   0.13896   0.00000   0.000E+00   0.000E+00   1.000E+00
  70  6.20322432   0.770   0.31237   3.70345   6.55787   0.15257   0.00000   0.000E+00   0.000E+00   1.000E+00
  71  6.21059980   0.770   0.30528   3.70351   6.56111   0.16617   0.00000   0.000E+00   0.000E+00   1.000E+00
  72  6.21785212   0.770   0.29859   3.70356   6.56421   0.17924   0.00000   0.000E+00   0.000E+00   1.000E+00
  73  6.22498532   0.770   0.29201   3.70362   6.56726   0.19216   0.00000   0.000E+00   0.000E+00   1.000E+00
  74  6.23200324   0.770   0.28558   3.70368   6.57027   0.20488   0.00000   0.000E+00   0.000E+00   1.000E+00
