 # M = 0.70 Mo, Y = 0.2300, Z = 2.00000E-04, alpha = 1.20, X_D = 4.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
   1  5.06631009   0.770   0.93344   3.68202   6.09828  -1.06846   0.00000   9.350E-01   0.000E+00   6.490E-02
   2  5.14458968   0.770   0.92777   3.68215   6.10129  -1.05944   0.00000   9.390E-01   0.000E+00   6.115E-02
   3  5.21089128   0.770   0.92210   3.68228   6.10429  -1.05042   0.00000   9.430E-01   0.000E+00   5.740E-02
   4  5.26839870   0.770   0.91682   3.68239   6.10709  -1.04203   0.00000   9.457E-01   0.000E+00   5.469E-02
   5  5.31917400   0.770   0.91195   3.68251   6.10967  -1.03427   0.00000   9.472E-01   0.000E+00   5.305E-02
   6  5.36462947   0.770   0.90708   3.68262   6.11226  -1.02651   0.00000   9.486E-01   0.000E+00   5.142E-02
   7  5.40577490   0.770   0.90222   3.68273   6.11484  -1.01878   0.00000   9.500E-01   0.000E+00   4.992E-02
   8  5.44335730   0.770   0.89751   3.68283   6.11733  -1.01131   0.00000   9.497E-01   0.000E+00   5.014E-02
   9  5.47794489   0.770   0.89280   3.68293   6.11982  -1.00385   0.00000   9.495E-01   0.000E+00   5.037E-02
  10  5.50997993   0.770   0.88810   3.68304   6.12230  -0.99638   0.00000   9.492E-01   0.000E+00   5.060E-02
  11  5.53981342   0.770   0.88336   3.68314   6.12481  -0.98887   0.00000   9.488E-01   0.000E+00   5.097E-02
  12  5.56772860   0.770   0.87840   3.68325   6.12743  -0.98101   0.00000   9.474E-01   0.000E+00   5.244E-02
  13  5.59395733   0.770   0.87343   3.68335   6.13005  -0.97315   0.00000   9.459E-01   0.000E+00   5.390E-02
  14  5.61869181   0.770   0.86847   3.68346   6.13267  -0.96529   0.00000   9.444E-01   0.000E+00   5.537E-02
  15  5.64209317   0.770   0.86349   3.68356   6.13530  -0.95740   0.00000   9.429E-01   0.000E+00   5.688E-02
  16  5.66429779   0.770   0.85786   3.68368   6.13826  -0.94851   0.00000   9.398E-01   0.000E+00   5.998E-02
  17  5.68542214   0.770   0.85223   3.68379   6.14122  -0.93962   0.00000   9.367E-01   0.000E+00   6.308E-02
  18  5.70556648   0.770   0.84661   3.68390   6.14418  -0.93073   0.00000   9.336E-01   0.000E+00   6.618E-02
  19  5.72481771   0.770   0.84081   3.68402   6.14723  -0.92158   0.00000   9.301E-01   0.000E+00   6.969E-02
  20  5.74325168   0.770   0.83409   3.68415   6.15075  -0.91098   0.00000   9.246E-01   0.000E+00   7.539E-02
  21  5.76093496   0.770   0.82737   3.68428   6.15428  -0.90039   0.00000   9.190E-01   0.000E+00   8.110E-02
  22  5.77792631   0.770   0.82065   3.68442   6.15781  -0.88979   0.00000   9.135E-01   0.000E+00   8.681E-02
  23  5.79427784   0.770   0.81273   3.68456   6.16196  -0.87735   0.00000   9.042E-01   0.000E+00   9.598E-02
  24  5.81003599   0.770   0.80438   3.68472   6.16632  -0.86425   0.00000   8.937E-01   0.000E+00   1.064E-01
  25  5.82524234   0.770   0.79604   3.68487   6.17069  -0.85115   0.00000   8.833E-01   0.000E+00   1.168E-01
  26  5.83993421   0.770   0.78574   3.68505   6.17605  -0.83504   0.00000   8.652E-01   0.000E+00   1.348E-01
  27  5.85414529   0.770   0.77517   3.68523   6.18156  -0.81853   0.00000   8.462E-01   0.000E+00   1.538E-01
  28  5.86790604   0.770   0.76299   3.68543   6.18788  -0.79954   0.00000   8.189E-01   0.000E+00   1.811E-01
  29  5.88124415   0.770   0.74961   3.68564   6.19482  -0.77870   0.00000   7.856E-01   0.000E+00   2.144E-01
  30  5.89418478   0.770   0.73381   3.68587   6.20300  -0.75413   0.00000   7.372E-01   0.000E+00   2.628E-01
  31  5.90675096   0.770   0.71614   3.68612   6.21213  -0.72676   0.00000   6.759E-01   0.000E+00   3.241E-01
  32  5.91896374   0.770   0.69562   3.68639   6.22268  -0.69509   0.00000   5.928E-01   0.000E+00   4.072E-01
  33  5.93084245   0.770   0.67180   3.68667   6.23487  -0.65851   0.00000   4.849E-01   0.000E+00   5.151E-01
  34  5.94240490   0.770   0.64499   3.68695   6.24856  -0.61750   0.00000   3.609E-01   0.000E+00   6.391E-01
  35  5.95366747   0.770   0.61610   3.68719   6.26318  -0.57356   0.00000   2.388E-01   0.000E+00   7.612E-01
  36  5.96464535   0.770   0.58636   3.68739   6.27819  -0.52857   0.00000   1.387E-01   0.000E+00   8.613E-01
  37  5.97535255   0.770   0.55710   3.68754   6.29291  -0.48452   0.00000   7.197E-02   0.000E+00   9.280E-01
  38  5.98580212   0.770   0.52923   3.68763   6.30676  -0.44297   0.00000   3.376E-02   0.000E+00   9.662E-01
  39  5.99600616   0.770   0.50320   3.68767   6.31961  -0.40439   0.00000   1.636E-02   0.000E+00   9.836E-01
  40  6.00597594   0.770   0.47890   3.68767   6.33152  -0.36860   0.00000   8.007E-03   0.000E+00   9.920E-01
  41  6.01572197   0.770   0.45622   3.68764   6.34257  -0.33539   0.00000   4.000E-03   0.000E+00   9.960E-01
  42  6.03509352   0.770   0.41441   3.68750   6.36280  -0.27458   0.00000   7.803E-04   0.000E+00   9.992E-01
  43  6.05363777   0.770   0.37749   3.68732   6.38055  -0.22124   0.00000   0.000E+00   0.000E+00   1.000E+00
  44  6.07142251   0.770   0.34453   3.68711   6.39632  -0.17384   0.00000   0.000E+00   0.000E+00   1.000E+00
