 # M = 0.85 Mo, Y = 0.2300, Z = 2.00000E-04, alpha = 1.20, X_D = 4.0E-05
 # Solar Mixture: Asplund et al. (2005)         
 # ------------------------------------------------------------------------------------------------------------
 # NMD   LOG AGE    Xc      LOG L     LOG TE    LOG Tc   LOG RHOc    M-CC       L-PP       L-CNO       L-GRA
 #        (yr)              (Lo)        (K)       (K)   (gr/cm^3)    (Mo)        (L)         (L)         (L)
 # ------------------------------------------------------------------------------------------------------------
   1  5.05937768   0.770   1.08598   3.68763   6.11619  -1.18085   0.00000   9.370E-01   0.000E+00   6.350E-02
   2  5.12730543   0.770   1.08087   3.68778   6.11897  -1.17252   0.00000   9.401E-01   0.000E+00   6.022E-02
   3  5.18603165   0.770   1.07577   3.68793   6.12174  -1.16420   0.00000   9.431E-01   0.000E+00   5.694E-02
   4  5.23775441   0.770   1.07070   3.68808   6.12450  -1.15593   0.00000   9.461E-01   0.000E+00   5.384E-02
   5  5.28396755   0.770   1.06609   3.68821   6.12700  -1.14842   0.00000   9.469E-01   0.000E+00   5.306E-02
   6  5.32573269   0.770   1.06148   3.68834   6.12951  -1.14092   0.00000   9.477E-01   0.000E+00   5.228E-02
   7  5.36383139   0.770   1.05687   3.68847   6.13201  -1.13341   0.00000   9.485E-01   0.000E+00   5.149E-02
   8  5.39885574   0.770   1.05225   3.68860   6.13451  -1.12590   0.00000   9.487E-01   0.000E+00   5.128E-02
   9  5.43126508   0.770   1.04763   3.68873   6.13702  -1.11838   0.00000   9.480E-01   0.000E+00   5.204E-02
  10  5.46142291   0.770   1.04301   3.68886   6.13952  -1.11086   0.00000   9.473E-01   0.000E+00   5.280E-02
  11  5.48962185   0.770   1.03839   3.68899   6.14202  -1.10334   0.00000   9.465E-01   0.000E+00   5.356E-02
  12  5.51610092   0.770   1.03365   3.68912   6.14459  -1.09564   0.00000   9.454E-01   0.000E+00   5.469E-02
  13  5.54105791   0.770   1.02862   3.68926   6.14731  -1.08748   0.00000   9.432E-01   0.000E+00   5.676E-02
  14  5.56465834   0.770   1.02359   3.68939   6.15003  -1.07932   0.00000   9.409E-01   0.000E+00   5.882E-02
  15  5.58704210   0.770   1.01856   3.68953   6.15274  -1.07116   0.00000   9.387E-01   0.000E+00   6.089E-02
  16  5.60832852   0.770   1.01336   3.68967   6.15556  -1.06272   0.00000   9.361E-01   0.000E+00   6.339E-02
  17  5.62862018   0.770   1.00753   3.68983   6.15870  -1.05328   0.00000   9.321E-01   0.000E+00   6.741E-02
  18  5.64800591   0.770   1.00171   3.68998   6.16185  -1.04385   0.00000   9.281E-01   0.000E+00   7.143E-02
  19  5.66656317   0.770   0.99588   3.69013   6.16500  -1.03442   0.00000   9.240E-01   0.000E+00   7.545E-02
  20  5.68435987   0.770   0.98944   3.69030   6.16847  -1.02400   0.00000   9.185E-01   0.000E+00   8.108E-02
  21  5.70145591   0.770   0.98235   3.69048   6.17228  -1.01257   0.00000   9.113E-01   0.000E+00   8.838E-02
  22  5.71790437   0.770   0.97527   3.69066   6.17609  -1.00114   0.00000   9.042E-01   0.000E+00   9.569E-02
  23  5.73375253   0.770   0.96770   3.69085   6.18016  -0.98894   0.00000   8.953E-01   0.000E+00   1.047E-01
  24  5.74904266   0.770   0.95883   3.69107   6.18491  -0.97466   0.00000   8.817E-01   0.000E+00   1.183E-01
