Name,RAJ2000,DEJ2000,RUWE,Gmag,e_Gmag,BP-RP,Kmag,e_Kmag,r_K,D,e_D,bin,Prot,EW,e_EW,chi,e_chi,mass,e_mass,Lbol,e_Lbol,tau,NSPTP
Gaia DR3 51452750431129600,59.50705221,20.67679794,5.797,9.285459,0.002779,0.656371,8.197,0.031,2M,126.116783,1.2952655,0,0.87,nan,nan,9.010409582,0.022534607,1.192334501,0.006318175,8239.453042,409.4089087,9.598720208,15
Gaia DR3 51492264130122496,59.92773984,21.20422544,1.038,17.240238,0.003513,3.25572,13.028,0.031,2M,141.393539,2.025009,0,0.547,nan,nan,3.510008137,0.041859689,0.244108447,0.006731511,30.44960109,1.325962618,96.00854751,44.5
Gaia DR3 51505217751483392,59.88108261,21.27185347,1.041,15.540366,0.002956,2.680128,11.844,0.021,2M,124.685173,0.6675225,0,0.7319,nan,nan,4.752665542,0.012314234,0.385617923,0.001945305,74.62304957,1.690124614,62.7582005,43
Gaia DR3 51609980593783424,58.04673453,20.87603256,1.064,16.612682,0.00292,3.062272,12.603,0.026,2M,128.111969,1.3634835,0,0.3228,nan,nan,3.809601529,0.044257517,0.277727101,0.006309131,37.43936046,1.328366326,86.56062323,44
Gaia DR3 51616268426009472,58.42922137,20.83348229,0.98,13.973773,0.002869,1.991488,10.764,0.018,2M,133.638031,0.3927385,0,2.7826,nan,nan,6.404418005,0.033055879,0.573314262,0.002728007,272.0985117,5.176152447,37.3183361,40.5
Gaia DR3 51622315739944704,58.38149129,20.95751632,1.052,16.850912,0.002944,3.072917,12.921,0.029,2M,120.005882,1.2229045,0,0.2773,nan,nan,3.219481435,0.031237091,0.217294703,0.002938457,23.60319705,0.920136401,104.398729,44
Gaia DR3 51674920499533184,58.88307562,21.07949367,1.254,10.8812,0.00293,0.972185,9.174,0.018,2M,122.241287,0.2192075,0,5.5586,nan,nan,8.776471767,0.053671503,0.894423055,0.002748487,2006.668346,51.44623408,17.23308871,29
Gaia DR3 51677669278703104,59.09293342,21.12140158,1.091,15.828851,0.003035,2.797916,12.016,0.022,2M,131.399643,0.8297655,0,0.6128,nan,nan,4.718599551,0.012900626,0.38090758,0.002100228,70.68402657,1.729953703,63.62337608,43.5
Gaia DR3 51681655008229632,58.98976546,21.17749127,2.043,15.573339,0.002837,2.755326,11.761,0.021,2M,143.423813,1.394783,0,0.5959,nan,nan,5.316045452,0.025993134,0.441259889,0.003875428,111.9394092,3.379653848,53.51436244,43.5
Gaia DR3 51730067879582080,58.9146053,21.27280168,1.472,14.325708,0.002878,2.209826,10.902,0.018,2M,147.310013,0.7100295,0,1.4066,nan,nan,6.538420926,0.031109498,0.583815878,0.002972704,292.5708232,6.069966039,36.30252945,42
Gaia DR3 51742471745296768,58.61596826,21.38974566,1.472,10.765944,0.002878,0.914907,9.183,0.018,2M,133.05899,0.384056,0,4.548,nan,nan,9.216772505,0.04368912,0.934228888,0.004734591,2522.309514,62.63489616,15.82047753,27
Gaia DR3 51761575759616000,59.01888824,21.54518028,2.77,15.093677,0.002875,2.8862,11.164,0.023,2M,134.1315,1.196884,0,0.4704,nan,nan,5.883985622,0.031019123,0.517316,0.004288559,176.4945826,5.306747748,43.34978136,44
Gaia DR3 51861425158394624,62.23077779,20.3859963,1.089,9.267831,0.00278,0.662342,8.113,0.026,2M,122.808403,0.3174095,0,0.77,4.26627388,0.01811658,8.991316855,0.018899993,1.196687839,0.004408144,8519.409777,293.1752848,9.525930196,17
Gaia DR3 52035251073077120,62.13218343,20.93808931,1.163,11.102681,0.002854,1.016958,9.33,0.02,2M,151.293488,0.5467985,0,4.17,2.6741643,0.01576014,9.741716657,0.049530411,0.966661436,0.004995485,3018.391244,52.53056848,14.78027414,30
Gaia DR3 52097609703557248,61.03514008,20.46934055,2.464,14.349607,0.002885,2.237362,10.862,0.02,2M,125.669983,0.864887,0,3.4652,nan,nan,6.100370055,0.026155782,0.540244011,0.003562472,206.8607453,6.316321513,40.74850663,42
Gaia DR3 52227115854157824,61.95449212,21.0182506,0.952,15.495284,0.002978,2.47628,11.849,0.024,2M,178.739365,1.5259625,0,0.1537,-5.26780253,0.06561324,5.797533082,0.034315211,0.508520946,0.004325501,166.0910443,5.037603662,44.3999604,43
Gaia DR3 52231376461738752,61.73183084,20.93632686,1.066,16.589003,0.003388,2.935111,12.641,0.025,2M,167.359955,1.65197,0,nan,-5.51155502,0.19875496,4.660125419,0.014659802,0.372822298,0.002664525,64.40133447,2.006220404,65.14115551,44
Gaia DR3 52798204769096960,63.19654799,22.38684522,0.926,12.946715,0.003332,1.556605,10.157,0.017,2M,162.178009,0.3929215,0,0.762,nan,nan,9.318818223,0.036855869,0.780125852,0.004393551,1084.328658,33.41339014,22.30879377,36
Gaia DR3 53029278307021696,60.35852969,21.5858003,1.006,16.10102,0.002975,2.876356,12.255,0.021,2M,133.109436,0.9623945,0,1.1983,nan,nan,4.519140055,0.033136483,0.356106746,0.004760444,57.73505312,1.539001256,68.41504317,43.5
Gaia DR3 53105728725582976,61.73344862,22.0346539,1.163,14.216793,0.002999,2.134594,10.833,0.02,2M,135.532028,0.409668,0,1.4102,nan,nan,6.343153805,0.024485836,0.567822748,0.003006866,261.0959417,6.713138509,37.86316437,42
Gaia DR3 53140397701490176,61.14494151,22.04627073,0.999,16.594816,0.002889,3.038631,12.529,0.023,2M,136.308548,1.30101,0,0.7516,nan,nan,4.155787641,0.037749476,0.315667756,0.005617229,46.17277681,1.455771331,77.15936891,44
Gaia DR3 53174379482675456,61.30714858,22.30512567,1.001,16.657433,0.002886,3.275464,12.412,0.023,2M,136.114502,1.1870345,0,0.2252,-6.02019655,0.54914795,4.342741558,0.037749476,0.33637817,0.005407334,51.7715286,1.570384749,72.52860579,44.5
Gaia DR3 53227396558316416,59.86214004,21.80526305,0.991,16.787525,0.002925,3.294742,12.624,0.023,2M,125.017395,1.243523,0,0.9536,-6.27210929,1.36135219,3.694582983,0.031057189,0.265137748,0.004843791,34.78661634,1.083485715,89.96752334,44.5
Gaia DR3 53251517094713728,60.297345,22.17729117,1.022,17.26991,0.002955,3.196654,13.125,0.032,2M,123.505295,1.655777,0,0.2419,nan,nan,3.06696677,0.034468514,0.205867972,0.003480956,20.34159304,0.942734412,108.2271805,44.5
Gaia DR3 53251929411490688,59.91596264,21.90775788,1.03,15.462476,0.00291,2.569637,11.774,0.018,2M,150.246811,0.815094,0,4.0454,-2.75424336,0.06642006,5.424869907,0.022279829,0.452727702,0.002803573,122.2387925,2.658865093,51.81395968,43
Gaia DR3 53255434104774272,60.04287329,22.03815719,1.022,16.492777,0.002923,3.016549,12.521,0.024,2M,126.300652,0.9845125,0,0.5797,-4.52985269,0.18506314,3.896558851,0.040853092,0.287015263,0.005333727,39.41123188,1.178946064,84.14226756,44
Gaia DR3 53258732639653760,59.99938411,22.09154762,1.073,16.949703,0.002932,3.079074,12.912,0.026,2M,148.725098,1.78981,0,0.5733,nan,nan,3.835085062,0.044257517,0.280449071,0.006682677,38.00678624,1.429823601,85.84369747,44
Gaia DR3 53296592774129920,59.45567115,22.14200079,1.032,18.540195,0.003338,3.654741,13.9,0.054,2M,133.4478,3.6181185,0,0.8022,nan,nan,2.42469189,0.062298584,0.157717173,0.005155224,10.84258998,0.928672552,126.2220997,45.5
Gaia DR3 53332571717238400,59.77936025,22.46346404,1.193,16.882849,0.002997,3.373067,12.5,0.023,2M,141.431,1.7765885,0,0.2592,-7.80139191,0.52726447,4.334852119,0.037749476,0.335504193,0.006464482,51.52208642,1.873848815,72.71738628,45
Gaia DR3 53335045618385536,59.84539671,22.57137207,1.032,13.755472,0.002965,1.905052,10.562,0.019,2M,133.288345,0.3392945,0,1.8839,-1.3280711,0.03617027,6.841937908,0.047607222,0.622786465,0.00282635,341.3050976,6.729023848,32.81389819,40.5
Gaia DR3 53341642688604416,60.45484388,22.16815829,1.146,16.131588,0.002948,2.91103,12.237,0.02,2M,124.117592,0.8631935,0,0.5601,nan,nan,4.30112507,0.032825631,0.331767972,0.004550492,50.46921051,1.28523882,73.53087575,44
Gaia DR3 53462623327108736,60.64490846,23.14129219,1.068,16.68941,0.003282,2.907184,12.785,0.024,2M,175.118362,2.114891,0,0.7557,-8.60908959,0.92419339,4.622678688,0.037870266,0.368037081,0.006442608,61.66977618,2.235193327,66.05934755,44
Gaia DR3 53465573967635456,60.46224777,22.98774968,0.985,18.67558,0.00343,3.576971,13.869,0.044,2M,133.646805,3.382202,0,0.2352,nan,nan,2.464188876,0.050761809,0.159942495,0.004541095,11.23412137,0.843390188,125.3188943,45.5
Gaia DR3 53554909287118080,61.62489942,22.56217919,2.569,16.719334,0.004546,3.359765,12.305,0.02,2M,169.20639,6.1644215,0,0.5444,nan,nan,4.91679452,0.04881714,0.404925759,0.016046102,90.5936539,8.766677647,59.3526988,45
Gaia DR3 53563915834929024,61.61891166,22.61665602,0.983,16.081085,0.002895,2.818879,12.123,0.02,2M,150.783859,1.6016995,0,5.2158,-3.84726322,0.13245096,4.831069243,0.011727842,0.396458889,0.002468195,84.54303319,2.436845848,60.81873152,44
Gaia DR3 53758254515062784,62.5158541,23.81222417,1.038,14.181186,0.003092,2.050072,10.924,0.023,2M,142.437881,0.3383255,0,6.7602,-1.06497987,0.06013587,6.364896942,0.042238068,0.570239905,0.003366973,266.3809075,6.268156943,37.62217877,41
Gaia DR3 53783852522073856,60.93404536,22.94428445,1.204,9.525888,0.00276,0.801251,8.183,0.024,2M,136.713593,0.302109,1,nan,5.15188492,0.01543371,8.84781543,0.025262111,1.251383713,0.009367894,10399.96584,371.0022779,8.677056023,20
Gaia DR3 53864804065393536,60.70820104,23.51080416,1.053,15.780696,0.002807,2.659916,12.056,0.023,2M,139.86853,0.786705,0,1.1256,nan,nan,4.774676532,0.013487018,0.388661407,0.002110366,77.28414605,1.900730445,62.20650097,43
Gaia DR3 53892669813156736,60.95648656,23.72057846,1.007,16.97782,0.002843,3.06504,12.996,0.027,2M,126.208656,1.1235615,0,0.3081,nan,nan,3.256574756,0.029082808,0.220073816,0.002676193,24.47252938,0.867386484,103.4911819,44
Gaia DR3 53914282087671552,62.16151501,23.63457008,7.972,11.097318,0.003165,1.104233,9.212,0.018,2M,184.997864,5.3088605,0,1.676,nan,nan,9.200679781,0.016637888,1.144962957,0.020651984,6694.706141,460.8648696,10.44592776,31
Gaia DR3 57036757670988288,56.04960324,19.30535738,1.1,14.319201,0.003062,2.076892,11.048,0.016,2M,145.383301,0.4811325,0,7.449574775,nan,nan,6.266462813,0.019588669,0.558874019,0.00250487,242.0962791,5.174408588,38.77166255,41.5
Gaia DR3 61519672735818880,52.86809479,21.82191371,1.016,8.777531,0.002765,0.558505,7.824,0.023,2M,127.560181,0.3320545,0,nan,nan,nan,nan,nan,1.331515802,0.011496337,14015.29818,452.3502228,7.626687283,13
Gaia DR3 61554650949438208,53.27426625,22.1342516,1.044,11.206782,0.002934,0.999607,9.425,0.02,2M,131.60408,0.381851,0,5.766,1.91454443,0.03667159,8.738917697,0.092408698,0.880879918,0.003129396,1771.344565,51.79800466,17.75106633,30
Gaia DR3 63052048347383168,56.25692504,19.55936801,1.124,9.302901,0.002764,0.678426,8.152,0.021,2M,134.671417,0.4889605,0,0.9368,5.03785196,0.07356104,8.849599068,0.022104347,1.250735091,0.008584278,10374.75624,338.6445851,8.686448049,17
Gaia DR3 63102694601689728,56.76582281,20.19588943,1.069,13.785254,0.003086,1.937291,10.679,0.016,2M,129.402969,0.294136,0,8.94388738,nan,nan,6.432096587,0.029383004,0.575467389,0.002391671,276.1757529,4.600620626,37.10730024,39
Gaia DR3 63146743786148992,55.74412576,20.21257807,1.063,17.14268,0.003067,3.33251,12.946,0.025,2M,151.750244,2.2207485,0,0.9149,nan,nan,3.85163671,0.042555305,0.282217,0.007319114,38.37993001,1.584171383,85.38171918,44.5
Gaia DR3 63250162302240384,57.04756365,20.77849669,2.969,16.384956,0.005833,3.120968,12.242,0.02,2M,144.204514,3.6111375,0,0.6299,nan,nan,4.704482026,0.011727842,0.378955535,0.004646657,69.11320808,3.798007319,63.98599977,44.5
Gaia DR3 63289920816208768,56.58058624,20.87978495,1.203,11.310213,0.002852,1.04206,9.519,0.018,2M,135.831482,0.39032,0,5.9338816,2.4370485,0.03994352,8.942779676,0.16340893,0.873724029,0.006143963,1694.702428,61.00990069,18.03291754,30
Gaia DR3 63296380446670080,56.62385491,21.03806785,1.351,16.708427,0.003124,3.215901,12.55,0.024,2M,119.556236,1.5716095,0,0.3183,-3.86267365,1.01226826,3.663541345,0.032407501,0.261601059,0.005716418,34.01623871,1.253840838,90.95221858,44.5
Gaia DR3 63327682168301952,56.87969765,21.18092844,0.969,16.878279,0.00321,3.107724,12.82,0.026,2M,125.521896,1.099724,0,0.5596,-9.18909001,0.90482533,3.441742207,0.035108126,0.236330654,0.004949385,28.98629301,0.922816749,98.35992614,44
Gaia DR3 63340154753661440,55.55789071,20.36219547,1,16.799301,0.003196,3.106269,12.794,0.023,2M,121.944237,0.983883,0,0.4656,nan,nan,3.392054663,0.031057189,0.230669567,0.004441783,27.96563514,0.797723109,100.1129524,44
Gaia DR3 63391178965446656,55.62373361,20.81110282,1.055,16.40713,0.002926,3.016951,12.426,0.026,2M,132.93306,1.2789765,0,1.2913,-7.52697479,0.28543889,4.235457698,0.042673321,0.32449346,0.006053035,48.48056615,1.649117873,75.14525661,44
Gaia DR3 63410622280810368,55.21276137,20.68818904,1.039,18.076988,0.00376,3.518433,13.706,0.046,2M,132.903503,2.793785,0,0.3451,nan,nan,2.618284053,0.04535826,0.171715873,0.005253476,13.1153248,0.894553932,120.66101,45
Gaia DR3 63436396380626688,55.14714912,20.96575856,1.019,14.841508,0.003126,2.441645,11.295,0.022,2M,130.969879,0.3619075,0,0.534001345,nan,nan,5.63073779,0.029115936,0.483202492,0.006218683,146.8207818,3.546034534,47.59666272,43
Gaia DR3 63449521800719488,55.77389026,21.03042543,0.985,17.138874,0.00298,3.188631,13.071,0.027,2M,129.969452,1.7065585,0,0.4336,nan,nan,3.244453966,0.029082808,0.2191657,0.003158553,24.18499652,1.014897754,103.7867393,44
Gaia DR3 63485427727244544,56.54118035,21.0979721,1.071,16.040298,0.003096,2.823263,12.247,0.024,2M,145.260498,1.0116045,0,0.4625,-5.40720456,0.32535788,4.710831834,0.01407341,0.37983353,0.002298015,69.81536732,1.871747903,63.82260018,43
Gaia DR3 63547270960574336,56.00267618,21.28207687,1.133,12.420944,0.003335,1.362043,10.047,0.019,2M,134.176361,0.2989275,0,0.49729092,-0.82882599,0.02788687,8.808532532,0.067459603,0.699749951,0.001202772,664.1755597,18.65132454,27.04995653,34
Gaia DR3 63547378335443200,55.81119901,21.15278878,1.109,12.29592,0.00292,1.33186,9.973,0.016,2M,129.757294,0.234497,0,4.03468698,0.53681939,0.1047614,8.813076385,0.056808087,0.699828465,0.001010516,665.3773751,15.66351256,27.04474341,33
Gaia DR3 63585036608738048,56.22026167,21.57122388,1.042,16.548655,0.002949,3.218822,12.423,0.021,2M,127.345207,0.9301875,0,0.2494,-9.89426454,0.51666527,4.087324585,0.034466913,0.308083543,0.004778256,44.27758069,1.184750092,78.94024692,44
Gaia DR3 63592767549850112,56.29117887,21.70459356,1.008,9.851562,0.003044,0.747581,8.586,0.02,2M,125.426292,0.369251,0,2.93241635,3.43416185,0.02538285,9.434362957,0.015153355,1.043047219,0.008178961,4858.796875,154.9262371,12.66755787,19
Gaia DR3 63593798341985152,56.44555628,21.74705549,1.064,17.087347,0.003148,3.48136,12.822,0.027,2M,122.192177,2.2008555,0,0.1958,nan,nan,3.366430937,0.027716942,0.22844761,0.003812499,27.29034351,1.388253915,100.8107767,44.5
Gaia DR3 63627264728628224,57.81924202,21.05973357,0.992,16.346361,0.002902,2.930652,12.381,0.023,2M,136.185913,1.458282,0,0.4748,-8.30439773,0.20052844,4.395479846,0.037749476,0.342220422,0.005929961,53.4702718,1.781256797,71.28119312,44
Gaia DR3 63632178171114624,57.45991441,20.96671794,0.99,16.383282,0.002871,2.952099,12.409,0.03,2M,134.521286,0.9619295,0,0.857,nan,nan,4.305682237,0.049238447,0.332272806,0.006137359,50.6102071,1.745951566,73.42034279,44
Gaia DR3 63677326867342464,58.10242211,21.50630889,1.07,15.199719,0.002878,2.598586,11.483,0.02,2M,133.772766,0.5088275,0,1.818723815,-4.5471723,0.06104979,5.472911763,0.024755366,0.457790304,0.002821759,127.0821031,2.782339459,51.08364191,43
Gaia DR3 63690898963950592,57.35888925,21.28037693,1.019,13.47118,0.003261,1.927012,10.359,0.017,2M,111.049637,0.248112,0,3.25377982,-2.15342239,0.06539084,6.409822599,0.031219442,0.573734688,0.002525237,272.8898875,4.801974453,37.27701521,39
Gaia DR3 63693785181958912,57.46583013,21.30732699,1.211,14.509014,0.002846,2.498965,10.921,0.018,2M,137.375793,0.606659,0,0.4722,-3.82555038,0.05674549,6.271343088,0.022037253,0.559443476,0.002912512,243.2630376,6.055938417,38.7130739,43
